Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82298,31/01/1979,0000,5,0.910112,3,93.2,,,180.9,5.337079,10,163.2,,,32.56,26.652667,21.893333,84.091667,,
82298,28/02/1979,0000,5,0.964286,3,54,,,180.5,6.02381,15,236.2,,,31.885714,26.247857,22.667857,87.116071,,
82298,31/03/1979,0000,5,0.826087,5,36.9,,,191,5.065217,14,166.4,,,31.774194,26.406667,22.06129,86.508333,,
82298,30/04/1979,0000,5,1.055556,5,81.4,,,207.2,4.888889,15,91.3,,,31.67,26.211333,21.78,86.016667,,
82298,31/05/1979,0000,5,1.064516,5,69.4,,,246,5.623656,15,249.7,,,31.4,26.011613,21.909677,86.725806,,
82298,30/06/1979,0000,0,1.281111,5,94,,,264.7,4.266667,3,27.9,,,31.69,25.575333,20.446667,82.458333,,
82298,31/07/1979,0000,,,,,,,,,,0,,,,,,,,
82298,31/08/1979,0000,,,,,,,,,,0,,,,,,,,
82298,30/09/1979,0000,,,,,,,,,,0,,,,,,,,
82298,31/10/1979,0000,5,2.229885,7,156.9,,,295,3.16092,1,7,,,36.417241,28.175862,21.696552,72.232759,,
82298,30/11/1979,0000,5,2.382716,8,174.3,,,268.3,3.604938,1,26,,,35.992593,28.295556,22.314815,70.648148,,
82298,31/12/1979,0000,5,2.507463,9,,,,224.3,4.164179,5,39,,,36.119231,28.509565,22.503846,69.977273,,
82298,31/01/1980,0000,,,,,,,175.7,,15,179,,,33.473077,,22.638462,,,
82298,29/02/1980,0000,,,,,,,,,11,231.7,,,,,,,,
82298,31/03/1980,0000,,,,,,,,,2,22.9,,,,,,,,
82298,30/04/1980,0000,,,,82.5,,,215.2,,12,125.2,,,32.455172,,23.010345,,,
82298,31/05/1980,0000,,,,80.5,,,239.1,,9,110,,,32.607407,,22.518519,,,
82298,30/06/1980,0000,,,,82.5,,,224.7,,5,91.9,,,32.477778,,22.074074,,,
82298,31/07/1980,0000,,,,112.7,,,273.5,,1,2.2,,,33.648276,,21.251724,,,
82298,31/08/1980,0000,,,,146.2,,,276,,1,0.2,,,35.765517,,21.12069,,,
82298,30/09/1980,0000,,,,168.1,,,273.8,,2,64.7,,,36.156667,,22.073333,,,
82298,31/10/1980,0000,,,,194,,,292.8,,4,40.1,,,37.024138,,21.875862,,,
82298,30/11/1980,0000,,,,132.9,,,213.6,,2,4.4,,,35.47037,,22.422222,,,
82298,31/12/1980,0000,,,,135.3,,,215.8,,6,40.4,,,35.937037,,22.414815,,,
82298,31/01/1981,0000,5,1.059524,3,91.6,,,169.5,4.928571,11,190.8,,,33.407143,27.031429,22.45,78.75,,
82298,28/02/1981,0000,5,1.480519,5,,,,217.1,4.038961,13,71,,,33.165385,26.826154,22.034615,79.576923,,
82298,31/03/1981,0000,5,1.586667,5,,,,188.6,4.36,10,172.6,,,32.468,26.672,22.108,81.27,,
82298,30/04/1981,0000,14,1.123457,5,29.8,,,225,3.765432,8,189.8,,,32.188889,26.640741,22.014815,82.425926,,
82298,31/05/1981,0000,14,1.135802,3,29.6,,,192.4,4.777778,14,199.9,,,31.918519,26.485926,22.377778,83.12037,,
82298,30/06/1981,0000,14,1.440476,3,90.8,,,259.5,2.392857,2,4.3,,,32.667857,26.127143,21.010714,79.3125,,
82298,31/07/1981,0000,14,1.91954,7,133,,,283.6,2.54023,,0,,,34.158621,26.727586,20.541379,72.732759,,
82298,31/08/1981,0000,14,2.173333,7,,,,254,2.12,1,0.1,,,35.74,27.508,20.456,67.38,,
