Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82296,31/01/1979,0000,5,2.72093,7,100.7,,,204.8,7.104651,12,122,,,33.251724,27.376552,24.696552,78.965517,,
82296,28/02/1979,0000,36,2.613333,5,,,,152.4,7.666667,12,257.6,,,33.128,26.9984,24.228,79.87,,
82296,31/03/1979,0000,,,,,,,,,1,38.4,,,,,,,,
82296,30/04/1979,0000,,,,,,,,,1,6.8,,,,,,,,
82296,31/05/1979,0000,,,,,,,,,2,51.9,,,,,,,,
82296,30/06/1979,0000,14,3.220588,7,,,,,5.411765,3,9.7,,,31.517391,27.193043,24.273913,77.48913,,
82296,30/04/1980,0000,,,5,,,,,,8,48.4,,,,,,,,
82296,31/05/1980,0000,9,2.167901,5,74.7,,,218.6,6.518519,10,30.8,,,32.911111,26.681481,21.488889,83.444444,,
82296,30/06/1980,0000,9,2.530303,6,,,,,6.075758,6,31.2,,,33.381818,26.566364,21.022727,81.909091,,
82296,31/07/1980,0000,36,3.347222,6,,,,220.2,5.194444,2,8.6,,,34.711111,26.72,20.658333,75.697917,,
82296,31/08/1980,0000,36,2.833333,6,,,,222.6,5.861111,1,3.1,,,36.433333,27.595,21.316667,68.354167,,
82296,30/09/1980,0000,9,3.671429,7,,,,,6,5,36.5,,,36.53913,28,22.513043,69.097826,,
82296,31/10/1980,0000,9,4.142593,9,,,,,4.759259,1,7.8,,,37.633333,28.626667,22.622222,65.763889,,
82296,30/11/1980,0000,9,4.056604,7,,,,,4.622642,2,1.1,,,36.322222,28.444444,22.744444,66.527778,,
82296,31/12/1980,0000,9,4.017241,7,,,,,5.396552,3,5.8,,,35.726316,28.170526,22.736842,67.947368,,
82296,28/02/1982,0000,,,,,,,,,3,35.7,,,,,,,,
82296,31/03/1982,0000,,,,,,,,,2,3.5,,,,,,,,
82296,30/04/1982,0000,,,,,,,,,4,19.1,,,,,,,,
82296,31/05/1982,0000,9,3.317073,6,,,,,6.292683,3,16.6,,,,,,,,
82296,30/06/1982,0000,,,,,,,,,1,16.4,,,,,,,,
82296,31/07/1982,0000,36,4.542857,8,,,,,5.442857,4,80,,,,,21.530435,77.467391,,
82296,31/08/1982,0000,9,4.233766,8,,,,236.4,4.519481,1,8.7,,,,,21.846154,71.028846,,
82296,30/09/1982,0000,9,4.702532,9,,,,245.9,5.329114,1,0.2,,,,,22.538462,68.913462,,
82296,31/10/1982,0000,9,5.142857,9,,,,205.6,5.338028,1,0.4,,,,,23.291667,67.21875,,
82296,30/11/1982,0000,9,5.367816,9,71.1,,,252.3,4.873563,1,25.4,,,,,23.675862,67.568966,,
82296,31/12/1982,0000,9,5.022222,9,79.7,,,244.2,4.533333,4,23.8,,,,,23.94,69.075,,
82296,31/01/1983,0000,36,5.365591,9,80,,,204.2,5.064516,4,31.1,,,,,24.403226,72.153226,,
82296,28/02/1983,0000,36,3.678571,10,39.7,,,170.2,6.154762,13,162.9,,,,,23.057143,79.196429,,
82296,31/03/1983,0000,9,3.815217,9,40.8,,,185.1,6.623656,16,145.6,,,,,23.741935,82.612903,,
82296,30/04/1983,0000,9,3.477778,9,49.2,,,245.9,5.733333,19,176.6,,,,,23.36,82.183333,,
82296,31/05/1983,0000,36,3.591398,6,,,,249,5.096774,8,92.8,,,,,23.632258,80.120968,,
82296,30/06/1983,0000,9,4.033333,12,,,,266.2,3.988889,4,19.1,,,,,22.766667,70.766667,,
82296,31/07/1983,0000,9,4.247312,8,,,,284,3.655914,1,0.2,,,,,22.387097,67.040323,,
82296,31/08/1983,0000,9,4.526882,8,,,,292.5,4.193548,4,19.2,,,,,22.793548,64.403226,,
82296,30/09/1983,0000,9,5.366667,10,,,,273.3,3.933333,1,1.5,,,,,23.173333,61.916667,,
82296,31/10/1983,0000,9,5.419355,10,,,,284.5,4.043011,1,0.5,,,37.212903,28.771613,23.348387,68.443548,,
