Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82287,31/01/1971,0000,5,12,162.6,,,244.7,5.956522,12,177.7,,,30.741935,26.803871,23.44,75.370968,,
82287,28/02/1971,0000,5,14,92.3,,,195.9,6.869048,17,198,,,29.896429,26.064286,22.478571,81.901786,,
82287,31/03/1971,0000,5,9,78.2,,,183.9,7.494624,22,449.4,,,29.735484,25.910323,22.967742,85.427419,,
82287,30/04/1971,0000,0,7,58.3,,,174.1,7.677778,23,550.5,,,29.446667,25.604667,22.55,86.941667,,
82287,31/05/1971,0000,5,12,65.3,,,178.8,7.44086,22,306.4,,,29.925806,25.914194,22.880645,87.435484,,
82287,30/06/1971,0000,5,9,88.2,,,259.2,4.744444,10,144.6,,,30.093333,25.766667,21.843333,82.6,,
82287,31/07/1971,0000,5,14,112.7,,,274.4,4.645161,7,75.8,,1010.95914,30.687097,26.052258,21.877419,79.322581,,
82287,31/08/1971,0000,5,12,167.9,,,327.5,2.795699,0,0,,,31.577419,26.490323,21.832258,72.298387,,
82287,30/09/1971,0000,5,14,203.6,,,319.2,3.244444,1,3.4,,,31.41,27.051333,23.276667,71.083333,,
82287,31/10/1971,0000,5,14,240,,,322.5,4.225806,1,0.1,,1008.66129,31.43871,27.385161,23.835484,69.185484,,
82287,30/11/1971,0000,5,12,234.3,,,314.9,3.844444,4,2.3,,,31.23,27.394667,23.7,69.933333,,
82287,31/12/1971,0000,5,14,236.6,,,254.7,4.322581,0,0,,,31.274194,27.394194,23.748387,70.532258,,
82287,31/01/1973,0000,5,12,74.6,,,189,8.271739,22,213.3,,,30.2,26.602581,23.367742,83.782258,,
82287,28/02/1973,0000,5,9,55.3,,,149.4,8.02381,21,271.6,,1007.9,29.875,26.551429,23.478571,85.821429,,
82287,31/03/1973,0000,5,12,59.8,,,158.4,7.752688,28,376.4,,,29.570968,26.21871,23.477419,88.790323,,
82287,30/04/1973,0000,0,9,52.9,,,160.5,7.444444,24,271.8,,,29.56,25.886667,23.086667,88.466667,,
82287,31/05/1973,0000,9,7,61.3,,,238.5,6.344086,18,232.3,,,30.293548,26.150323,22.880645,86.854839,,
82287,30/06/1973,0000,9,9,70.4,,,250.9,4.622222,13,96.6,,,30.37,26.198667,22.483333,85.258333,,
82287,31/07/1973,0000,5,9,132.7,,,279.9,4.978495,7,39.8,,,30.683871,26.407097,22.296774,80.66129,,
82287,31/08/1973,0000,5,12,263.9,,,322,3.021505,3,5.3,,,32.177419,27.203871,22.596774,73.274194,,
82287,30/09/1973,0000,5,14,236.2,,,315.2,3.455556,0,0,,,32.560714,27.805714,23.596552,71.678571,,
82287,31/10/1973,0000,5,14,228.6,,,324.7,3.602151,1,8.1,,,32.674194,28.120645,23.429032,69.16129,,
82287,30/11/1973,0000,5,14,218.9,,,307.6,4.377778,1,3.5,,,32.21,28.128,24.073333,69.625,,
82287,31/12/1973,0000,5,12,263.7,,,281.5,5.967742,6,32.5,,1007.06129,31.764516,27.675484,23.429032,72.274194,,
82287,31/01/1974,0000,5,9,156.6,,,206.2,7.806452,14,356.7,,,30.519355,26.37871,22.722581,81.185484,,
82287,28/02/1974,0000,5,9,86.8,,,162,8.440476,19,322,,,29.835714,25.610714,22.3,85.910714,,
82287,31/03/1974,0000,0,9,73.7,,,113.5,9.032258,26,520.2,,,28.732258,25.293548,22.396774,88.16129,,
82287,30/04/1974,0000,0,6,42.5,,,106.4,9.144444,28,977.1,,1008.27,27.99,25.072,22.5,90.508333,,
