Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82780,30/11/1965,0000,9,10,,,,,5.52809,5,9.8,,,,,24.066667,45.016667,,
82780,31/12/1965,0000,14,10,,,,,5.419355,5,11.9,,,,,23.722581,47.080645,,
82780,31/01/1966,0000,0,10,,,,,5.913978,12,166.5,,,,,22.812903,67.080645,,
82780,28/02/1966,0000,0,8,,,,,6.511905,13,126.9,,,,,21.653571,81.169643,,
82780,31/03/1966,0000,0,10,,,,,5.989247,12,95.9,,,,,21.080645,80.193548,,
82780,30/04/1966,0000,0,10,,,,,6.411111,9,97.9,,,30.95,25.436,21.623333,79.9,,
82780,31/05/1966,0000,14,14,,,,,5.290323,3,26.1,,,33.209677,26.284516,20.683871,65.137097,,
82780,30/06/1966,0000,14,14,,,,,4.466667,0,0,,,33.253333,26.222667,19.366667,55.208333,,
82780,31/07/1966,0000,14,14,,,,,4.774194,0,0,,,32.777419,26.35871,19.958065,52.758065,,
82780,31/08/1966,0000,14,14,,,,,1.354839,0,0,,,34.712903,26.506452,18.66129,46.387097,,
82780,30/09/1966,0000,14,14,,,,,3.566667,0,0,,,36.13,28.809333,21.976667,46.891667,,
82780,31/10/1966,0000,14,14,,,,,3.537634,2,5.8,,,37.925806,30.447742,23.722581,48.532258,,
82780,30/11/1966,0000,14,14,,,,,5.744444,7,32.2,,,36.236667,29.63,23.976667,59.116667,,
82780,31/12/1966,0000,14,14,229.8,,,,5.602151,8,34.7,,,35.406452,28.669032,23.619355,67.016129,,
82780,31/01/1967,0000,0,14,177.5,,,,5.946237,12,112.9,,,34.277419,27.676774,22.63871,74.83871,,
82780,28/02/1967,0000,0,10,59.3,,,,6.940476,20,271.3,,,30.475,25.312857,22.032143,88.785714,,
82780,31/03/1967,0000,0,8,70.7,,,,6.903226,15,229.2,,,30.567742,25.283226,21.912903,84.169355,,
82780,30/04/1967,0000,0,10,64.9,,,,6.544444,15,108.8,,,30.726667,25.341333,21.613333,84.566667,,
82780,31/05/1967,0000,14,14,97.7,,,,5.27957,3,10.7,,,30.625806,24.785161,19.945161,77.629032,,
82780,30/06/1967,0000,14,14,147.9,,,,3.322222,1,7.1,,,31.656667,24.490667,17.32,69.083333,,
82780,31/07/1967,0000,14,14,206.1,,,,2.752688,0,0,,,32.264516,24.356129,16.5,64.419355,,
82780,31/08/1967,0000,14,14,261.5,,,,1.774194,0,0,,,33.783871,25.343226,17.096774,54.137097,,
82780,30/09/1967,0000,14,14,290.2,,,,3.1,5,9.3,,,36.243333,27.607333,20.183333,50.55,,
82780,31/10/1967,0000,14,14,359.8,,,,3.182796,0,0,,,36.845161,29.637419,22.596774,44.16129,,
82780,30/11/1967,0000,14,4.4,230.6,,,,4.822222,4,33.1,,,35.97,28.839333,22.603333,54,,
82780,31/12/1967,0000,0,6.7,171.2,,,,5.44086,13,122.3,,,33.593548,27.336129,22.080645,64.516129,,
82780,31/01/1968,0000,0,6.7,106.9,,,,4.88172,12,64.3,,,32.496774,26.759355,21.390323,70.209677,,
82780,29/02/1968,0000,0,6.7,138.3,,,,6.482759,12,133.1,,,33.144828,27.051724,21.789655,68.491071,,
82780,31/03/1968,0000,0,9.3,66.7,,,,7.086022,23,306.2,,,30.316129,25.279355,21.619355,82.766129,,
82780,30/04/1968,0000,0,6.7,83.9,,,,4.411111,9,52,,,31.38,25.832667,20.806667,75.65,,
82780,31/05/1968,0000,0,4.4,104.7,,,,5.741935,5,61.6,,,30.635484,25.205161,20.23871,73.919355,,
82780,30/06/1968,0000,14,6.7,168.8,,,,3.644444,0,0,,,31.863333,24.906,17.03,57.308333,,
82780,31/07/1968,0000,14,6.7,236.5,,,,3.483871,0,0,,,32.719355,25.212258,17.906452,53.580645,,
82780,31/08/1968,0000,14,6.7,274.8,,,,2.301075,0,0,,,34.558065,26.500645,18.496774,46.983871,,
82780,30/09/1968,0000,14,6.7,320.3,,,,1.733333,0,0,,,36.166667,28.169333,20.656667,42.541667,,
82780,31/10/1968,0000,14,6.7,303.1,,,,3.580645,2,48.9,,,37,29.390968,22.516129,48.709677,,
82780,30/11/1968,0000,0,6.7,184.8,,,,5.577778,3,113.5,,,34.076667,27.634667,22.373333,66.225,,
82780,31/12/1968,0000,0,4.4,108.8,,,,5.526882,4,37.1,,,32.316129,26.11871,21.632258,76.895161,,
82780,31/01/1969,0000,0,4.4,102.5,,,,5.677419,10,249.1,,,32.087097,25.650968,21.283871,80.129032,,
82780,28/02/1969,0000,0,4.4,79.2,,,,4.72619,6,76.3,,,32.271429,26.22,22.078571,84,,
82780,31/03/1969,0000,0,4.4,72.6,,,,5.591398,11,145.4,,,31.629032,25.914839,22.164516,85.25,,
82780,30/04/1969,0000,14,4.4,92.8,,,,4.333333,6,67.9,,,32.24,25.877333,21.72,80.65,,
82780,31/05/1969,0000,14,6.7,157.6,,,,3.419355,1,7,,,33.567742,26.487742,20.73871,65.782258,,
82780,30/06/1969,0000,14,4.4,180.7,,,,3.911111,1,53,,,33.326667,26.249333,20,61.025,,
82780,31/07/1969,0000,14,4.4,232.1,,,,3.623656,1,5,,,33.232258,26.232258,19.016129,57.717742,,
82780,31/08/1969,0000,14,6.7,288,,,,1.784946,0,0,,,35.358065,26.986452,19.335484,46.177419,,
82780,30/09/1969,0000,14,4.4,301.9,,,,3.088889,0,0,,,36.69,28.716,21.336667,40.691667,,
82780,31/10/1969,0000,0,4.4,309.4,,,,2.752688,0,0,,,38.158065,30.221935,22.83871,41.967742,,
82780,30/11/1969,0000,9,6.7,291.6,,,,3.944444,2,4,,,37.513333,30.616667,24.106667,44.125,,
82780,31/12/1969,0000,0,6.7,193.5,,,,5.236559,9,173,,,34.73871,27.913548,22.580645,63.564516,,
82780,31/01/1970,0000,14,2.4,126,,,,6.473118,12,197.6,,,32.341935,26.559355,22.293548,74.701613,,
82780,28/02/1970,0000,0,4.4,123,,,,5.392857,8,55.9,,,33.225,26.838571,21.617857,68.875,,
82780,31/03/1970,0000,0,4.4,87.4,,,,4.903226,9,97.2,,,31.725806,25.488387,21.019355,79.653226,,
82780,30/04/1970,0000,0,4.4,140.2,,,,4.344444,8,53,,,34.256667,27.059333,21.39,68.275,,
82780,31/05/1970,0000,14,4.4,230.1,,,,2.784946,0,0,,,35.387097,27.013548,19.33871,52.346774,,
82780,30/06/1970,0000,14,6.7,239.6,,,,2.411111,2,8.8,,,34.533333,27.004667,19.89,51.391667,,
82780,31/07/1970,0000,14,6.7,287.8,,,,2.354839,0,0,,,33.680645,26.618065,19.467742,47.685484,,
82780,31/08/1970,0000,14,6.7,303.2,,,,2.150538,0,0,,,34.806452,27.596774,20.570968,45.41129,,
82780,30/09/1970,0000,14,6.7,307,,,,2.744444,2,0.5,,,36.703333,29.412,21.966667,41.5,,
82780,31/10/1970,0000,0,6.7,287.6,,,,2.903226,5,54.8,,,36.529032,29.107742,22.641935,54.846774,,
82780,30/11/1970,0000,9,6.7,172.4,,,,4.066667,9,92.6,,,34.313333,27.618667,22.58,65.666667,,
82780,31/12/1970,0000,9,4.4,212,,,,3.483871,8,65.3,,,35.148387,27.810323,22.212903,60.556452,,
82780,31/01/1973,0000,0,11.3,,,,,6.27907,8,69.6,,,33.275,27.063571,22.986207,69.321429,,
82780,28/02/1973,0000,0,5,,,,,5.357143,10,141.8,,,33.178571,27.134286,22.021429,70.339286,,
82780,31/03/1973,0000,5,6.6,,,,,5.698925,12,192,,,31.83871,26.175484,22.009677,81.314516,,
82780,30/04/1973,0000,5,6.3,,,,,4.2,10,196.8,,,30.87,25.545333,21.383333,83.191667,,
82780,31/05/1973,0000,14,8,,,,,3.741935,0,0,,,31.951613,25.629677,20.903226,74.016129,,
82780,30/06/1973,0000,14,5.5,,,,,4.277778,4,9.7,,,33.676667,26.465333,20.45,63.066667,,
82780,31/07/1973,0000,14,7.5,,,,,3.634409,3,28,,,33.703226,26.486452,19.812903,53.451613,,
82780,31/08/1973,0000,0,5,,,,,2.602151,1,1.2,,,35.035484,27.88,20.445161,44.701613,,
82780,30/09/1973,0000,14,8.8,421.6,,,,3.611111,2,7.5,,,36.063333,29.169333,22.316667,40.45,,
82780,31/10/1973,0000,5,6.8,323.8,,,,4.817204,9,34.3,,,35.316129,28.454194,22.587097,57.58871,,
82780,30/11/1973,0000,5,5.8,286.8,,,,4.833333,9,93.3,,,35.903333,28.942667,22.52,57.783333,,
82780,31/12/1973,0000,23,5,156.2,,,,6.010753,16,216.7,,,32.612903,26.508,21.453333,74.525,,
82780,31/01/1974,0000,23,6.5,105.2,,,,7.913978,13,178.2,,,30.806452,25.108387,20.712903,83.741935,,
82780,28/02/1974,0000,5,4.6,52.7,,,,9.333333,20,153,,,30.232143,25.02,21.367857,84.848214,,
82780,31/03/1974,0000,5,5.8,66.7,,,,9.591398,21,315.6,,,30.635484,25.15871,21.667742,83.790323,,
82780,30/04/1974,0000,0,4.1,,,,,8.965517,21,341.8,,,30.784615,24.9704,21.488462,83.45,,
82780,31/05/1974,0000,0,5.8,88.5,,,,6.55914,7,44.1,,,30.403226,24.887742,20.516129,80.096774,,
