Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82870,31/01/1979,0000,5,6,60.6,,,149.9,6.629213,16,228.2,,,30.23,24.914,20.943333,83.183333,,
82870,28/02/1979,0000,5,5,,,,135.5,7.948718,16,212,,,30.315385,24.742308,21.184615,85.057692,,
82870,31/03/1979,0000,5,7,86.8,,,225.9,5.321839,6,30.4,,,32.831034,25.857931,21.12069,77.586207,,
82870,30/04/1979,0000,,7,,,,,,6,46.8,,,32.647059,25.248235,19.282353,75.220588,,
82870,31/05/1979,0000,,,,,,,,,0,,,,,,,,
82870,30/06/1979,0000,14,7,,,,,3.666667,,0,,,32.880952,24.159048,17.219048,61.404762,,
82870,31/07/1979,0000,14,9,,,,,2.95,,0,,,34.66,25.161,16.22,49.425,,
82870,31/08/1979,0000,14,7,,,,,4.3125,,0,,,36.45625,27.86125,18.7,42.46875,,
82870,30/09/1979,0000,,9,,,,,,,0,,,,,,,,
82870,31/10/1979,0000,,7,,,,,,4,8.7,,,,,,,,
82870,31/12/1979,0000,14,7,,,,,6.732143,6,41.9,,,32.757895,25.915789,20.663158,73.710526,,
82870,31/01/1980,0000,14,5,74.7,,,103.2,7.928571,14,103.1,,,31.442857,25.37,20.560714,78.553571,,
82870,29/02/1980,0000,,,,,,,,2,17.1,,,,,,,,
82870,31/03/1980,0000,,,,,,,,1,0.6,,,,,,,,
82870,30/04/1980,0000,,,,,,,,,0,,,,,,,,
82870,31/05/1980,0000,,7,,,,,,,0,,,35.0375,26.19625,18.48125,60.703125,,
82870,30/06/1980,0000,14,8,,,,,6.478261,,0,,,35.24,26.68,17.76,53.75,,
82870,31/07/1980,0000,,5,,,,,,,0,,,,,,,,
82870,31/08/1980,0000,,9,,,,,,,0,,,,,,,,
82870,30/09/1980,0000,,7,,,,,,1,11.4,,,,,,,,
82870,31/10/1980,0000,,9,,,,,,,0,,,,,,,,
82870,30/11/1980,0000,,5,,,,,,5,22.3,,,,,,,,
82870,31/12/1980,0000,,,,,,,,2,36.2,,,,,,,,
82870,31/01/1981,0000,,,,,,,,3,60.2,,,,,,,,
82870,28/02/1981,0000,,,,,,,,1,10.4,,,,,,,,
82870,31/03/1981,0000,,,,,,,,2,4,,,,,,,,
82870,30/04/1981,0000,,,,,,,,2,30.8,,,,,,,,
82870,31/05/1981,0000,,,,,,,,,0,,,,,,,,
82870,30/06/1981,0000,,,,,,,,,0,,,,,,,,
82870,31/07/1981,0000,,,,,,,,,0,,,,,,,,
82870,31/08/1981,0000,,,,,,,,,0,,,,,,,,
82870,30/09/1981,0000,,,,,,,,,0,,,,,,,,
82870,31/10/1981,0000,,,,,,,,3,19.8,,,,,,,,
82870,30/11/1981,0000,,9,,,,,,2,5.4,,,,,,,,
82870,31/12/1981,0000,,,,,,,,1,1,,,,,,,,
82870,31/01/1982,0000,,3,,,,,,2,70.4,,,,,,,,
82870,28/02/1982,0000,,5,,,,,,2,14.3,,,,,,,,
82870,31/03/1982,0000,,,,,,,,2,7.8,,,,,,,,
82870,30/04/1982,0000,,,,,,,,2,8.6,,,,,,,,
82870,31/05/1982,0000,,,,,,,,,0,,,,,,,,
82870,30/06/1982,0000,,,,,,,,,0,,,,,,,,
82870,31/07/1982,0000,,7,,,,,,,0,,,,,,,,
82870,31/08/1982,0000,,9,,,,,,,0,,,36.073333,27.64,16.926667,37.616667,,
82870,30/09/1982,0000,,7,,,,,,,0,,,,,,,,
82870,31/10/1982,0000,,7,,,,,,2,35.8,,,35.96,27.258667,15.306667,50.5,,
82870,30/11/1982,0000,,7,,,,,,1,4.8,,,,,,,,
82870,31/12/1982,0000,,,,,,,,2,6.2,,,,,,,,
82870,31/01/1983,0000,14,5,83.8,,,124.2,7.652174,16,111,,,32.319355,25.118065,20.56129,76.217742,,
82870,28/02/1983,0000,14,9,86.4,,,149.9,6.952381,14,90.6,,,32.342857,25.768571,20.128571,75.071429,,
82870,31/03/1983,0000,5,7,79.7,,,169.8,7.870968,19,238.2,,,32.790323,25.920645,21.567742,79.935484,,
82870,30/04/1983,0000,5,7,129.8,,,235.2,5.333333,3,10.3,,,36.173333,27.352,20.186667,63.175,,
82870,31/05/1983,0000,14,5,197.9,,,257.4,4.516129,0,0,,,37.754839,28.985161,19.190323,51.370968,,
82870,30/06/1983,0000,5,5,189.6,,,262.3,5.011111,0,0,,,37.113333,27.876,18.953333,51.616667,,
82870,31/07/1983,0000,5,5,188.2,,,276.3,5.526882,0,0,,,36.929032,27.427097,17.735484,50.709677,,
82870,31/08/1983,0000,14,7,237.3,,,276.6,4.268817,1,16.7,,,36.870968,28.82129,19.467742,41.475806,,
82870,30/09/1983,0000,14,7,290.5,,,255.4,4.533333,2,5.7,,,38.34,30.122667,20.353333,40.666667,,
82870,31/10/1983,0000,14,7,269.5,,,231.2,5.978495,3,5.6,,,37.103226,29.592258,20.445161,47.467742,,
82870,30/11/1983,0000,5,7,153.6,,,145.1,7.5,9,101.2,,,34.166667,27.156,21.2,65.825,,
82870,31/12/1983,0000,5,7,111.1,,,,7.311828,9,158.5,,,32.367742,25.985161,20.716129,76.629032,,
82870,31/01/1984,0000,5,5,86.6,,,143.4,7.892473,10,138.9,,,32.083871,25.47871,18.212903,75.532258,,
82870,29/02/1984,0000,5,5,70,,,128.5,8.45977,12,142.8,,,31.855172,24.608276,17.82069,83.362069,,
82870,31/03/1984,0000,5,5,39,,,129.4,8.645161,19,194.3,,,30.16129,23.288889,16.822222,88.41129,,
82870,30/04/1984,0000,5,5,35.8,,,156.9,7.633333,15,132.3,,,30.686667,,,82.525,,
82870,31/05/1984,0000,5,5,87.9,,,223.9,7.27957,2,16.6,,,32.993548,,,75.41129,,
82870,30/06/1984,0000,5,5,144.2,,,245.2,6.833333,0,0,,,33.993333,,,61.2,,
82870,31/07/1984,0000,5,7,179.9,,,242.1,6.677419,0,0,,,34.487097,,,51.370968,,
82870,31/08/1984,0000,5,7,188.1,,,243.8,7.376344,1,7.8,,,36.735484,,,48.177419,,
82870,30/09/1984,0000,5,5,171.4,,,187.5,8.266667,4,32.1,,,36.396667,,,52.625,,
82870,31/10/1984,0000,5,5,176.6,,,184.7,6.870968,7,67.5,,,36.093548,,,50.032258,,
82870,30/11/1984,0000,5,7,187.1,,,196.8,5.866667,5,35.1,,,35.22,,,57.291667,,
82870,31/12/1984,0000,5,7,128.5,,,136.3,5.666667,9,61.7,,,34.458065,,,67.491935,,
82870,31/01/1985,0000,5,5,58.8,,,90,8.451613,18,217.6,,,30.212903,,,82.91129,,
82870,28/02/1985,0000,5,3,49.9,,,144.1,7.5,15,145.6,,,30.842857,,,82.9375,,
82870,31/03/1985,0000,5,7,75,,,177.2,6.698925,12,98.4,,,31.464516,,,82.854839,,
82870,30/04/1985,0000,5,7,50.2,,,143,7.244444,12,173.3,,,30.717241,,,85.233333,,
