Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83783,31/01/1961,0000,0,2.733708,9,117.7,,,,5.988764,10,106.9,,942.174157,29.926667,23.45,18.02,79.116667,,
83783,28/02/1961,0000,0,3.178571,9,113.1,,,,7.309524,9,150,,943.716667,,,17.814286,78.5625,,
83783,31/03/1961,0000,9,3.139785,9,110,,,,7.494624,14,176.5,,945.745161,,,16.190323,81.879032,,
83783,30/04/1961,0000,14,2.05618,6,88,,,,6.655556,10,344.4,,946.216667,,,13.966667,84.175,,
83783,31/05/1961,0000,0,1.741935,7,93.5,,,,3.677419,9,89,,948.913978,,,9.816129,81.16129,,
83783,30/06/1961,0000,0,2.7,14,89.2,,,,5.611111,10,167.1,,950.228889,,,9.333333,82.508333,,
83783,31/07/1961,0000,18,2.27957,9,125.9,,,,4.16129,2,1.2,,950.186022,,,8.925806,76.596774,,
83783,31/08/1961,0000,23,2.44086,9,189.5,,,,3.55914,4,33.7,,948.309677,,,9.877419,72.169355,,
83783,30/09/1961,0000,36,2.722222,8,124.3,,,,4.3,7,54.6,,944.937778,,,13.696667,78.05,,
83783,31/10/1961,0000,0,2.532609,8,,,,,5.419355,12,131.9,,945.249462,,,14.06129,74.620968,,
83783,30/11/1961,0000,5,2.544444,8,,,,,6.477778,12,116.9,,943.776667,,,13.7,77.558333,,
83783,31/12/1961,0000,36,3.290323,9,169.4,,,,6.634409,10,96.7,,944.523656,29.877419,22.853548,15.380645,73.975806,,
83783,31/01/1962,0000,9,2.602151,9,145.8,,,,6.344086,10,126.9,,944.121505,29.445161,22.424516,14.670968,74.475806,,
83783,28/02/1962,0000,0,2.261905,9,126.9,,,,6.083333,10,225.5,,943.984524,29.571429,22.162143,14.514286,76.9375,,
83783,31/03/1962,0000,14,1.397849,7,126.5,,,,5.698925,10,130.7,,945.268817,30.077419,21.834839,14.067742,77.443548,,
83783,28/02/1963,0000,0,2.73494,9,106.6,,,,7.253012,14,142.5,,944.972289,,,17.814286,81.1875,,
83783,30/04/1963,0000,0,1.404494,5,115.8,,,,2.101124,3,11.7,,946.703371,29.03,20.000667,12.56,79.491667,,
83783,31/05/1963,0000,18,1.924731,6,107.7,,,,3.010753,3,26.4,,949.948387,26.558065,16.46,9.370968,76.379032,,
83783,31/07/1963,0000,0,1.913043,8,115.4,,,,2.206522,1,11.4,,949.488043,25.067742,14.969677,8.822581,73.959677,,
83783,31/08/1963,0000,0,2.149462,9,130.3,,,,5.11828,3,16.8,,947.604301,26.406452,17.592903,10.777419,67.290323,,
83783,31/10/1963,0000,14,2.304348,8,133.4,,,,6.032609,10,169,,945.481522,28.277419,21.925161,16.596774,79.185484,,
83783,31/12/1963,0000,9,3.086957,9,163.2,,,228.6,5.456522,9,131.5,,944.594565,28.929032,23.185161,17.832258,75.5,,
83783,31/01/1964,0000,18,1.903226,7,162.6,,,254.5,5.333333,9,143.9,,942.980645,30.445161,24.320645,18.467742,71.782258,,
83783,31/03/1964,0000,0,2.358696,8,75,,,,5.923913,9,96,,946.192391,30.016129,23.154194,17.841935,75.66129,,
83783,30/04/1964,0000,0,2.156667,7,95.4,,,178.1,5.033333,8,79.2,,947.063333,27.856667,21.734,16.753333,79.791667,,
83783,31/05/1964,0000,18,2.709677,12,58.1,,,201.3,4.645161,4,34.5,,949.588172,23.809677,16.55871,11.203226,79.25,,
83783,30/06/1964,0000,18,2.577778,8,69.8,,,142.1,5.466667,10,77.3,,948.198889,20.986667,14.764667,9.946667,81.383333,,
83783,31/07/1964,0000,18,2.215054,7,99,,,,4.258065,6,54.9,,949.91828,20.629032,13.230968,7.709677,76.330645,,
83783,31/08/1964,0000,14,2.688172,6,116.8,,,172.6,5.569892,11,98.7,,948.982796,24.019355,17.616774,12.412903,76.306452,,
83783,30/09/1964,0000,0,2.270588,9,70,,,118.3,6.505747,8,58.9,,947.028736,26.810345,19.072414,13.093103,73.681034,,
83783,31/10/1964,0000,18,2.535484,7,48.4,,,207.9,5.634409,9,104.9,,945.312903,27.167742,19.974839,13.896774,73.306452,,
83783,30/11/1964,0000,23,3.088889,11,46.9,,,228.2,5,6,149.8,,944.111111,28.106667,20.966667,15.2,70.15,,
