Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83813,31/01/1961,0000,27,0.663043,4,,,,,7.858696,18,172.3,,901.568478,26.945161,20.846452,16.332258,86.354839,,
83813,28/02/1961,0000,0,1.595238,4,,,,,7.72619,21,204.3,,903.190476,27.135714,21.049286,16.471429,86.991071,,
83813,31/03/1961,0000,9,1.483871,5,,,,,7.215054,24,193.9,,904.545161,25.764516,19.460645,15.174194,86.975806,,
83813,30/04/1961,0000,5,1.233333,6,,,,,7.477778,25,285.5,,904.492222,24.36,17.774,13.373333,89.383333,,
83813,31/05/1961,0000,18,1.344086,6,,,,,5.010753,17,99.5,,906.891398,21.848387,14.755484,9.087097,87.717742,,
83813,30/06/1961,0000,0,1.088889,4,,,,,6.933333,27,136.4,,908.023333,19.986667,13.323333,8.13,90.9,,
83813,31/07/1961,0000,9,1.247312,6,,,,,5.139785,22,21.3,,908.176344,22.767742,13.854839,7.293548,87.612903,,
83813,31/08/1961,0000,0,0.935484,6,,,,,7.419355,25,57.9,,906.936559,24.951613,15.072258,7.312903,86.072581,,
83813,30/09/1961,0000,5,1.233333,6,,,,,9.422222,27,197.3,,904.304444,24.543333,17.628,13.07,87.625,,
83813,31/10/1961,0000,0,1.27957,6,,,,,8.086022,23,151.6,,904.34086,25.474194,18.699355,13.103226,86.306452,,
83813,30/11/1961,0000,32,0.955556,4,,,,,7,26,249.5,,902.176667,26.976667,19.965333,14.21,85.45,,
83813,31/12/1961,0000,,,,,,,,,,20.1,,,,,,,,
83813,31/01/1962,0000,32,1.184783,4,,,,,8.26087,19,121.8,,902.509783,26.390323,19.724516,14.329032,86.354839,,
83813,28/02/1962,0000,5,0.857143,6,,,,,7.690476,21,178.9,,902.240476,26.292857,20.189286,15.514286,88.473214,,
83813,31/03/1962,0000,5,1.096774,4,,,,,6.612903,23,171.3,,903.667742,26.564516,19.874194,14.877419,89.919355,,
83813,30/04/1962,0000,0,0.644444,4,,,,,5.844444,26,139.2,,905.012222,23.75,16.376,10.77,89.95,,
83813,31/05/1962,0000,9,1.11828,4,,,,,4.623656,29,52,,906.56129,20.777419,13.085806,7.33871,87.548387,,
83813,30/06/1962,0000,18,1.2,5,,,,,4.188889,29,69.9,,907.78,19.086667,10.164,2.77,88.925,,
83813,31/07/1962,0000,0,1.666667,5,,,,,6.107527,25,39.7,,908.776344,19.193548,10.932903,4.767742,87.806452,,
83813,31/08/1962,0000,27,1.150538,4,,,,,6.268817,30,107.1,,906.732258,23.035484,12.907097,4.658065,88.008065,,
83813,30/09/1962,0000,9,1.422222,4,,,,,7.933333,27,153.2,,906.076667,23.716667,16.169333,10.826667,90.233333,,
