Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83766,31/01/1961,0000,5,2.076087,8,60.4,,,189.4,7.684783,17,293,,946.625,28.880645,23.216129,19.116129,81.741935,,
83766,28/02/1961,0000,0,2.444444,14,70.1,,,170.3,7.857143,14,284.6,,948.010714,29.717857,23.715714,19.807143,79.553571,,
83766,31/03/1961,0000,9,2.354839,6,81.7,,,187.7,6.806452,15,55.2,,949.606452,28.283871,22.430323,18.206452,79.274194,,
83766,30/04/1961,0000,32,2.155556,6,64.7,,,207,6.444444,10,231.1,,949.805556,27.37,20.672,15.96,80.925,,
83766,31/05/1961,0000,23,1.935484,7,60.3,,,227.8,3.731183,6,50.7,,952.564516,24.558065,17.312258,12.109677,81.58871,,
83766,30/06/1961,0000,23,2.077778,8,55.4,,,207,4.788889,7,66,,954.096667,22.906667,16.354667,11.523333,82.441667,,
83766,31/07/1961,0000,14,2.215054,6,91.8,,,263.9,3.290323,1,1,,953.965591,25.774194,17.276774,11.448387,70.782258,,
83766,31/08/1961,0000,0,2.247312,8,126.6,,,249.6,3.086022,5,32.7,,952.353763,28.383871,19.575484,12.606452,62.572581,,
83766,30/09/1961,0000,5,2.404444,8,101,,,187.2,7.955556,7,50.3,,948.921111,28.96,21.793333,16.44,71.216667,,
83766,31/10/1961,0000,23,2.48913,8,119.4,,,177.1,7.924731,14,196.2,,948.675269,29.093548,22.172903,16.570968,70.516129,,
83766,30/11/1961,0000,0,2.102273,8,85.8,,,201.5,8.111111,17,204.2,,947.285556,29.126667,22.628667,17.433333,77.091667,,
83766,31/12/1961,0000,0,2.706452,8,97.5,,,239.3,6.645161,14,153.8,,947.94086,29.270968,22.765161,17.809677,76.096774,,
83766,31/01/1962,0000,9,3.166667,10,100.3,,,231.4,6.774194,14,149.4,,947.262366,29.219355,22.831613,17.758065,77.104839,,
83766,28/02/1962,0000,0,2.518072,10,77.8,,,191.4,6.797619,13,148.4,,947.244048,29.25,23.132143,18.275,77.8125,,
83766,31/03/1962,0000,23,2.421505,9,75.1,,,187,6.55914,14,225.7,,948.432258,29.390323,22.678065,17.806452,79.814516,,
83766,30/04/1962,0000,23,2.566667,10,82,,,229.3,4.955556,9,46.8,,950.37,27.52,19.963333,14.293333,76.291667,,
83766,31/05/1962,0000,14,2.451613,10,71.7,,,243.4,4.548387,6,58.1,,952.750538,24.270968,16.587742,10.958065,76.935484,,
83766,30/06/1962,0000,14,2.422222,8,65.4,,,228,3.855556,6,63.1,,953.867778,22.116667,14.524667,8.65,77.091667,,
83766,31/07/1962,0000,27,2.88172,12,79.9,,,230,4.612903,6,22.8,,955.192473,21.890323,13.985161,8.16129,74.604839,,
83766,31/08/1962,0000,0,2.494624,8,110.9,,,242,3.612903,6,63.8,,952.473118,25.909677,17.54,10.825806,67.387097,,
83766,30/09/1962,0000,14,3,14,90.8,,,193.5,5.711111,10,126.3,,951.014444,26.316667,19.629333,13.993333,75.783333,,
83766,31/10/1962,0000,32,3.410753,9,83.5,,,178.3,6.72043,14,213,,949.973118,25.029032,19.050323,13.964516,77.620968,,
83766,30/11/1962,0000,32,2.966292,12,118.6,,,236.5,4.766667,5,163.1,,948.185556,29.073333,21.977333,15.393333,69.783333,,
83766,31/12/1962,0000,5,3.148913,10,118.5,,,218.5,6.817204,10,197.5,,946.582796,29.248387,23.338065,18.145161,75.395161,,
83766,31/01/1963,0000,23,2.193548,14,54.9,,,171.9,8.032258,22,376.3,,946.589247,29.812903,23.889032,20.077419,85.491935,,
83766,28/02/1963,0000,18,2.333333,9,63.7,,,198.8,7.107143,13,224.5,,948.308333,29.378571,23.171429,18.385714,82.955357,,
83766,31/03/1963,0000,0,2.195652,10,69.5,,,193.5,7.580645,13,90.3,,949.873118,30.493548,23.681935,19.087097,82,,
83766,30/04/1963,0000,18,2.055556,5,96.5,,,270.6,4.344444,2,1.2,,950.438889,29.52,20.33,13.83,70.766667,,
83766,31/05/1963,0000,0,2,7,89.3,,,250.5,3.247312,3,18.6,,953.678495,26.316129,17.310968,10.870968,72.5,,
83766,30/06/1963,0000,0,2.134831,8,81,,,227.6,4.166667,4,28.9,,953.962222,23.766667,15.782667,9.646667,71.275,,
83766,31/07/1963,0000,0,2.172043,12,111.9,,,257.2,2.182796,1,1,,953.312903,26.332258,17.385806,10.435484,64.266129,,
83766,31/08/1963,0000,36,2.478261,10,138.8,,,212.6,5.44086,4,10.6,,951.360215,27.712903,19.347742,12.345161,56.806452,,
83766,30/09/1963,0000,5,3.1,14,167.5,,,156.5,8.066667,5,53.1,,949.421111,30.976667,22.816,15.833333,57.208333,,
83766,31/10/1963,0000,27,2.605495,10,92.7,,,154.8,7.397849,11,224.2,,949.512903,28.064516,21.938065,16.977419,75.879032,,
83766,30/11/1963,0000,0,2.606742,10,88,,,177.1,6.966667,13,184,,947.432222,28.88,22.834667,17.58,76.633333,,
83766,31/12/1963,0000,0,3.333333,14,120.6,,,241.7,6.516129,11,108.5,,948.530108,29.603226,22.947097,17.416129,72.298387,,
83766,31/01/1964,0000,36,2.421505,6,126.2,,,276.1,5.913978,7,106.2,,946.767742,31.190323,24.583871,18.3,69.516129,,
83766,29/02/1964,0000,0,2.37931,8,53.9,,,151.1,8.137931,19,467.9,,946.283908,28.6,23.101379,18.824138,83.025862,,
83766,31/03/1964,0000,32,3.032258,8,98.1,,,236,5.817204,8,103.9,,950.344086,29.7,23.163871,17.729032,72.693548,,
83766,30/04/1964,0000,14,2.788889,12,74.9,,,233.6,5.833333,6,115.2,,950.927778,28.913333,22.278667,17.13,77.033333,,
83766,31/05/1964,0000,27,2.72043,12,58.2,,,242,4.827957,4,65.1,,953.386022,24.370968,17.162581,12.058065,79.153226,,
83766,30/06/1964,0000,14,2.866667,10,46.9,,,172.8,5.177778,11,112.8,,952.214444,21.726667,15.409333,10.686667,81.966667,,
83766,31/07/1964,0000,23,2.744086,10,55.6,,,223.1,4.021505,7,46.7,,953.797849,21.329032,14.00129,8.670968,79.629032,,
83766,31/08/1964,0000,32,3.967391,14,90.3,,,228.4,4.075269,7,62.7,,952.911828,25.532258,18.225806,12.722581,75.41129,,
83766,30/09/1964,0000,32,3.269663,8,107,,,185.7,4.888889,7,55.2,,951.015556,27.503333,20.180667,14.116667,70.158333,,
83766,31/10/1964,0000,23,3.608696,10,104.1,,,233.5,5.602151,11,191.9,,948.970968,27.164516,20.323871,14.525806,72.701613,,
83766,30/11/1964,0000,27,4.069767,14,112.8,,,235.4,5.555556,6,89.2,,948.118889,27.586667,21.134,15.373333,72.441667,,
83766,31/12/1964,0000,36,4.107527,12,74.1,,,180.5,7.892473,16,219.4,,945.364516,27.451613,21.952258,17.587097,81.620968,,
