Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83844,31/01/1961,0000,0,1.13871,4.4,67.2,,,170.8,7.634409,20,230.1,,,29.196774,24.973548,21.451613,82.112903,,
83844,28/02/1961,0000,0,1.104762,3.9,62.5,,,147.9,7.857143,20,454.5,,,30.160714,25.168571,21.671429,83.535714,,
83844,31/03/1961,0000,0,1.030108,4.4,65.4,,,146.5,7.795699,17,282.4,,,28.429032,24.023871,20.670968,82.766129,,
83844,30/04/1961,0000,0,1.183333,4,48.1,,,144.2,7.5,21,226.4,,,27.3,22.728667,19.72,86.491667,,
83844,31/05/1961,0000,0,1.591398,4.4,52.7,,,202.7,5.731183,8,66.5,,,25.4,20.624516,17.103226,84.620968,,
83844,30/06/1961,0000,9,1.174444,5.3,32.4,,,103.3,7.3,11,165.9,,1019.11,23.123333,18.784667,15.666667,88.841667,,
83844,31/07/1961,0000,0,1.389247,4.4,41,,,138.1,6.129032,7,47.4,,,23.106452,18.440645,15.254839,86.217742,,
83844,31/08/1961,0000,0,1.534409,4.4,56.3,,,143.2,6.44086,7,31.6,,,25.551613,20.334839,16.787097,82.983871,,
83844,30/09/1961,0000,0,1.833333,4.9,33.6,,,55.3,9.355556,18,278.5,,,23.893333,20.344,17.476667,88.941667,,
83844,31/10/1961,0000,36,1.925806,6.8,63.2,,,130.7,7.860215,15,146,,,26.725806,22.634194,19.26129,84.048387,,
83844,31/12/1961,0000,0,2.008696,4.4,75.6,,,154.2,7.934783,20,394.1,,,29.206452,24.561935,20.912903,81.080645,,
83844,31/01/1962,0000,36,2.273118,5.3,78.7,,,160.4,8.182796,20,218.4,,,28.296774,23.995484,20.367742,80.427419,,
83844,28/02/1962,0000,0,1.95119,4.4,63.5,,,131.3,8.154762,18,205.1,,,28.610714,24.22,20.528571,82.392857,,
83844,31/03/1962,0000,0,1.884946,5.3,63.7,,,156.8,6.784946,15,332.8,,,28.593548,24.291613,20.906452,84.16129,,
83844,30/04/1962,0000,9,1.778889,4.7,57.2,,,135.1,6.533333,16,139.3,,,26.076667,21.570667,18.236667,83.608333,,
83844,31/05/1962,0000,0,1.408602,3.9,59.5,,,183.9,5.870968,12,46.8,,,23.319355,18.647097,15.203226,81.790323,,
83844,30/06/1962,0000,27,1.24,4.4,48,,,144.7,6.544444,13,40.9,,,20.933333,16.272667,13.066667,84.283333,,
83844,31/07/1962,0000,0,1.630108,5.3,54.6,,,135.9,7.16129,12,44.6,,,20.806452,16.461935,13.325806,82.209677,,
83844,31/08/1962,0000,0,1.331183,4.4,46.4,,,130.4,6.924731,12,51.3,,,20.967742,16.771613,13.693548,85.395161,,
83844,31/10/1962,0000,23,2.056522,4.3,53.6,,,98.3,8.217391,24,250.5,,,22.790323,18.969032,15.954839,84.177419,,
83844,30/11/1962,0000,0,2.065556,4.4,78,,,186.9,6.444444,14,84.2,,,26.713333,22.086667,18.293333,79.358333,,
83844,31/12/1962,0000,18,2.323656,6.8,86.6,,,160.2,7.698925,18,108.8,,,27.319355,23.37871,20.009677,80.137097,,
83844,31/01/1963,0000,0,1.741935,5.3,78.4,,,184.8,7.516129,21,531.9,,,30.112903,25.429032,21.9,82.330645,,
83844,28/02/1963,0000,0,1.619048,5,69,,,159.4,7.988095,19,324.8,,,29.285714,24.886429,21.378571,83.026786,,
