Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83695,31/01/1961,0000,0,0.25,3,59.2,,,,8.945652,22,396.6,,996.778261,30.996774,25.238065,21.86129,84.298387,,
83695,28/02/1961,0000,0,0.535714,3,82.2,,,,8.011905,7,170.6,,998.382143,32.585714,26.110714,21.910714,74.803571,,
83695,31/03/1961,0000,0,0.526882,5,91,,,,8.225806,7,142.3,,999.226882,31.877419,25.398065,21.483871,77.620968,,
83695,30/04/1961,0000,0,0.488889,5,84.9,,,,7.311111,7,171.5,,999.868889,31.233333,24.48,20.08,77,,
83695,31/05/1961,0000,0,0.408602,3,67.5,,,,7.247312,6,23.7,,,28.535484,22.071613,18.009677,79.951613,,
83695,30/06/1961,0000,0,0.455556,3,64.7,,,,7.333333,9,34.6,,,27.153333,21.02,16.91,81.1,,
83695,31/07/1961,0000,0,0.225806,3,76.7,,,,6.860215,5,14.7,,,27.558065,19.987742,14.958065,77.080645,,
83695,31/08/1961,0000,0,0.473118,3,121.1,,,,8.129032,0,0,,,30.245161,21.804516,15.616129,67.669355,,
83695,30/09/1961,0000,0,0.866667,5,146.5,,,,9.444444,2,1.2,,999.846667,32.886667,24.816667,19.463333,65.85,,
83695,31/03/1967,0000,0,0.184783,2.6,97.7,,,186.2,6.456522,14,209,,996.788043,31.151613,25.35871,21.874194,79.459677,,
83695,30/04/1967,0000,0,0.244944,7.7,74.7,,,194.6,5.674157,10,63,,999.220225,28.846667,23.386,20.04,81.689655,,
83695,31/05/1967,0000,0,0,0,64.9,,,212.8,5.172043,4,31.3,,,27.63871,21.007097,16.890323,82.314516,,
83695,30/06/1967,0000,0,0.016667,0.5,70.2,,,191.6,5.488889,3,2.1,,,26.993333,20.678667,16.453333,80.358333,,
83695,31/07/1967,0000,0,0.391398,7.7,82.1,,,210.1,4.548387,5,11.8,,,25.958065,19.274839,14.174194,75.620968,,
83695,31/08/1967,0000,0,0.13,5.1,110.6,,,240.4,3.955556,3,1.5,,,28.926667,21.512,15.693333,70.316667,,
83695,30/09/1967,0000,0,0.586667,7.7,122.7,,,185.2,5.066667,5,21.5,,,28.843333,21.946,16.516667,67.325,,
83695,31/10/1967,0000,0,0.654839,7.7,145.2,,,227.9,4.591398,6,22.4,,999.38172,31.725806,24.414839,19.151613,68.322581,,
83695,30/11/1967,0000,0,0.538889,7.7,91.8,,,123.9,8.233333,13,190.4,,995.642222,28.746667,23.628667,20.406667,78.183333,,
83695,31/12/1967,0000,0,0.127957,4.1,64.1,,,129.3,8.204301,22,148,,997.174194,27.670968,22.995484,19.577419,81.766129,,
83695,30/06/1968,0000,,,5.1,,,,,,1,4.1,,1004.97,,,11.915,,,
83695,31/07/1968,0000,0,0.246296,5.1,81,,,,7.037037,5,17.5,,,,,14.048148,,,
83695,31/08/1968,0000,0,0.330645,5.1,79.3,,,,6.274194,7,28.8,,,,,14.303226,,,
83695,30/09/1968,0000,0,0.586667,7.7,86.3,,,,6.266667,5,100.2,,,,,14.613333,,,
83695,31/10/1968,0000,0,0.135484,2.1,74,,,,7.258065,13,115.7,,999.548387,,,17.858065,,,
83695,30/11/1968,0000,0,0.291667,7.7,74.2,,,,6.9,5,53.3,,996.235,,,18.84,,,
83695,31/12/1968,0000,0,0.068852,2.1,79,,,,6.548387,8,153.4,,996.787097,,,19.874194,,,
83695,31/01/1969,0000,0,0.191935,7.7,121.4,,,,6.096774,8,137.9,,993.590323,,,,,,
83695,28/02/1969,0000,0,0.091071,5.1,98.3,,,,5.25,4,40.8,,994.005357,,,,,,
83695,31/03/1969,0000,0,0,0,72.7,,,,5.677419,8,84,,996.924194,,,,,,
83695,30/04/1969,0000,0,0,0,70.1,,,,5.883333,7,80.1,,998.886667,,,,,,
83695,31/05/1969,0000,0,0.041935,2.6,82.1,,,,5.983871,3,11.8,,,,,,,,
83695,30/06/1969,0000,0,0,0,67.6,,,,6.083333,8,82.3,,,,,,,,
83695,31/07/1969,0000,0,0,0,70,,,,4.725,,0,,,,,,81.032258,,
83695,31/08/1969,0000,0,0.365591,5,78.8,,,181.7,4.526882,5,31.6,,,,,,76.790323,,
83695,30/09/1969,0000,0,0.888889,7,100.4,,,160.5,5.388889,3,12.4,,999.795556,29.313333,22.377333,17.473333,73.391667,,
83695,31/10/1969,0000,0,1.075269,7,88.6,,,96.2,7.989247,13,207.9,,998.677419,27.564516,22.387742,18.529032,78.346774,,
83695,30/11/1969,0000,0,1.033333,7,75.9,,,190.3,7.611111,13,281.4,,996.077778,30.263333,24.474667,20.466667,78.891667,,
83695,31/12/1969,0000,0,1.032258,7,69.9,,,182.7,7.483871,16,231.1,,997.948387,28.470968,23.196774,19.432258,79.774194,,
83695,31/01/1970,0000,0,0.892473,7,71.2,,,205.3,7.182796,16,178.1,,996.494624,31.032258,25.015484,20.932258,80.733871,,
83695,28/02/1970,0000,0,0.52381,5,87.8,,,209.8,5.714286,7,53.2,,998.17619,32.353571,25.744286,21.057143,75.821429,,
83695,31/03/1970,0000,0,1.075269,9,100.5,,,225.2,5.268817,6,31.9,,998.78172,32.164516,25.601935,20.832258,76.266129,,
83695,30/04/1970,0000,0,0.633333,6,77.1,,,191.5,6.022222,7,62.4,,999.747778,29.353333,22.962,18.546667,80.683333,,
