Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83743,31/01/1961,0000,0,1.725,6.8,118.5,,,159.1,7.586957,16,165.1,,,30.006452,26.602581,23.954839,77.75,,
83743,28/02/1961,0000,0,1.709524,8,100.7,,,158.8,7.107143,13,84.8,,1009.47381,30.039286,26.502857,23.75,77.339286,,
83743,31/03/1961,0000,0,1.873118,8.8,115.2,,,226.2,6.11828,11,174,,,29.254839,25.882581,23.1,77.814516,,
83743,30/04/1961,0000,0,0.96,5.7,94.2,,,205.6,6.022222,10,176,,,28.72,25.408,22.563333,76.6,,
83743,31/05/1961,0000,0,1.226882,6.1,83.6,,,184.8,6.301075,8,88.6,,,25.767742,22.870323,20.348387,79.580645,,
83743,30/06/1961,0000,0,1.282222,6,83,,,207.2,5.055556,8,35.5,,,25.506667,22.236,19.596667,78.266667,,
83743,31/07/1961,0000,0,1.489247,10,94.7,,,224.3,4.311828,6,49.3,,,25.545161,21.74,18.735484,76.33871,,
83743,31/08/1961,0000,0,2.064516,8.7,116.3,,,250.4,4.086022,2,5.1,,1015.68172,26.954839,23.070323,19.76129,72.225806,,
83743,30/09/1961,0000,0,1.958889,10,117.2,,,157.9,6.333333,3,6.7,,,28.033333,24.362,21.586667,75.975,,
83743,31/10/1961,0000,0,1.551613,7.5,154.6,,,168.1,6.419355,4,2.7,,,28.987097,25.095484,21.890323,71.451613,,
83743,30/11/1961,0000,0,2.284444,9,139.1,,,216.4,6.544444,8,77.5,,1009.09,28.7,24.920667,21.836667,72.441667,,
83743,31/12/1961,0000,0,1.289247,9.2,128.2,,,176.8,7.956989,13,142.7,,,29.277419,25.623871,22.645161,75.016129,,
83743,31/01/1962,0000,0,1.813978,8.5,101.1,,,181.2,7.483871,16,472.9,,,28.548387,25.328387,22.645161,79.314516,,
83743,28/02/1962,0000,0,2.07381,8.1,91.5,,,123.5,8.333333,15,325.3,,,29.310714,25.918571,23.410714,80.178571,,
83743,31/03/1962,0000,0,2.001075,8.5,127,,,209.2,5.27957,4,36.8,,1010.17957,29.574194,26.245161,23.354839,75.330645,,
83743,30/04/1962,0000,0,1.8,10.7,111.6,,,177.7,6.588889,10,17.8,,1012.48,27.186667,23.9,21.41,76.558333,,
83743,31/05/1962,0000,0,1.392473,8.5,95.8,,,190.7,6.408602,13,94.9,,,25.619355,22.212903,19.435484,74.645161,,
83743,30/06/1962,0000,0,1.173333,8.5,86.6,,,164.4,5.788889,11,29,,,23.376667,19.891333,17,74.758333,,
83743,31/07/1962,0000,0,1.413978,10,98.2,,,184.2,5.591398,7,43.2,,1018.41828,23.53871,20.216774,17.432258,75.120968,,
83743,31/08/1962,0000,0,1.765591,7.5,112.6,,,210.8,5.27957,4,27.9,,,25.409677,21.454839,18.509677,73.209677,,
83743,30/09/1962,0000,0,1.815556,10,104.9,,,179.7,5.955556,11,64.3,,,26.1,22.303333,19.423333,75.983333,,
83743,31/10/1962,0000,0,2.167742,9,108.7,,,119.7,8.451613,17,104.6,,,25.483871,22.323226,19.896774,77.096774,,
83743,30/11/1962,0000,0,2.197778,10,97.8,,,190.6,6.6,14,135.9,,,26.703333,23.736667,20.96,77.541667,,
83743,31/12/1962,0000,0,1.930108,8.8,103.1,,,142,8.397849,16,150.2,,,27.793548,24.716774,22.135484,80.66129,,
83743,31/01/1963,0000,0,2.162366,12,137.7,,,262,5.430108,11,66.4,,,31.248387,27.163871,23.790323,72.790323,,
83743,28/02/1963,0000,0,1.846429,9,107.4,,,207.7,6.5,10,150.9,,,29.496429,25.955714,23.075,75.776786,,
83743,31/03/1963,0000,0,2.310753,9.8,138.1,,,285,4.483871,2,71.3,,1011.11828,30.758065,27.005806,23.703226,73.322581,,
83743,30/04/1963,0000,0,1.453333,7.7,105.9,,,228.2,5.344444,5,52.6,,,27.48,24.309333,21.643333,76.325,,
83743,31/05/1963,0000,0,1.452688,7.2,105.9,,,235.7,3.204301,5,24.1,,,26.167742,22.523871,19.287097,73.403226,,
83743,30/06/1963,0000,0,1.443333,6.9,92.7,,,190.1,5.011111,4,12.3,,,24.833333,21.181333,18.283333,75.016667,,
83743,31/07/1963,0000,0,1.232258,7,103,,,217.2,3.741935,5,20.7,,,25.403226,21.329032,17.993548,70.612903,,
83743,31/08/1963,0000,0,1.625806,8,115.4,,,188.5,5.247312,2,13.3,,,26.06129,21.786452,18.387097,69.959677,,
83743,30/09/1963,0000,0,1.607778,10.7,112.6,,,165.2,8.1,1,1.1,,,27.4,23.192,19.85,73.441667,,
83743,31/10/1963,0000,0,1.748387,8.5,95.1,,,132.8,8.548387,13,68.9,,,26.416129,23.104516,20.525806,79.508065,,
83743,30/11/1963,0000,0,2.312222,11.8,108.5,,,186.5,6.655556,10,54.6,,1009.45,27.776667,24.356667,21.406667,77.391667,,
83743,31/12/1963,0000,0,2.616129,11,130.6,,,215,6.354839,14,105.3,,,27.56129,24.296774,21.180645,74.298387,,
83743,31/01/1964,0000,0,1.776344,8.9,116.5,,,182.7,7.516129,13,52.8,,,28.235484,25.043226,22.341935,76.395161,,
83743,29/02/1964,0000,0,1.944828,9.5,97,,,152.7,7.83908,13,236.8,,,29.041379,25.608276,23.013793,78.310345,,
83743,31/03/1964,0000,0,1.556989,8,125.3,,,206.9,5.365591,8,101.6,,,29.390323,25.532903,22.441935,73.41129,,
83743,30/04/1964,0000,0,1.371111,8,82.6,,,198.2,6.266667,12,112.4,,,27.256667,24.202667,21.69,80.3,,
83743,31/05/1964,0000,0,1.546237,7.7,86,,,171,6.88172,11,75.3,,,24.706452,21.890323,19.63871,77.403226,,
83743,30/06/1964,0000,0,1.39,9,80.1,,,163.8,6.188889,10,39.6,,,24.063333,20.728,18.076667,79.4,,
83743,31/07/1964,0000,0,1.431183,7,73.9,,,135.8,6.795699,14,87.7,,,21.932258,19.090968,16.625806,77.604839,,
83743,31/08/1964,0000,0,1.292473,7.5,98.1,,,203.7,4.860215,7,34.9,,,25.274194,21.666452,18.790323,75.653226,,
83743,30/09/1964,0000,0,1.854444,9,109.7,,,197.6,5.088889,7,33.2,,,26.42,22.638667,19.193333,72.025,,
83743,31/10/1964,0000,0,1.97957,7.5,86.4,,,95.6,8.731183,17,120.5,,,24.970968,22.049032,19.535484,79.685484,,
83743,30/11/1964,0000,0,1.572222,8.7,107.9,,,165.4,7.233333,12,108.5,,,26.673333,22.957333,19.996667,74.025,,
83743,31/12/1964,0000,0,1.254839,7.5,112.2,,,137.1,8.322581,16,212.4,,1007.41828,28.170968,24.451613,21.580645,78.120968,,
83743,31/01/1965,0000,0,1.83871,11,99.1,,,157.3,8.129032,14,175.7,,,28.441935,24.714194,21.925806,78.709677,,
83743,28/02/1965,0000,0,1.797619,9,101.2,,,135.8,8.47619,14,141.8,,,30.042857,26.446429,23.846429,75.910714,,
83743,31/03/1965,0000,0,1.813978,9.3,118.9,,,177.3,8.086022,15,205.6,,,29.041935,25.312903,22.564516,75.951613,,
83743,30/04/1965,0000,0,1.805556,10,117,,,210.7,6.244444,14,78.9,,,28.436667,24.766,21.913333,74.6,,
