Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82598,31/01/1961,0000,14,9,188.6,,,244.9,5.163043,9,174.4,,,29.887097,27.054839,24.625806,76.096774,,
82598,28/02/1961,0000,,,,,,,,3,35,,,,,,,,
82598,31/03/1961,0000,9,9,,,,170.7,5.961039,14,306.4,,,,,23.642308,78.826923,,
82598,30/04/1961,0000,14,7,106.4,,,166,5.666667,19,313.4,,,,,22.7,80.558333,,
82598,31/05/1961,0000,14,9,123.6,,,213.4,4.88172,15,197.5,,,,,22.151613,78.282258,,
82598,30/06/1961,0000,14,9,119.9,,,224.2,4.222222,14,115.6,,,,,21.626667,77.391667,,
82598,31/07/1961,0000,14,12,140.5,,,193.3,5.11828,21,175.5,,,,,20.793548,78.862903,,
82598,31/08/1961,0000,14,12,189.6,,,273.6,3.645161,12,39.7,,,,,20.863333,74.967742,,
82598,30/09/1961,0000,14,12,201.4,,,211.4,4.711111,15,62.3,,1013.67,28.476667,25.018,22.144444,74.441667,,
82598,31/10/1961,0000,14,12,234,,,283.4,4.72043,11,33,,,28.948387,25.411613,21.17931,74.072581,,
82598,30/11/1961,0000,14,12,272.8,,,320.4,3.477778,0,0,,,29.243333,26.282667,22.67,70.841667,,
82598,31/12/1961,0000,9,12,278.6,,,297.8,5.473118,4,9.1,,,29.419355,26.809032,24.283871,71.524194,,
82598,31/01/1962,0000,9,9,264.8,,,322.4,3.623656,2,1.1,,,29.851613,27.236129,24.370968,70.58871,,
82598,28/02/1962,0000,14,9,187.9,,,250.1,4.714286,5,15.4,,,30.325,27.696429,25.271429,71.946429,,
82598,31/03/1962,0000,9,9,204.2,,,221.9,5.709677,16,194.4,,,30.045161,27.034194,23.933333,75.193548,,
82598,30/04/1962,0000,14,12,160.5,,,220.5,5.122222,14,171,,,29.486667,26.899333,23.103333,75.583333,,
82598,31/05/1962,0000,14,12,149.6,,,227.1,4.677419,15,197.7,,,28.825806,26.180645,22.712903,77.129032,,
82598,30/06/1962,0000,14,12,150.4,,,191.9,4.766667,16,186.8,,,28,25.152667,21.913333,78.533333,,
82598,31/07/1962,0000,14,12,154.4,,,237.4,4.204301,16,113.1,,,27.545161,24.723226,21.264516,77.653226,,
82598,31/08/1962,0000,18,12,177.7,,,247.3,4.215054,18,114.8,,,27.687097,24.834839,20.974194,74.766129,,
82598,30/09/1962,0000,14,12,168.5,,,259.2,3.455556,8,121.8,,,28.01,25.588667,22.496667,72.616667,,
82598,31/10/1962,0000,14,12,252.6,,,314.4,3.322581,2,6,,,28.787097,26.477419,24.009677,69.040323,,
82598,30/11/1962,0000,9,9,274.4,,,305.9,3.622222,1,2.3,,,29.075862,26.793103,24.716667,70.5,,
82598,31/12/1962,0000,9,12,278.1,,,288.8,5.096774,5,30.3,,,29.754839,27.219355,24.806452,72.362903,,
82598,31/01/1963,0000,9,9,245.8,,,300.2,4.612903,8,59,,,29.903226,27.349032,24.63871,70.346774,,
82598,28/02/1963,0000,14,12,177.8,,,220.9,5.797619,12,181.9,,,30.139286,27.427143,24.15,73.875,,
82598,31/03/1963,0000,14,7,151.5,,,182.5,6.537634,18,200.3,,,29.458065,26.727097,23.358065,77.862903,,
82598,30/04/1963,0000,14,9,132.7,,,181.3,6.044444,15,227.3,,,29.25,26.583333,22.936667,76.808333,,
82598,31/05/1963,0000,18,12,170.9,,,245.6,4.913978,10,88,,,29.153333,26.268,22.267742,71.733871,,
82598,30/06/1963,0000,14,12,128.8,,,206.7,4.411111,14,93.4,,,27.84,24.897333,21.513333,76.6,,
82598,31/07/1963,0000,14,12,152.4,,,232.2,3.612903,14,103.8,,,27.058065,24.170323,20.867742,74.91129,,
82598,31/08/1963,0000,14,12,141.9,,,264.5,3.27957,9,42.6,,,27.248387,24.370323,20.54,73.870968,,
82598,30/09/1963,0000,14,12,211.4,,,268.1,3.533333,7,13.4,,,27.93,25.418667,21.87,71.475,,
82598,31/10/1963,0000,14,12,250.8,,,295,4.537634,3,8.2,,1013.3,28.709677,26.404516,23.525806,70.467742,,
82598,30/11/1963,0000,14,12,250.5,,,279.5,4.688889,9,70.5,,,29.113333,26.81,24.18,72.608333,,
82598,31/12/1963,0000,14,12,219.5,,,273.9,6.053763,9,108.4,,,29.441935,27.214194,24.590323,74.395161,,
82598,31/01/1964,0000,14,12,180.9,,,251.2,5.677419,17,189.4,,1010.9,29.648387,27.167742,24.019355,77.129032,,
82598,29/02/1964,0000,14,12,228.6,,,184.1,6.816092,20,239.8,,,29.72069,27.187586,23.972414,77.724138,,
