Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82690,31/08/1990,0000,14,10,285,,,248.1,3.684783,,0,,994.188043,34.070968,26.992903,21,51.427419,,
82690,30/09/1990,0000,,,,,,,,,0,,,,,,,,
82690,31/03/1995,0000,,10,,,,,,,62.9,,997.150847,35.11,28.029,22.275,68.75,,
82690,30/04/1995,0000,5,7,117.2,,,172,6.766667,,80.7,,998.528889,33.246667,26.242667,18.02,75.075,,
82690,31/05/1995,0000,14,7,148.5,,,192.1,6.655914,,146.9,,992.355914,32.980645,26.149677,19.558065,77.193548,,
82690,30/06/1995,0000,14,9,132.7,,,139.3,6,,13.5,,994.135955,31.106667,25.845333,21.76,74.215517,,
82690,31/07/1995,0000,9,7.5,178.7,,,117.7,5.655914,,24.7,,994.032258,31.706452,25.812903,20.835484,67.701613,,
82690,31/08/1995,0000,14,10,293.8,,,248.1,3.623656,,0,,994.175269,34.070968,27.023871,21.116129,51.362903,,
82690,30/09/1995,0000,9,10.6,337.5,,,266.3,3.9,,0,,994.566667,35.013333,27.886667,21.876667,46.291667,,
82690,31/10/1995,0000,9,10,354.8,,,306.2,4.268817,,0,,991.437634,36.777419,28.921935,22.987097,57.177419,,
82690,30/11/1995,0000,9,10,323.4,,,230.2,6.177778,,9,,991.188889,35.833333,28.806667,23.493333,60.541667,,
82690,31/12/1995,0000,5,7.6,320.9,,,183.1,4.774194,,0,,991.15914,36.86129,29.686452,23.841935,61.008065,,
82690,31/01/1996,0000,5,8.8,288.6,,,259.2,5.569892,,240.9,,990.011828,36.090323,29.129677,23.912903,66.024194,,
82690,29/02/1996,0000,5,7.1,230.9,,,201,6.586207,,90.3,,990.116092,35.885714,28.752143,24.057143,73.689655,,
82690,31/03/1996,0000,5,5.3,135,,,210.4,6.967742,,138.3,,991.321505,32.76129,27.190968,23.077419,81.709677,,
82690,30/04/1996,0000,5,7,92.4,,,201.3,6.777778,21,255.7,,991.625556,32.58,26.58,22.833333,84.091667,,
82690,31/05/1996,0000,9,8.1,126.7,,,228.8,5.354839,,85.7,,993.155914,32.858065,26.91871,22.36129,80.596774,,
82690,30/06/1996,0000,14,7.3,186.4,,,165,5.122222,,19.1,,994.755556,32.356667,26.523333,21.44,73.925,,
82690,31/07/1996,0000,14,7.3,240.5,,,170.6,5.268817,,21,,995.7,32.780645,26.569032,21.219355,68.16129,,
82690,31/08/1996,0000,14,9.1,260.9,,,198.4,4.462366,,6.7,,994.74086,33.8,27.351613,21.63871,62.120968,,
82690,30/09/1996,0000,14,9.1,311.4,,,269.4,3.5,,1.3,,993.601111,35.266667,28.284,22.413333,57.766667,,
82690,31/10/1996,0000,9,10,366.1,,,290,3.677778,,1.7,,992.422581,36.96129,29.203871,23.380645,62.854839,,
82690,30/11/1996,0000,9,10.8,331.5,,,253.8,4.977778,,16.3,,990.67,36.593333,,,60.983333,,
82690,31/12/1996,0000,9,8,365.3,,,299.5,4.761905,,5,,991.082796,37.348387,30.103871,24.251613,57.403226,,
82690,31/01/1997,0000,9,8.1,297.9,,,221.8,6.159091,,54.8,,991.104301,36.045161,29.179355,23.987097,65.120968,,
82690,28/02/1997,0000,9,8,290.1,,,205.9,5.779221,,8.7,,991.911905,35.714286,29.018571,23.557143,64.883929,,
82690,31/03/1997,0000,14,11.6,219.3,,,168.4,6.590361,,146.9,,991.919355,34.464516,28.092903,23.780645,75.427419,,
82690,30/04/1997,0000,9,5.8,145.6,,,224.3,5.694118,,64.5,,992.731111,33.1,27.069333,22.78,79.275,,
82690,31/05/1997,0000,14,8.6,154.6,,,119.4,5.817073,,44.3,,993.863441,31.954839,26.402667,22.064516,76.516667,,
82690,30/06/1997,0000,14,6.3,175.7,,,177.9,4.183099,,0,,993.846667,33.87,26.73,21.026667,67.891667,,
82690,31/07/1997,0000,14,8.8,247.9,,,208.7,4.153846,,3.7,,996.019355,33.283871,26.790968,21.451613,65.145161,,
82690,31/08/1997,0000,14,8.1,257.5,,,224.6,4.17284,,3.6,,996.062366,34.058065,27.315484,21.96129,61.129032,,
82690,30/09/1997,0000,14,8.3,344.9,,,307.8,2.75,,0,,993.225556,36.634483,28.568571,22.241379,56.303571,,
82690,31/10/1997,0000,14,11.3,398.3,,,262.7,3.897436,,0,,992.66129,37.141935,29.307097,23.541935,56.766129,,
82690,30/11/1997,0000,14,9.1,320.9,,,275.7,3.235955,,2.5,,991.886667,37.153333,29.711333,23.97,53.466667,,
82690,31/12/1997,0000,9,8.3,324,,,206.6,3.44086,,49.2,,991.894624,37.322581,29.818065,24.090323,57.645161,,
82690,31/01/1998,0000,9,7.1,227.8,,,224.1,5.677419,,102.7,,991.26129,36.129032,29.477419,24.554839,66.645161,,
82690,28/02/1998,0000,9,6.3,289.1,,,,4.059524,,18.4,,992.355952,37.421429,30.195714,24.521429,61.8125,,
82690,31/03/1998,0000,9,9.1,259.9,,,238.1,4.956989,,34.2,,990.901075,37.248387,30.613548,25.367742,65.040323,,
