Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82024,31/01/1961,0000,5,4.913043,12,164.9,,,212.6,5.89011,4,21.1,,993.786957,32.254839,27.487742,22.964516,78.314516,,
82024,28/02/1961,0000,5,5.285714,12,194.5,,,195.3,5.380952,1,0.3,,995.116667,32.95,27.999286,22.967857,69.0625,,
82024,31/03/1961,0000,5,4.797849,12,219.9,,,167.5,6.129032,2,1.9,,993.447312,34.051613,28.785161,23.658065,63.387097,,
82024,30/04/1961,0000,5,5.144444,13,232,,,195.4,6.355556,1,0.2,,993.697778,34.496667,29.366,24.253333,61.591667,,
82024,31/05/1961,0000,5,4.010753,9,190.5,,,209.3,6.688172,10,43.3,,994.865591,33.367742,28.969032,23.777419,65.5,,
82024,30/06/1961,0000,0,1.877778,7,66,,,,7.529412,27,493.7,,995.675556,29.76,26.052,22.053333,83.625,,
82024,31/07/1961,0000,0,1.537634,12,47.6,,,,7.206522,24,361.4,,996.366667,29.774194,25.776774,21.748387,83.733871,,
82024,31/08/1961,0000,0,1.129032,6,74.6,,,,6.806452,18,205.6,,995.645161,31.209677,26.966452,22.254839,80.08871,,
82024,30/09/1961,0000,9,1.777778,7,101.1,,,,6.088889,12,145.3,,994.085556,32.386667,27.623333,22.53,76.666667,,
82024,31/10/1961,0000,9,2.150538,7,122.4,,,,6.290323,5,34.7,,993.206452,33.1,28.288387,23.103226,73.354839,,
82024,30/11/1961,0000,5,1.966667,5,89.4,,,,6.511111,8,59.2,,993.253333,31.613333,27.319333,22.73,78.466667,,
82024,31/12/1961,0000,5,2.88172,7,131.3,,,,6.215054,3,16.2,,994.460215,32.403226,27.90129,22.729032,75.580645,,
82024,31/01/1962,0000,5,4.419355,9,178.9,,,,6.010753,1,2.5,,994.987097,32.264516,27.925806,22.651613,74.419355,,
82024,28/02/1962,0000,5,4.369048,9,149.5,,,,6.202381,3,57.9,,994.816667,32.121429,28.07,22.607143,74.232143,,
82024,31/01/1970,0000,,,,,,,,,,0,,,,,,,,
