Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82042,31/01/1970,0000,,,12.3,,,,,,9,64.9,,,32.171429,26.404762,20.880952,80.166667,,
82042,28/02/1970,0000,23,3.713415,12.3,106.7,,,,4.642857,12,200.1,,,,,17.710714,82.991071,,
82042,31/03/1970,0000,23,3.605618,12.3,108.8,,,,6.182927,14,180.5,,,,,18.470968,80.766129,,
82042,30/09/1978,0000,,,5,,,,,,9,50.2,,,32.615,26.851,22.715,80.0875,,
82042,31/10/1978,0000,0,1.315217,14,136.5,,,238.3,5.130435,13,139.5,,,32.84,27.153333,22.713793,79.907407,,
82042,30/11/1978,0000,0,0.988764,3,148.4,,,252,4.911111,7,46.7,,,32.816667,27.296667,23.163333,78.625,,
82042,31/12/1978,0000,0,1.645161,9,148.9,,,157.1,5.677419,11,52.5,,,31.190323,26.399355,22.690323,79.427419,,
82042,31/01/1979,0000,,1.590909,8,,,,,0.5625,3,3.5,,,,,,,,
82042,28/02/1979,0000,,,9,,,,,,1,34.6,,,33.064706,27.229412,22.4,,,
82042,31/03/1979,0000,,1.230769,3,,,,131.2,0.647253,5,109.2,,,31.958333,26.966957,23.1875,,,
82042,30/04/1979,0000,,0.988889,12,,,,,0.723333,8,100.1,,,,,,,,
82042,31/05/1979,0000,,0.860215,9,,,,,0.854839,14,169,,,30.606667,25.950667,23.16,,,
82042,30/06/1979,0000,,0.333333,3,,,,,0.895556,17,271.8,,,29.383333,24.948889,22.527778,,,
82042,31/07/1979,0000,,1.033333,5,,,,,0.83,8,141,,,30.831579,25.507368,22.278947,,,
82042,31/08/1979,0000,,0.827586,5,,,,161.5,0.751724,8,80.1,,,31.979167,26.405,22.929167,,,
82042,30/09/1979,0000,,1,9,,,,,0.732222,10,56.9,,,32.952632,26.696842,22.666667,,,
82042,31/10/1979,0000,,0.969892,12,,,,,0.863441,9,40.2,,,32.204545,26.761818,23.022727,,,
82042,30/11/1979,0000,,0.977778,7,113.8,,,204.4,0.765556,8,91.4,,,33.114286,27.363571,23.071429,,,
82042,31/12/1979,0000,,1.125806,6.7,,,,166.4,0.786022,10,69.7,,,31.696154,26.503077,22.526923,,,
82042,31/01/1980,0000,,2.021505,9,,,,,0.683871,7,61.5,,,31.138889,26.272222,22.227778,,,
82042,29/02/1980,0000,,1.991954,6.7,,,,,0.633333,1,0.2,,,33.316667,27.43,21.777778,,,
82042,31/03/1980,0000,5,0.987097,6,,,,,0.804301,8,65.2,,,32.161905,27.288571,23.228571,81.916667,,
82042,30/04/1980,0000,,0.88,4,,,,,0.811111,8,63.2,,,,,,,,
82042,31/05/1980,0000,0,0.634783,3.4,,,,,0.827174,13,172.4,,,30.35,25.989,23.175,90.118421,,
82042,30/06/1980,0000,0,0.425556,3,,,,,0.841111,17,221.1,,,30.457143,26.069524,22.914286,88.011905,,
82042,31/07/1980,0000,,0.349462,6,,,,119.3,0.774194,21,277.3,,,30.448148,25.957037,22.377778,,,
82042,31/08/1980,0000,,0.426374,2,,,,,,,,,,,,,,,
82042,30/09/1980,0000,,0.413483,2,,,,184.4,0.751685,5,19.4,,,32.628571,27.111429,22.75,,,
82042,31/10/1980,0000,,0.292473,2,,,,173.4,0.662366,2,31,,,32.311538,26.899231,22.884615,,,
82042,30/11/1980,0000,,0.651111,7,,,,182.6,0.717778,8,103.8,,,32.310345,27.116552,23.010345,,,
82042,31/12/1980,0000,,0.412903,3,,,,191.7,0.721505,5,194.4,,,31.631034,27.176552,22.734483,,,
82042,31/01/1981,0000,0,0.641935,5,,,,163.7,0.603226,2,5.4,,,31.0875,26.7475,22.4625,82.760417,,
82042,28/02/1981,0000,0,0.609524,3,,,,138.2,0.592857,10,68.3,,,31.668,26.8824,22.604,84.55,,
82042,31/03/1981,0000,5,0.978261,3,,,,192.7,0.590323,7,35.3,,,32.239286,27.145,22.371429,82.714286,,
82042,30/04/1981,0000,0,0.505618,3,,,,93.2,0.662222,18,234,,,30.545833,26.148333,22.595833,87.479167,,
82042,31/05/1981,0000,,0.508602,3,,,,,0.606452,20,329.5,,,,,,,,
