Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83919,28/02/1961,0000,0,2.571429,7,62.6,,,,6.5,16,145.6,,902.007143,24.9875,19.075,15.358333,82.054348,,
83919,31/03/1961,0000,9,3.344086,8,77.4,,,188.7,6.258065,15,220,,903.347312,22.341935,16.664516,12.683871,82.943548,,
83919,30/04/1961,0000,36,2.344444,8,50.9,,,155.3,6.588889,17,108.8,,904.024444,20.26,14.855333,11.273333,85.933333,,
83919,31/05/1961,0000,0,2.139785,8,57.9,,,238.2,4.247312,11,53.4,,905.216129,19.187097,12.728387,8.477419,83.604839,,
83919,30/06/1961,0000,36,2.888889,7,53.3,,,182.8,4.988889,12,138,,905.703333,16.61,11.265333,7.983333,84.583333,,
83919,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83919,31/08/1961,0000,36,2.978261,14,94,,,224.1,3.858696,10,93.6,,904.020652,20.874194,13.996774,9.570968,76.758065,,
83919,30/09/1961,0000,9,3.157778,7,54.1,,,64.8,8.4,22,364.3,,902.662222,18.223333,13.927333,10.81,87.5,,
83919,31/10/1961,0000,36,2.956989,8,93.1,,,194.6,5.655914,13,171.9,,901.625806,22.751613,16.76,12.512903,78.991935,,
83919,30/11/1961,0000,,,,,,,,,,45.1,,,,,,,,
83919,31/12/1961,0000,,,,,,,,,,50.8,,,,,,,,
83919,31/01/1962,0000,,,,,,,,,,14.6,,,,,,,,
83919,28/02/1962,0000,18,,8,61,,,,5.4,2,6.2,,898.356,24.141176,17.194118,12.376471,,,
83919,31/03/1962,0000,5,2.72043,9,93.7,,,201.8,5.892473,17,108,,899.944086,24.051613,18.008387,14.148387,80.790323,,
83919,30/04/1962,0000,27,2.468889,7,71.9,,,177.3,5.988889,9,55.4,,901.917778,20.43,14.017333,10,81.216667,,
83919,31/05/1962,0000,9,2.580645,12,71.4,,,189,5.376344,12,86.8,,903.18172,15.835484,9.866452,5.73871,80.080645,,
83919,30/06/1962,0000,9,2.766667,9,71.1,,,208.5,4.377778,10,40.8,,905.751111,15.816667,9.241333,4.866667,78.016667,,
83919,31/07/1962,0000,5,2.965116,12,38.5,,,109.3,6.953488,15,119.7,,907.284884,12.506897,7.314286,4.348276,86.223214,,
83919,31/08/1962,0000,23,2.698925,8,103.6,,,204.4,4.193548,14,61.2,,906.063441,17.280645,10.442581,5.654839,71.346774,,
83919,30/09/1962,0000,27,2.844444,12,88,,,167.5,6.144444,11,82.9,,904.873333,19.546667,12.974,8.483333,78.291667,,
83919,31/10/1962,0000,9,2.688172,10,95,,,201.6,5.354839,9,59,,902.287097,18.887097,12.564516,8.112903,76.991935,,
