Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83914,31/01/1961,0000,14,1.945652,7,129.2,,,262.2,5.021739,6,124.3,,934.11413,29.451613,23.054194,17.574194,67.564516,,
83914,28/02/1961,0000,0,2.214286,9,90.5,,,189.1,6.059524,17,284,,935.588095,27.846429,21.982857,17.735714,76.375,,
83914,31/03/1961,0000,5,2.408602,7,86.7,,,173.8,5.827957,15,213.1,,937.264516,25.219355,19.514839,15.13871,76.306452,,
83914,30/04/1961,0000,5,1.522222,5,54.5,,,134.2,6.1,13,176.9,,937.382222,22.373333,17.162,13.526667,81.108333,,
83914,31/05/1961,0000,0,1.55914,7,71.6,,,196.6,3.860215,8,84.2,,940.104301,21.451613,15.471613,11.251613,74.048387,,
83914,30/06/1961,0000,5,2.711111,12,57.9,,,144.1,5.711111,10,189.1,,940.743333,18.363333,13.365333,10.063333,79.75,,
83914,31/07/1961,0000,0,2.354839,7,72.8,,,155.6,6.16129,10,123.7,,940.932258,19.529032,13.678065,9.864516,76.741935,,
83914,31/08/1961,0000,36,2.526882,12,103.4,,,208.8,5.978495,10,108.6,,938.526882,23.709677,17.072903,12.33871,68.145161,,
83914,30/09/1961,0000,14,2.488889,9,51,,,54.9,8.611111,23,444,,936.204444,20.7,15.984,12.666667,84.041667,,
83914,31/10/1961,0000,0,2.150538,9,94.3,,,177.2,6.548387,16,245.7,,935.907527,24.690323,18.974194,14.758065,74.491935,,
83914,30/11/1961,0000,23,1.41573,7,103.1,,,217,5.411111,12,122.9,,934.353333,26.656667,20.476667,15.563333,69.816667,,
83914,31/12/1961,0000,0,2.096774,7,140.5,,,282.7,4.344086,11,139.6,,934.876344,28.425806,22.014194,16.616129,65.943548,,
83914,31/01/1962,0000,9,2.354839,7,137.1,,,249.9,4.516129,10,103.2,,935.104301,27.73871,21.269032,16.090323,66.91129,,
83914,28/02/1962,0000,18,2.071429,12,112.4,,,229,4.321429,9,95.3,,935.055952,27.160714,20.483571,15.407143,68.794643,,
83914,31/03/1962,0000,9,1.688172,5,110.8,,,216.9,4.827957,11,98.2,,935.937634,27.232258,20.901935,16.36129,71.814516,,
83914,30/04/1962,0000,0,1.877778,7,81.3,,,178.3,4.788889,7,137.6,,937.933333,23.176667,17.090667,12.66,73.866667,,
83914,31/05/1962,0000,5,2.021505,7,70.4,,,166.5,5.021505,10,175.6,,940.292473,17.903226,12.639355,8.709677,73.967742,,
83914,30/06/1962,0000,5,2.477778,7,74.3,,,183.4,3.744444,6,33.6,,940.825556,17.816667,11.743333,7.503333,70.85,,
83914,31/07/1962,0000,32,1.924731,7,47.4,,,111.3,6.505376,17,134.6,,942.716129,14.367742,9.43871,6,81.427419,,
83914,31/08/1962,0000,18,2.215054,12,92.9,,,183.7,4.258065,10,69.2,,939.963441,19.345161,12.917419,8.229032,67.790323,,
83914,30/09/1962,0000,14,2.855556,9,103.9,,,173.8,5.988889,10,118.9,,938.802222,22.313333,15.962,11.183333,71.191667,,
83914,31/10/1962,0000,0,2.72043,9,117.9,,,215.2,5.516129,9,66.6,,938.207527,22.041935,15.735484,10.664516,66.072581,,
83914,30/11/1962,0000,9,2.5,12,140.5,,,246.9,4.711111,6,55.9,,935.46,27.336667,20.68,15.033333,62.658333,,
83914,31/12/1962,0000,18,2.806452,9,179.2,,,289.8,3.741935,7,83.6,,934.497849,29.577419,22.343226,16.416129,60.064516,,
83914,31/01/1963,0000,14,2.688172,9,110.9,,,159.9,6.784946,17,248.2,,933.321505,28.593548,22.410323,18.212903,75.766129,,
83914,28/02/1963,0000,18,2.392857,7,92.3,,,192.6,5.72619,10,90.1,,935.992857,27.8,22.058571,17.807143,73.839286,,
83914,31/03/1963,0000,36,1.83871,7,82.8,,,190.8,5.623656,13,177.3,,937.033333,27.6,21.763226,17.816129,76.508065,,
83914,30/04/1963,0000,36,1.577778,9,85.3,,,205.9,3.766667,5,52,,937.845556,24.93,18.162,13.556667,70.416667,,
83914,31/05/1963,0000,0,2.11828,7,72.1,,,173.9,4.419355,7,75,,940.847312,21.374194,15.317419,11.332258,73.129032,,
83914,30/06/1963,0000,18,2.966667,9,70.2,,,162.6,5.422222,6,59.8,,940.735556,18.576667,12.502,8.333333,72.508333,,
83914,31/07/1963,0000,0,2.870968,7,86.9,,,156.3,5.956989,9,55,,939.951613,20.574194,14.534839,10.516129,70.516129,,
83914,31/08/1963,0000,36,2.935484,7,92.9,,,118.1,7.591398,13,224.6,,937.727957,20.909677,14.756774,10.377419,70.572581,,
83914,30/09/1963,0000,0,2.377778,7,102.6,,,61.7,8.855556,18,289.3,,936.695556,22.083333,17.138667,13.88,74.225,,
83914,31/10/1963,0000,14,2.645161,9,78.7,,,129.1,7.172043,15,309.8,,936.924731,22.858065,17.436774,13.354839,77.887097,,
83914,30/11/1963,0000,14,1.877778,7,94.6,,,176,6.422222,14,286.8,,934.48,25.503333,19.574,14.87,73.725,,
83914,31/12/1963,0000,18,2.619565,9,123.9,,,243,4.451613,12,245.1,,936.370968,26.764516,20.48,15.596774,70.298387,,
83914,31/01/1964,0000,14,2.258065,7,155.9,,,268.2,3.731183,7,77.4,,934.424731,29.490323,22.492903,16.974194,63.225806,,
83914,29/02/1964,0000,14,2.16092,7,105.1,,,206.1,5.034483,11,193.7,,933.717241,28.268966,22.026207,17.534483,72.887931,,
83914,31/03/1964,0000,0,2.354839,7,126.6,,,189.9,4.634409,7,58.9,,937.836559,27.070968,20.503226,16,71.177419,,
83914,30/04/1964,0000,23,2.066667,7,65,,,119,5.922222,16,249.1,,938.238889,23.203333,18.101333,14.68,81.416667,,
83914,31/05/1964,0000,14,1.88172,7,71.3,,,192.1,3.462366,5,33.8,,940.941935,20.967742,14.970323,11.093548,73.387097,,
83914,30/06/1964,0000,5,2.366667,9,57.7,,,135.9,4.533333,5,45,,939.053333,16.756667,10.82,6.94,74.891667,,
83914,31/07/1964,0000,9,2.021505,7,69.6,,,162.1,4.193548,8,91.7,,940.880645,16.606452,10.628387,6.396774,71,,
83914,31/08/1964,0000,5,2.408602,9,71.4,,,142.6,5.215054,12,211.2,,939.803226,19.893548,14.13871,9.925806,75.782258,,
83914,30/09/1964,0000,36,1.488889,7,83.7,,,111,6.522222,12,180.6,,938.366667,21.873333,15.784667,11.71,73.025,,
83914,31/10/1964,0000,0,2.129032,7,109.1,,,252.9,3.44086,7,99.2,,937.101075,22.919355,16.165161,10.967742,66.185484,,
83914,30/11/1964,0000,14,2.255556,9,141.8,,,237.2,4.133333,5,121.8,,936.055556,25.103333,18.372,12.76,60.541667,,
83914,31/12/1964,0000,18,2.065591,7,125.8,,,254.7,3.978495,13,131.1,,932.896774,26.587097,20.234194,14.629032,64.701613,,
83914,31/01/1965,0000,36,2.107527,7,134.7,,,265,3.526882,7,70.4,,933.813978,28.974194,22.203226,16.758065,64.346774,,
83914,28/02/1965,0000,0,1.309524,5,106.2,,,186.8,5.071429,,136.8,,932.65119,27.957143,22.183571,17.835714,71.107143,,
83914,31/03/1965,0000,32,1.83871,5,82.6,,,164.4,4.290323,12,64.5,,936.331183,23.516129,17.870323,13.829032,74.564516,,
83914,30/04/1965,0000,18,1.922222,5,67.9,,,128,5.222222,13,130.6,,937.14,22.576667,16.858667,13.106667,79.566667,,
83914,31/05/1965,0000,9,1.516129,7,58,,,138.5,5,8,44.4,,938.398925,19.890323,14.054194,10.206452,77.169355,,
83914,30/06/1965,0000,5,1.344444,7,70.2,,,164,3.866667,5,46.8,,941.07,20.776667,15.196,11.483333,78.575,,
83914,31/07/1965,0000,36,2.784946,9,74,,,137,5.655914,9,102.2,,939.368817,17.448387,11.771613,7.693548,75.16129,,
83914,31/08/1965,0000,0,3.021505,9,86,,,148,6.043011,16,407.5,,936.813978,19.683871,14.027097,9.796774,77.016129,,
83914,30/09/1965,0000,5,2.640449,7,86,,,144.8,6.388889,15,352.9,,937.152222,20.723333,15.372667,11.346667,76.075,,
83914,31/10/1965,0000,5,2.580645,9,125.4,,,232.1,3.88172,16,184.3,,935.690323,23.8,17.810323,13.13871,68.572581,,
83914,30/11/1965,0000,14,2.133333,5,128.8,,,208.4,5.066667,9,94.2,,935.775556,25.82,19.974,15.13,67.091667,,
83914,31/12/1965,0000,5,2.172043,9,105,,,222.4,5.591398,16,291.8,,934.024731,26.735484,21.116129,16.703226,75.798387,,
83914,31/01/1966,0000,27,1.989247,5,109.6,,,228.5,5.193548,17,219.1,,934.250538,27.651613,21.728387,17.464516,75.120968,,
83914,28/02/1966,0000,14,1.857143,7,67.6,,,146.1,6.27381,19,197.6,,934.37619,26.760714,21.335714,17.617857,80.973214,,
83914,31/03/1966,0000,5,2.193548,5,104.8,,,224.5,4.247312,11,151.1,,936.304301,26.258065,20.512903,16.058065,73.032258,,
83914,30/04/1966,0000,0,2.244444,7,83.6,,,200.6,3.955556,5,33.2,,938.401111,24.62,18.698667,14.553333,73.558333,,
83914,31/05/1966,0000,0,1.989247,7,98.4,,,213.4,2.978495,4,8,,940.109677,21.745161,15.542581,11.212903,70.75,,
83914,30/06/1966,0000,18,3.122222,12,87,,,174.3,4.955556,12,235.2,,937.901111,19.926667,13.874667,9.696667,75.383333,,
83914,31/07/1966,0000,0,2.956989,9,94.4,,,178.7,4.634409,8,196.5,,940.269892,19.364516,13.663871,9.764516,73.677419,,
83914,31/08/1966,0000,27,2.784946,12,92.6,,,195.9,5.677419,11,270.2,,939.687097,18.758065,12.440645,7.787097,72.709677,,
83914,30/09/1966,0000,36,2.511111,7,101.9,,,184.4,6.077778,10,245.1,,939.688889,19.916667,13.984,9.823333,72.05,,
83914,31/10/1966,0000,0,2.419355,12,112.6,,,182,5.817204,13,268.8,,936.1,22.4,16.897419,12.696774,73.185484,,
83914,30/11/1966,0000,9,1.966667,5,138.5,,,235.1,4.688889,6,48.4,,935.494444,26.84,20.330667,15.153333,65.225,,
83914,31/12/1966,0000,36,2.215054,7,97.7,,,229.1,5.849462,16,283.8,,933.006452,26.958065,21.001935,16.587097,74.870968,,
83914,31/01/1967,0000,14,2.462366,7,126.3,,,251.1,4.494624,11,98.3,,934.135484,27.3,21.272258,16.545161,71.532258,,
83914,28/02/1967,0000,0,2.035714,5,87.3,,,162.3,6,10,148.5,,935.088095,26.714286,21.282857,17.332143,78.053571,,
83914,31/03/1967,0000,0,1.548387,5,98.8,,,202.3,4.795699,11,114.3,,936.552688,25.187097,19.537419,15.332258,76.629032,,
83914,30/04/1967,0000,0,1.611111,5,99.4,,,235,2.766667,6,34.1,,939.052222,24.306667,17.774,13.043333,70.866667,,
83914,31/05/1967,0000,5,1.935484,7,119.2,,,216.4,3.827957,4,86.9,,939.134409,23.816129,17.735484,13.283871,69.032258,,
83914,30/06/1967,0000,5,2.022222,9,82.2,,,177.4,4.255556,11,54.8,,939.227778,18.373333,11.922,7.99,73.366667,,
83914,31/07/1967,0000,27,2.860215,9,94.2,,,140.4,5.612903,11,248.2,,940.073118,19.148387,13.880645,10.154839,74.298387,,
83914,31/08/1967,0000,5,3.096774,9,124.6,,,136.2,6.55914,11,223.3,,938.552688,22.629032,16.363871,11.967742,69.693548,,
83914,30/09/1967,0000,5,2.7,9,83.6,,,127.4,6.6,16,305.1,,938.128889,21.48,16.384667,12.43,74.383333,,
83914,31/10/1967,0000,14,2.397849,9,111.5,,,156.5,7.11828,11,124.4,,937.022581,25.851613,20.115484,15.583871,71.629032,,
83914,30/11/1967,0000,5,2.755556,9,108.8,,,186,5.188889,9,154.1,,934.694444,25.3,19.325333,14.803333,69.791667,,
83914,31/12/1967,0000,0,1.355914,5,162.5,,,313.7,2.311828,3,104.4,,935.432258,28.674194,21.812258,15.677419,54.725806,,
83914,31/01/1968,0000,0,2.365591,7,113.8,,,198.3,5.365591,12,158.6,,935.732258,27.767742,21.614194,17.083871,66.725806,,
83914,29/02/1968,0000,14,2.390805,7,140.3,,,270.4,2.850575,6,74.6,,935.903448,28.741379,22.388966,16.575862,57.155172,,
83914,31/03/1968,0000,18,2.182796,5,93.7,,,187.5,4.903226,13,110.4,,937.421505,26.951613,20.943226,16.887097,72.580645,,
83914,30/04/1968,0000,14,1.855556,7,80,,,196.3,3.322222,7,127,,938.564444,20.206667,14.201333,9.92,69.233333,,
83914,31/05/1968,0000,23,1.225806,7,70.2,,,187,3.44086,4,24.6,,940.44086,19.087097,12.620645,8.090323,68.5,,
83914,30/06/1968,0000,0,1.855556,7,51.1,,,135.4,5.066667,11,80.8,,941.823333,18.78,13.421333,9.92,77.575,,
83914,31/07/1968,0000,0,2.172043,7,66.1,,,167.5,4.053763,9,85.5,,942.565591,19.248387,13.732258,9.909677,73.056452,,
83914,31/08/1968,0000,9,2.030108,7,87.8,,,170.8,4.827957,7,15.5,,941.248387,20.483871,14.256129,9.816129,67.701613,,
83914,30/09/1968,0000,18,2.322222,9,92.4,,,167.2,5.077778,10,185.5,,939.422222,20.416667,14.406,9.823333,67.691667,,
83914,31/10/1968,0000,9,2.182796,9,96.1,,,193.2,5.290323,8,133.7,,936.523656,24.029032,18.005161,13.616129,70.790323,,
83914,30/11/1968,0000,0,2.17,7,115.4,,,222.1,5.111111,10,94.7,,934.738889,28.82,22.186667,17.473333,66.366667,,
83914,31/12/1968,0000,14,2.347312,9,129,,,247.5,4.16129,8,113.9,,933.903226,28.758065,22.392258,16.896774,63.395161,,
83914,31/01/1969,0000,0,2.150538,5,76.2,,,206.7,5.215054,12,170.5,,932.687097,26.790323,20.823226,16.174194,75.443548,,
83914,28/02/1969,0000,0,2.130952,7,63.5,,,178.8,5.892857,12,198.8,,933.989286,28.328571,22.349286,18.085714,78.973214,,
83914,31/03/1969,0000,0,2.258065,7,88.2,,,227.3,3.731183,7,88,,936.101075,26.870968,20.745806,16.232258,72.959677,,
83914,30/04/1969,0000,23,2.2,5,67.5,,,171.8,4.5,6,75,,937.735556,23.466667,18.025333,14.303333,73.566667,,
83914,31/05/1969,0000,14,2.44086,7,56.8,,,177.7,4.494624,11,131.6,,938.3,21.354839,15.52,11.903226,77.41129,,
83914,30/06/1969,0000,5,2.9,9,55.2,,,142.9,5.288889,10,116.5,,940.075556,17.836667,12.649333,9.353333,78.05,,
83914,31/07/1969,0000,18,2.827957,12,62.7,,,185.3,3.860215,8,57.4,,941.065591,19.270968,13.275484,9.151613,73.66129,,
83914,31/08/1969,0000,14,2.989247,9,80.8,,,193.8,5.408602,8,58.6,,938.580645,19.63871,12.854194,8.293548,69.185484,,
83914,30/09/1969,0000,18,2.577778,7,90.1,,,180.1,5.9,12,197.9,,936.018889,22.55,16.050667,11.183333,68.241667,,
83914,31/10/1969,0000,23,2.634409,7,101.5,,,218,4.645161,11,87.7,,936.988172,22.716129,16.196129,10.912903,66.451613,,
83914,30/11/1969,0000,14,2.877778,12,94.1,,,212,5.844444,11,184.9,,934.234444,26.156667,20.073333,15.413333,69.691667,,
83914,31/12/1969,0000,18,2.903226,9,140.1,,,278.5,3.784946,9,115.4,,937.152688,27.919355,21.189032,15.790323,59.943548,,
83914,31/01/1970,0000,14,2.48913,9,111.7,,,281,4.83871,10,84.1,,937.534409,29.622581,22.747097,17.745161,66.153226,,
83914,28/02/1970,0000,14,2.428571,7,113.1,,,234.4,4.130952,,78,,938.516667,29.339286,22.72,18.121429,67.482143,,
83914,31/03/1970,0000,14,2.27957,7,97.2,,,161.6,5.827957,12,189.7,,939.955914,27.145161,21.508387,17.729032,74.66129,,
83914,30/04/1970,0000,5,2.191111,7,111.1,,,242.4,3.444444,7,43.7,,941.113333,26.493333,19.513333,15.036667,67.175,,
83914,31/05/1970,0000,32,2.010753,7,69.6,,,156.9,5.72043,11,180.2,,940.780645,22.048387,16.44,13.070968,77.790323,,
83914,30/06/1970,0000,0,2.460674,9,71,,,125.2,5.588889,10,205.1,,941.526667,18.846667,13.384667,9.853333,80.491667,,
83914,31/07/1970,0000,23,3.225806,7,103.3,,,173.1,4.483871,9,179,,944.87957,18.674194,13.239355,9.632258,74.451613,,
83914,31/08/1970,0000,5,3.430108,12,108.7,,,190.6,4.494624,9,99.4,,943.108602,19.325806,13.314839,9.377419,72.282258,,
83914,30/09/1970,0000,0,2.511111,7,103,,,184.8,5,8,74.2,,941.177778,22.103333,15.971333,11.573333,69.725,,
83914,31/10/1970,0000,14,2.688172,12,102.3,,,195.9,5.731183,9,110.4,,938.243011,23.493548,17.307742,12.783871,71.701613,,
83914,30/11/1970,0000,36,2.755556,9,150.9,,,246.2,4.3,7,31.8,,937.222222,25.343333,18.116667,12.483333,59.225,,
83914,31/12/1970,0000,23,3.032258,12,137.1,,,227.4,5.903226,16,437.5,,934.777419,28.112903,21.460645,16.496774,67.040323,,
83914,31/01/1971,0000,14,2.688172,9,120.2,,,214,5.623656,16,105.6,,936.049462,28.422581,22.634194,18.641935,73.862903,,
83914,28/02/1971,0000,14,2.380952,7,87.3,,,189.8,5.916667,,333.1,,937.27381,28.353571,22.091429,17.946429,77.428571,,
83914,31/03/1971,0000,14,2.11828,5,87.2,,,203,5.021505,15,108.1,,937.235484,26.796774,20.851613,17,76.782258,,
83914,30/04/1971,0000,14,2.422222,7,81,,,202.9,4.6,11,144,,938.873333,22,15.602,11.16,74.133333,,
83914,31/05/1971,0000,36,2.358696,7,71.5,,,207,4.462366,,106.9,,941.355914,19.390323,13.255484,9.445161,77.233871,,
83914,30/06/1971,0000,5,2.6,9,54.9,,,132.5,6.055556,15,210.5,,939.825556,16.4,10.912667,7.15,80.475,,
83914,31/07/1971,0000,0,2.569892,9,97.3,,,189.6,4.602151,,133,,940.537634,19.912903,14.186452,10.396774,72.637097,,
83914,31/08/1971,0000,0,3.311828,9,94.3,,,188.5,5.365591,,307.3,,941.756989,19.619355,13.925806,9.858065,75.814516,,
83914,30/09/1971,0000,5,3,12,117.1,,,201.8,6.233333,,92.1,,939.515556,24.453333,17.796667,13.393333,68.566667,,
83914,31/10/1971,0000,0,2.580645,9,132.4,,,228.1,5.204301,,68.6,,939.860215,24.432258,17.603871,12.609677,64.669355,,
83914,30/11/1971,0000,5,2.738636,12,168,,,251.4,5.122222,,79.3,,937.014444,27.253333,20.036667,14.296667,58.225,,
83914,31/12/1971,0000,9,2.741935,12,156.5,,,282.8,3.913978,,154.9,,934.667742,29.490323,22.378065,16.454839,62.306452,,
83914,31/01/1972,0000,18,2.569892,7,115.5,,,234.9,5.419355,16,170.2,,935.458065,28.632258,22.045806,17.387097,71.451613,,
83914,29/02/1972,0000,18,2.344828,9,91.7,,,228.7,4.954023,,337.6,,936.606897,27.27931,20.716552,16.544828,75.732759,,
83914,31/03/1972,0000,9,2.365591,7,92.6,,,186,4.892473,,156,,937.068817,26.832258,20.719355,16.745161,76.370968,,
83914,30/04/1972,0000,14,2.4,7,87.8,,,233.8,3.788889,,158.3,,939.671111,22.693333,16.575333,12.5,71.108333,,
83914,31/05/1972,0000,9,2.612903,7,95.8,,,201.7,4.741935,,90,,939.508602,23.487097,17.440645,13.703226,73.25,,
83914,30/06/1972,0000,5,2.833333,7,61.5,,,98.9,7.333333,19,410.3,,938.962222,19.636667,15.690667,13.283333,83.083333,,
83914,31/07/1972,0000,14,3.516129,12,77.3,,,164.1,6.010753,,180,,939.313978,18.670968,13.236774,9.519355,78.177419,,
83914,31/08/1972,0000,5,3.688172,12,81.4,,,129.5,7.16129,15,430,,938.031183,17.916129,13.005806,9.767742,78.306452,,
83914,30/09/1972,0000,27,3.853933,9,103.3,,,192,4.933333,,280.2,,939.342222,21.963333,15.810667,11.273333,72.675,,
83914,31/10/1972,0000,0,3.44086,12,102.7,,,177.7,6.387097,,130.2,,937.762366,22.674194,16.430968,11.751613,71.758065,,
83914,30/11/1972,0000,5,2.911111,12,100.8,,,201.8,6.355556,,292.3,,935.567778,25.233333,19.386667,15.083333,75.033333,,
83914,31/12/1972,0000,5,3.27957,12,153.1,,,279.6,5.483871,,120.7,,936.384946,28.2,21.78129,16.512903,61.298387,,
83914,31/01/1973,0000,0,3.032258,7,93.6,,,204.2,6.55914,17,196.1,,936.631183,28.364516,22.596129,18.416129,76.91129,,
83914,28/02/1973,0000,18,2.785714,9,85.4,,,192.5,6.285714,15,146.2,,936.929762,29.135714,23.166429,19.057143,77.866071,,
83914,31/03/1973,0000,14,2.473118,9,94.1,,,231.1,4.731183,,122.2,,937.717204,27.119355,20.610323,16.177419,73.427419,,
83914,30/04/1973,0000,9,2.288889,7,90.1,,,178.7,5.555556,,76.3,,938.855556,26.623333,20.372667,16.553333,75.5,,
83914,31/05/1973,0000,36,2.505376,9,61.7,,,179.1,5.677419,15,209.5,,940.812903,20.612903,15.165161,11.63871,79,,
83914,30/06/1973,0000,14,2.388889,7,58.6,,,146.2,5.644444,16,200,,938.582222,19.23,14.102,10.753333,79.816667,,
