Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83997,31/01/1961,0000,5,3.626374,10,109.2,,,263.4,4.543478,12,122.9,,,27.958065,22.145161,17.777419,75.596774,,
83997,28/02/1961,0000,5,3.321429,9,118.4,,,251.9,4.154762,10,43,,,28.492857,22.506429,18.525,82.9375,,
83997,31/03/1961,0000,14,3.182796,7,103.6,,,212.6,4.139785,11,97,,1013.57957,26.012903,20.489032,16.851613,84.5,,
83997,30/04/1961,0000,36,2.677778,6,81,,,223.2,3.6,13,27.4,,,22.133333,15.776667,11.62,83.583333,,
83997,31/05/1961,0000,23,2.16129,8,54.7,,,204.1,4.182796,14,24.6,,,21.374194,15.071613,11.16129,84.790323,,
83997,30/06/1961,0000,5,3.7,10,68.6,,,124.6,5.844444,12,103.1,,,17.416667,12.06,8.576667,80.75,,
83997,31/07/1961,0000,14,2.634409,9,48.8,,,133.2,5.978495,10,88.9,,,16.129032,11.058065,7.803226,85.241935,,
83997,31/08/1961,0000,14,3.204301,12,48.8,,,138.9,6.139785,12,141.4,,,17.958065,13.059355,10.070968,85.193548,,
83997,30/09/1961,0000,18,3.644444,14,58.2,,,180.1,5.066667,16,225,,,17.966667,13.386667,9.86,81.775,,
83997,31/10/1961,0000,23,4,14,77.6,,,191.2,5.645161,12,88.2,,,22.770968,18.270968,14.996774,82.975806,,
83997,30/11/1961,0000,5,3.1,8,90.4,,,263.7,4.7,10,80.3,,,25.403333,19.592,15.33,79.433333,,
83997,31/12/1961,0000,5,3.731183,9,108,,,255.2,4.752688,11,157.9,,,26.164516,20.873548,16.690323,78.056452,,
83997,31/01/1962,0000,5,3.870968,9,122,,,296.8,4.268817,7,98.2,,,26.980645,21.33871,17.251613,74.298387,,
83997,28/02/1962,0000,14,3.404762,9,119.9,,,265.2,3.238095,8,27.8,,,27.164286,20.875,16.221429,72.116071,,
83997,31/03/1962,0000,5,2.731183,8,79.4,,,197.1,4.806452,11,119.3,,,27.070968,21.329677,17.703226,83.104839,,
83997,30/04/1962,0000,5,2.888889,10,66.5,,,181.5,4.222222,12,52,,,21.723333,16.124,12.286667,84.75,,
83997,31/05/1962,0000,9,2.784946,9,65.6,,,182.7,4.053763,11,54.6,,,19.032258,12.247097,8.209677,85.766129,,
83997,30/06/1962,0000,0,2.455556,8,47.2,,,155.9,4.888889,14,23.8,,,17.64,11.761333,8.1,87.816667,,
