Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83907,31/01/1961,0000,0,1.293478,6,143,,,294.5,4.423913,6,98.8,,980.142391,32.577419,26.016129,19.712903,65.725806,,
83907,28/02/1961,0000,0,1.345238,5,101.7,,,218.7,4.797619,7,247,,981.692857,31.142857,24.904286,19.603571,71.133929,,
83907,31/03/1961,0000,9,1.292473,6,88.8,,,184.9,5.537634,9,236,,983.582796,27.76129,22.11871,17.445161,74.225806,,
83907,30/04/1961,0000,5,1.162222,3,54.3,,,178.4,5.122222,13,256.2,,984.276667,24.206667,19.008,15.103333,81.116667,,
83907,31/05/1961,0000,9,1.053763,3,63.3,,,214.3,3.354839,6,126,,987.163441,23.612903,17.515484,12.812903,77.346774,,
83907,30/06/1961,0000,5,1.833333,6,67.4,,,140.4,5.788889,7,192.2,,988.427778,20.193333,15.128,11.44,79.533333,,
83907,31/07/1961,0000,5,1.71828,5,63.1,,,159.3,5.258065,9,139.7,,990.658065,21.032258,14.92129,10.577419,78.475806,,
83907,31/08/1961,0000,5,1.83871,6,113.4,,,221.7,3.817204,9,99.6,,987.184946,25.735484,18.867742,13.774194,67.298387,,
83907,30/09/1961,0000,14,1.966667,7,75.6,,,131.2,6.911111,18,287.8,,985.727778,22.9,17.850667,13.913333,81.091667,,
83907,31/10/1961,0000,0,1.591398,5,89.8,,,216.1,4.784946,15,267.8,,984.550538,27.335484,21.368387,16.409677,74.459677,,
83907,30/11/1961,0000,23,1.322222,4,108,,,256.5,4.9,9,187.6,,983.244444,29.053333,22.84,17.37,70.158333,,
83907,31/12/1961,0000,23,1.55914,4,144.5,,,301.4,4.150538,9,113.1,,983.388172,31.096774,24.655484,18.658065,61.887097,,
83907,31/01/1962,0000,9,1.516129,4,145,,,261.6,4.516129,8,61.6,,983.708602,31.096774,24.55871,18.441935,61.685484,,
83907,28/02/1962,0000,14,1.369048,3,133.5,,,246.4,4.011905,6,95.2,,984.113095,30.203571,23.275,17.110714,61,,
83907,31/03/1962,0000,9,1.182796,3,100,,,250.8,4.408602,11,269.2,,984.502151,29.8,23.630968,18.354839,69.967742,,
83907,30/04/1962,0000,0,1.266667,3,71.7,,,213.8,4.544444,9,87.7,,987.717778,25.193333,19.137333,14.506667,76.4,,
83907,31/05/1962,0000,5,1.44086,5,71.7,,,189.1,4.666667,9,92.1,,990.839785,20.706452,14.869677,10.332258,72.951613,,
83907,30/06/1962,0000,5,1.766667,7,89.5,,,221,3.211111,4,18.1,,990.816667,20.51,13.985333,9.08,68.208333,,
83907,31/07/1962,0000,5,1.677419,4,56.2,,,142.8,5.688172,13,47.9,,994.068817,16.509677,11.124516,7.458065,80.387097,,
83907,31/08/1962,0000,27,1.677419,6,98.5,,,213.5,4.193548,8,77.9,,989.945161,21.029032,14.616129,9.687097,68.346774,,
83907,30/09/1962,0000,0,1.744444,5,112.1,,,188.4,4.4,5,81.8,,987.995556,24.26,18.053333,12.756667,68.575,,
83907,31/10/1962,0000,5,1.301075,3,120.8,,,235.6,3.935484,6,84.8,,988.36129,24.348387,17.903871,12.26129,65.209677,,
83907,30/11/1962,0000,14,1.144444,3,142.5,,,264,4.022222,6,79.6,,984.563333,29.926667,23.426,17.226667,60.525,,
83907,31/12/1962,0000,14,1.526882,5,196.5,,,296.1,3.870968,4,49.9,,983.02043,32.987097,25.88129,19.225806,54.556452,,
83907,31/01/1963,0000,0,1.580645,6,116.9,,,191,6.290323,11,166.8,,981.341935,32.106452,25.795484,20.606452,68.782258,,
83907,28/02/1963,0000,9,1.035714,4,107.1,,,218.8,4.690476,5,43.1,,984.333333,31.460714,25.358571,20.153571,67.080357,,
83907,31/03/1963,0000,5,1.021505,4,116.8,,,244.5,4.806452,8,115.2,,985.404301,31.293548,25.00129,19.796774,68.83871,,
83907,30/04/1963,0000,0,0.966667,3,81.2,,,244.8,3.055556,5,97.1,,987.32,26.783333,20.447333,15.423333,70.758333,,
83907,31/05/1963,0000,9,1.182796,5,69.6,,,223.7,4.419355,6,119.9,,990.450538,23.709677,17.672903,13.354839,74.306452,,
83907,30/06/1963,0000,14,1.577778,6,74.3,,,188.3,4.277778,6,120.3,,990.482222,20.27,14.558667,10.426667,73.016667,,
83907,31/07/1963,0000,0,1.322581,3,82.4,,,161.1,5.494624,8,107.9,,989.195699,22.435484,16.689677,12.690323,72.725806,,
83907,31/08/1963,0000,36,1.580645,4,108.4,,,142.9,6.010753,10,167.6,,986.745161,22.658065,16.734839,12.241935,69.508065,,
83907,30/09/1963,0000,5,1.6,4,112.5,,,94.9,7.411111,15,230.1,,985.797778,23.376667,18.804,15.47,74.016667,,
83907,31/10/1963,0000,14,2.064516,9,112.6,,,186.8,5.129032,11,147.6,,986.032258,24.964516,19.540645,14.816129,73.572581,,
83907,30/11/1963,0000,9,2.166667,9,117.7,,,185.5,5.366667,12,303.1,,983.28,27.17,21.427333,16.456667,71.183333,,
83907,31/12/1963,0000,9,1.526882,5,137.7,,,259.7,4.946237,10,221,,984.77957,29.051613,23.138065,17.76129,68.225806,,
83907,31/01/1964,0000,9,1.419355,6,189.3,,,317.5,3.698925,2,7.1,,983.12043,32.425806,25.427742,18.996774,56.435484,,
83907,29/02/1964,0000,0,1.494253,5,138.2,,,255.6,4.37931,7,86.6,,982.022989,31.651724,24.993103,19.413793,66.810345,,
83907,31/03/1964,0000,32,1.419355,5,154.3,,,231.6,4.870968,11,58.3,,986.391398,29.893548,23.443226,18.658065,66.983871,,
83907,30/04/1964,0000,18,1.5,3,88.7,,,164.1,5.9,12,346.6,,987.476667,25.786667,20.335333,16.053333,78.208333,,
83907,31/05/1964,0000,18,1.053763,3,83,,,249,2.946237,3,40.7,,990.768817,23.745161,17.724516,13.212903,73.258065,,
83907,30/06/1964,0000,0,1.422222,5,72.4,,,183.2,4.111111,8,27.8,,989.747778,18.126667,12.123333,7.766667,73.966667,,
83907,31/07/1964,0000,14,1.408602,6,91,,,215.6,3.27957,7,71.5,,991.517204,19.070968,12.825161,8.077419,68.209677,,
83907,31/08/1964,0000,5,1.784946,5,100,,,181.9,4.892473,13,166.2,,989.349462,21.664516,15.809032,11.119355,74.241935,,
83907,30/09/1964,0000,5,1.577778,5,99.4,,,173.6,5.211111,11,198.2,,988.243333,23.386667,17.412,12.763333,72.008333,,
83907,31/10/1964,0000,23,1.623656,3,141.3,,,281.2,3.311828,5,69.8,,987.45914,24.432258,17.886452,12.274194,64.040323,,
83907,30/11/1964,0000,18,1.788889,5,172.7,,,288.9,3.6,7,89.8,,985.358889,27.246667,20.732667,14.626667,58.675,,
83907,31/12/1964,0000,14,1.677419,7,164.7,,,276.2,4,7,115.6,,981.584946,29.122581,23.133548,17.225806,59.354839,,
83907,31/01/1965,0000,0,1.290323,4,177.2,,,309.7,3.645161,7,56.4,,982.288172,31.645161,24.970968,18.870968,59.475806,,
83907,28/02/1965,0000,0,1.02381,3,126,,,220.5,4.928571,,151.8,,980.72619,31.046429,25.162143,20.117857,66.1875,,
83907,31/03/1965,0000,23,1.376344,5,122.9,,,254.8,3.935484,9,48.5,,986.026882,27.219355,20.954194,15.709677,66.104839,,
83907,30/04/1965,0000,14,1.566667,7,84.4,,,203.1,4.611111,10,179.2,,986.264444,25.44,19.528,15.19,75.466667,,
83907,31/05/1965,0000,0,1.25914,3,74.6,,,195.6,4.483871,7,156.8,,988.13871,21.635484,15.963871,11.658065,75.822581,,
83907,30/06/1965,0000,5,0.944444,3,56.2,,,194.8,4.355556,9,93.5,,990.273333,22.39,17.075333,13.36,80.333333,,
83907,31/07/1965,0000,9,1.484946,6,84.1,,,185.6,5.247312,7,89.2,,989.275269,19.835484,13.657419,9.241935,73.483871,,
83907,31/08/1965,0000,36,2.215054,7,90.8,,,146,6.849462,15,188.4,,986.273118,21.496774,16.164516,11.632258,77,,
83907,30/09/1965,0000,0,1.566667,5,79,,,160.4,5.811111,14,242,,986.862222,22.403333,16.725333,12.213333,74.691667,,
83907,31/10/1965,0000,14,1.655914,4,136.1,,,266.7,4.44086,10,216.3,,984.98172,26.76129,20.194194,14.622581,67.701613,,
83907,30/11/1965,0000,14,1.577778,7,138,,,224.5,5.711111,5,83.9,,984.586667,28.263333,22.312,16.89,68.241667,,
83907,31/12/1965,0000,9,1.935484,6,109.4,,,230.1,5.645161,12,340.3,,982.322581,28.793548,23.225161,18.087097,74.806452,,
83907,31/01/1966,0000,9,1.290323,4,117.6,,,257.7,5.204301,15,229.9,,982.433333,29.890323,23.891613,19.045161,73.25,,
83907,28/02/1966,0000,14,1.345238,6,86.5,,,189.7,6.22619,14,113.3,,983.032143,28.857143,23.257857,18.907143,78.75,,
83907,31/03/1966,0000,9,1.333333,8,100.3,,,207.3,4.860215,12,180.4,,984.9,27.725806,22.047742,17.193548,74.080645,,
83907,30/04/1966,0000,5,1.344444,5,83.6,,,229,4.833333,6,58.7,,987.217778,26.713333,20.62,16.226667,75.583333,,
83907,31/05/1966,0000,0,1.032258,4,85.6,,,232.5,3.333333,4,23.5,,989.865591,23.345161,16.896774,12.019355,72.008065,,
83907,30/06/1966,0000,23,1.577778,5,70.8,,,191.2,4.633333,9,203,,987.133333,21.91,15.715333,10.993333,76.108333,,
83907,31/07/1966,0000,0,1.516129,6,85.2,,,181.3,5.333333,11,152.8,,989.731183,20.745161,15.353548,11.267742,75.862903,,
83907,31/08/1966,0000,27,1.806452,5,112.2,,,237.1,4.096774,8,58.3,,989.647312,20.974194,13.893548,8.667742,66.604839,,
83907,30/09/1966,0000,18,2.188889,7,106.6,,,195.7,5.177778,8,111.9,,989.764444,21.823333,15.684667,10.79,70.208333,,
83907,31/10/1966,0000,0,1.88172,6,106,,,219.7,5.139785,14,321.5,,985.273118,24.816129,18.879355,13.874194,72.459677,,
83907,30/11/1966,0000,14,1.388889,3,84.2,,,272.6,4.466667,6,97.5,,984.146667,29.196667,22.846,17.196667,67.375,,
83907,31/12/1966,0000,0,1.752688,7,121.7,,,266.7,5.612903,9,139.5,,981.131183,29.322581,23.230968,18.164516,70.58871,,
83907,31/01/1967,0000,9,1.16129,3,120.3,,,307.1,4.462366,10,149.5,,982.444086,29.932258,23.663871,17.841935,67.459677,,
83907,28/02/1967,0000,0,1.369048,4,106.8,,,230.4,5.797619,8,156.3,,982.986905,30.567857,24.519286,19.510714,71.3125,,
83907,31/03/1967,0000,23,1.182796,3,102.6,,,253.8,4.612903,8,83.2,,985.480645,27.770968,21.507097,16.287097,70.717742,,
83907,30/04/1967,0000,0,1.574713,5,80.4,,,244.9,2.494253,4,43.4,,988.521839,26.806667,19.76,14.289655,66.678571,,
83907,31/05/1967,0000,0,1.823656,7,96.8,,,190.7,4.677419,7,147.5,,987.707527,26.364516,20.267097,15.848387,68.814516,,
