Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83887,31/01/1961,0000,9,2.043478,5,88.2,,,,6.413043,12,64,,905.568478,28.316129,21.283871,15.364516,73.766129,,
83887,28/02/1961,0000,0,2.404762,7,68,,,,6.678571,14,82,,906.991667,27.021429,20.533571,15.55,79.785714,,
83887,31/03/1961,0000,5,,7,32.7,,,,7.103448,11,131.4,,906.896552,24.226316,18.525263,13.836842,,,
83887,31/01/1969,0000,5,2.771739,9,72.1,,,,6.565217,18,457.8,,906.440217,25.612903,19.690323,15.432258,79.616667,,
83887,28/02/1969,0000,14,3.011905,9,64.9,,,218,6.178571,14,309.9,,907.3,27.217857,20.727143,15.085714,81.169643,,
83887,31/03/1969,0000,32,3.55914,9,79.1,,,221.5,5.526882,11,183.2,,909.487097,25.293548,18.9,12.8,78.225806,,
83887,30/04/1969,0000,14,3.088889,9,59,,,174.8,6.422222,11,155.4,,910.642222,21.783333,15.531333,9.773333,83.225,,
83887,31/05/1969,0000,5,3.247312,9,63.9,,,207.6,5.462366,13,122.5,,911.439785,20.387097,14.270968,10.458065,80.112903,,
83887,30/06/1969,0000,32,4.311111,9,51.1,,,143.9,7.044444,9,146,,912.508889,17.703333,12.108667,8.53,83.041667,,
83887,31/07/1969,0000,5,3.698925,9,68.4,,,206.2,5.505376,9,85.9,,913.545161,18.393548,11.813548,7.570968,79.370968,,
83887,31/08/1969,0000,5,3.505376,9,93.2,,,178.9,5.505376,14,107.1,,910.825806,19.535484,12.429032,7.529032,75.314516,,
83887,30/09/1969,0000,0,4.6,14,99.2,,,181,5.766667,10,143.5,,908.767778,22.75,15.296,10.193333,72.733333,,
83887,31/10/1969,0000,23,3.934783,14,91.9,,,209.6,5.817204,12,102.1,,909.389247,21.519355,14.549677,9.164516,72.209677,,
83887,30/11/1969,0000,32,4.333333,14,82,,,192.9,7.266667,12,243.3,,907.222222,24.683333,18.229333,13.903333,77.616667,,
83887,31/12/1969,0000,23,3.924731,8,120.6,,,265.2,5.311828,10,75.6,,909.135484,25.735484,18.578065,13.245161,66.766129,,
83887,31/01/1970,0000,5,3.505376,8,87.7,,,245,6.333333,16,120,,907.998925,27.341935,20.607097,15.632258,73.774194,,
83887,28/02/1970,0000,5,3.666667,8,79.5,,,221.2,6.285714,,118.4,,908.955952,27.264286,20.8,15.917857,75.776786,,
83887,31/03/1970,0000,14,2.967742,9,77.6,,,186,6.591398,16,128.4,,910.426882,26.093548,19.841935,15.593548,79.459677,,
83887,30/04/1970,0000,5,3.066667,8,81.9,,,223.5,5.011111,10,52,,911.368889,24.583333,17.838,13.013333,75.108333,,
83887,31/05/1970,0000,5,2.569892,7,60.9,,,175.4,5.978495,13,159.8,,910.886022,21.851613,15.92129,12,80.040323,,
83887,30/06/1970,0000,5,3.433333,9,53,,,140.9,6.7,15,275.6,,911.694444,18.556667,12.994,9.356667,83.816667,,
83887,31/07/1970,0000,5,4.301075,9,69.9,,,187.4,5.075269,11,145.2,,914.719355,18.370968,11.875484,8.029032,80.33871,,
83887,31/08/1970,0000,5,4.83871,10,86.5,,,192.4,4.516129,12,111.6,,912.674194,19.109677,12.227097,7.606452,76.258065,,
83887,30/09/1970,0000,14,3.633333,9,78.5,,,176.1,5.655556,9,111.3,,910.967778,20.703333,14.205333,9.276667,75.716667,,
83887,31/10/1970,0000,5,4.096774,12,79.6,,,192.8,6.397849,13,122.8,,908.482796,22.351613,16.205806,11.222581,74.879032,,
83887,30/11/1970,0000,5,4.033333,9,110.1,,,248.1,4.811111,6,19.1,,907.162222,23.676667,16.348667,10.463333,66.433333,,
83887,31/12/1970,0000,32,3.311828,9,92.2,,,198,6.064516,20,240.3,,905.85914,26.4,20.02129,14.990323,72.387097,,
83887,31/01/1971,0000,14,3.956989,9,53.6,,,204.9,6.376344,19,252.2,,907.612903,26.470968,20.638065,16.577419,79.669355,,
83887,28/02/1971,0000,23,3.821429,12,58.3,,,183.9,6.892857,15,162.6,,908.87619,26.814286,20.632857,16.721429,84.25,,
83887,31/03/1971,0000,5,3.365591,9,53.2,,,211.5,6.258065,21,187.9,,908.926882,25.506452,19.399355,15.329032,81.879032,,
83887,30/04/1971,0000,9,3.088889,9,49.4,,,204.5,5.244444,13,287,,909.868889,20.89,14.430667,9.723333,80.666667,,
83887,31/05/1971,0000,0,3.086022,9,53,,,189.9,5.397849,16,166.5,,912.084946,18.651613,12.471613,8.332258,79.919355,,
83887,30/06/1971,0000,14,3.833333,9,44.2,,,131.8,6.311111,19,252.6,,910.742222,16.206667,10.924667,7.43,82.666667,,
83887,31/07/1971,0000,23,3.462366,9,79.2,,,219.9,4.806452,,160.6,,911.725806,19.654839,13.04129,8.919355,75.137097,,
83887,31/08/1971,0000,9,5.097826,12,53.1,,,190.1,6.16129,,219.6,,912.506452,19.796774,13.394839,9.377419,79.508065,,
83887,30/09/1971,0000,5,4.288889,12,95.2,,,234.9,5.022222,,123.2,,910.685556,22.586667,16.076667,11.29,71.341667,,
83887,31/10/1971,0000,27,4.44086,12,98.4,,,245.6,5.301075,,94.9,,910.602151,22.545161,15.782581,10.758065,70.435484,,
83887,30/11/1971,0000,5,4.222222,12,132.3,,,264.8,4.288889,,20.3,,908.011111,25.423333,18.014,12.12,63.666667,,
83887,31/12/1971,0000,0,3.473118,12,116.4,,,264.5,4.989247,,104.5,,906.145161,27.587097,20.245806,14.335484,67.459677,,
83887,31/01/1972,0000,23,3.505376,9,86.2,,,204.9,6.526882,18,208.9,,906.878495,26.919355,20.413548,16.129032,75.806452,,
83887,29/02/1972,0000,5,4.206897,9,62.6,,,191.1,6.022989,16,241.7,,907.596552,25.148276,19.062759,14.841379,79.12931,,
83887,31/03/1972,0000,18,3.5,9,73,,,204.8,5.924731,,100.9,,908.326882,25.764516,19.383871,15.006452,79.040323,,
83887,30/04/1972,0000,9,3.277778,9,62.2,,,220.7,4.888889,,111,,910.378889,21.653333,14.827333,10.106667,75.966667,,
83887,31/05/1972,0000,9,2.935484,7,68.1,,,211.9,4.913978,,42.7,,910.693548,22.519355,15.856774,11.551613,76.967742,,
83887,30/06/1972,0000,5,3.411111,9,58.5,,,128,7.211111,17,288.5,,910.514444,19.656667,15.004,12.003333,81.758333,,
83887,31/07/1972,0000,9,4.107527,9,62.6,,,157.3,6.010753,,164,,910.437634,18.8,12.370968,8,76.379032,,
83887,31/08/1972,0000,5,4.119565,12,64.3,,,123.7,6.83871,17,384.6,,908.94086,17.864516,12.24,8.458065,79.854839,,
83887,30/09/1972,0000,27,5.122222,12,75.3,,,162.2,6.522222,,274.8,,910.654444,20.686667,14.892,10.86,77.016667,,
83887,31/10/1972,0000,5,4.075269,9,80.1,,,157,6.580645,,106.3,,908.566667,22.122581,15.86129,11.46129,74.935484,,
83887,30/11/1972,0000,14,3.888889,10,72.4,,,154.4,6.922222,,130.1,,906.634444,23.97,18.462667,14.266667,77.333333,,
83887,31/12/1972,0000,9,4.129032,9,107,,,278.3,5.677419,,164.9,,907.676344,25.848387,19.740645,14.477419,67.016129,,
83887,31/01/1973,0000,18,3.44086,9,60.2,,,197.8,6.763441,20,185.3,,908.455914,26.783871,20.974194,16.912903,79.91129,,
83887,28/02/1973,0000,9,3.630952,12,64.3,,,194.9,6.464286,,236.2,,908.909524,27.717857,21.885714,17.803571,79.026786,,
83887,31/03/1973,0000,0,3.11828,9,68.8,,,208.4,5.290323,,55.5,,908.964516,25.296774,18.989677,14.548387,77.653226,,
83887,30/04/1973,0000,9,2.69,9,57.3,,,147.9,5.977778,,118.5,,910.228889,25.006667,19.058,14.863333,80.391667,,
83887,31/05/1973,0000,9,3.064516,7,51.9,,,186.8,5.860215,,156.3,,911.58172,19.619355,13.867742,9.880645,81.282258,,
83887,30/06/1973,0000,0,2.444444,9,54.1,,,184,5.266667,,189.1,,909.785556,19.42,13.347333,9.363333,77.766667,,
83887,31/07/1973,0000,36,2.849462,9,62.4,,,138.6,6.419355,,143.7,,912.017204,18.032258,12.52129,9.135484,79.870968,,
83887,31/08/1973,0000,0,3.053763,12,62.6,,,154.4,5.806452,15,305.3,,911.908602,16.86129,11.497419,7.532258,74.032258,,
83887,30/09/1973,0000,9,4.291111,12,66.8,,,126.6,6.522222,16,174.5,,912.002222,19.273333,13.578667,9.733333,80.1,,
83887,31/10/1973,0000,5,4.27957,12,101.7,,,203.7,5.72043,,102.4,,907.965591,22.325806,16.009677,11.422581,73.217742,,
83887,30/11/1973,0000,5,3.2,9,94.9,,,244.2,4.811111,,127.3,,908.097778,23.793333,17.388,11.823333,64.758333,,
83887,31/12/1973,0000,9,3.247312,9,89.1,,,167.5,6.462366,,159.3,,906.578495,25.445161,19.672258,15.309677,75.903226,,
83887,31/01/1974,0000,0,3.709677,9,79.2,,,232.1,6.505376,17,172.4,,907.046237,27.06129,20.854839,16.535484,77.814516,,
83887,28/02/1974,0000,5,3.404762,9,66.3,,,218.6,5.916667,15,159.9,,908.070238,27.192857,21.003571,16.85,78.464286,,
83887,31/03/1974,0000,23,3.043011,9,68.6,,,219.9,5.892473,16,156.5,,907.511828,25.619355,19.710968,15.509677,79.975806,,
83887,30/04/1974,0000,23,2.511111,9,68.2,,,216.8,4.944444,,73.4,,910.637778,22.286667,16.012667,11.503333,76.066667,,
83887,31/05/1974,0000,5,2.408602,9,61.1,,,196.1,5.258065,,128.9,,911.021505,20.119355,14.190968,10.116129,77.895161,,
83887,30/06/1974,0000,9,2.977778,14,54.3,,,195.4,4.844444,,182.6,,910.283333,16.196667,10.058,6.083333,77.958333,,
