Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83920,31/01/1961,0000,9,1.641304,6,134.9,,,,6.076087,9,134.5,,,24.116129,17.244516,12.954839,81.314516,,
83920,28/02/1961,0000,36,2.02381,7,97,,,,7.238095,13,290.5,,,23.053571,17.041429,13.371429,86.580357,,
83920,31/03/1961,0000,9,2.139785,7,103.5,,,,6.870968,14,243.7,,,20.677419,15.027742,11.325806,84.612903,,
83920,30/04/1961,0000,5,1.944444,5,67.6,,,,6.611111,9,161.8,,,18.663333,13.355333,10.06,86.866667,,
83920,31/05/1961,0000,32,1.72043,7,52.3,,,,4.182796,6,63.4,,,17.390323,11.510323,7.812903,82.862903,,
83920,30/06/1961,0000,36,2.179775,7,86.3,,,,5.266667,9,139.1,,,15.306667,10.311333,6.786667,84.025,,
83920,31/07/1961,0000,36,2.11828,9,116.3,,,,5.88172,9,119.9,,,15.677419,10.05871,6.354839,78.919355,,
83920,31/08/1961,0000,36,2.204301,9,155.7,,,,5.096774,8,93,,,19.054839,12.676129,8.254839,75.217742,,
83920,30/09/1961,0000,36,2.336667,9,94.9,,,,8.977778,17,320.5,,,17.256667,12.650667,8.843333,86.475,,
83920,31/10/1961,0000,32,1.978495,7,146.9,,,,6.311828,16,259,,,21.177419,15.071613,10.877419,79.459677,,
83920,30/11/1961,0000,9,1.844444,5,127.6,,,,6.555556,15,173.5,,,21.923333,15.638667,11.733333,81.058333,,
83920,31/12/1961,0000,5,2.204301,9,114.5,,,,5.978495,12,140.3,,,22.793548,16.282581,11.951613,81.895161,,
83920,31/01/1962,0000,5,1.892473,9,113.9,,,,6.053763,9,76.5,,,22.429032,15.682581,11.190323,80.266129,,
83920,28/02/1962,0000,5,2.019048,7,110.3,,,,6.178571,11,73.6,,,22.146429,15.233571,10.928571,82.053571,,
83920,31/03/1962,0000,36,1.83871,7,66.2,,,,7.075269,9,75.8,,,22.225806,16.257419,12.616129,81.387097,,
83920,30/04/1962,0000,5,1.577778,5,101.8,,,,5.722222,6,51.8,,,18.946667,12.552,8.613333,81.558333,,
83920,31/05/1962,0000,0,1.784946,5,105.4,,,,4.989247,7,95.1,,,14.6,8.867097,4.758065,79.669355,,
83920,30/06/1962,0000,9,1.744444,7,108,,,,4.2,6,64.9,,,14.536667,8.237333,3.013333,76.925,,
83920,31/07/1962,0000,36,1.646237,7,58.5,,,,6.849462,15,124.9,,,11.774194,6.706452,2.912903,82.991935,,
83920,31/08/1962,0000,9,1.580645,9,91.1,,,,4.247312,8,87.4,,,16.106452,9.818065,5.380645,67.717742,,
83920,30/09/1962,0000,36,1.944444,9,104.4,,,,6.666667,7,108.3,,,17.646667,11.445333,7.22,81.558333,,
83920,31/10/1962,0000,36,1.55914,5,109.1,,,,6.397849,11,115.1,,,17.206452,10.669677,6.429032,83.266129,,
83920,30/11/1962,0000,5,1.433333,9,151.1,,,,5.711111,8,108.2,,,21.796667,14.791333,10.113333,77.091667,,
83920,31/12/1962,0000,9,1.709677,5,131.5,,,,4.709677,5,48.2,,,23.280645,15.744516,10.948387,76.879032,,
83920,31/01/1963,0000,14,1.784946,7,105.5,,,,7.086022,18,265.6,,,23.822581,17.617419,13.66129,84.741935,,
83920,28/02/1963,0000,5,1.464286,5,81.3,,,,7.333333,12,225.3,,,22.528571,16.609286,13.025,87.303571,,
83920,31/03/1963,0000,36,1.44086,5,93,,,,6.623656,11,178.6,,,22.56129,16.863226,13.316129,86.25,,
83920,30/04/1963,0000,36,1.355556,5,144.6,,,,4.177778,7,49.1,,,20.306667,14.219333,10.196667,74.5,,
83920,31/05/1963,0000,36,1.301075,9,129.3,,,,4.892473,4,55.8,,,17.493548,11.615484,7.806452,76.612903,,
83920,30/06/1963,0000,9,1.8,9,115.9,,,,4.288889,4,30,,,14.536667,8.909333,4.736667,76.066667,,
83920,31/07/1963,0000,36,1.387097,7,88.3,,,,5.408602,5,78.9,,,16.503226,10.734839,6.687097,77.008065,,
83920,31/08/1963,0000,36,2.311828,9,,,,,7.483871,10,311.6,,,17.177419,11.170968,6.793548,72.604839,,
83920,30/09/1963,0000,36,1.633333,5,169.8,,,,8.433333,11,215.1,,,19.203333,14.381333,10.99,73.433333,,
83920,31/10/1963,0000,9,1.569892,3,80.1,,,,8.172043,15,230.6,,,18.270968,13.187097,9.745161,86.467742,,
83920,30/11/1963,0000,32,1.866667,9,118,,,,7.555556,10,162.5,,,20.736667,15.140667,11.036667,81.708333,,
83920,31/12/1963,0000,5,1.702151,5,88.5,,,,6.817204,9,130.9,,,21.519355,14.743871,10.312903,88.072581,,
83920,31/01/1964,0000,36,1.430108,7,102.4,,,,6.666667,9,94.7,,,24.116129,16.170968,11.512903,81.620968,,
83920,29/02/1964,0000,0,1.275862,3,66.1,,,,7.505747,15,186.7,,,23.310345,16.568276,12.717241,85.275862,,
83920,31/03/1964,0000,0,1.365591,3,90.3,,,,6.430108,9,120.2,,,21.906452,15.563871,11.622581,82.104839,,
83920,30/04/1964,0000,36,1.3,5,65.8,,,,8.144444,10,129.6,,,18.56,13.63,10.046667,89.158333,,
83920,31/05/1964,0000,5,1.010753,7,97.5,,,,4.516129,6,44.3,,,16.619355,10.518065,6.306452,78.741935,,
83920,30/06/1964,0000,5,1.344444,7,91.6,,,,5.655556,6,118.1,,,13.3,7.102,2.51,80.075,,
83920,31/07/1964,0000,36,1.623656,10,119.4,,,,4.419355,8,81,,,12.625806,6.588387,1.63871,74.709677,,
83920,31/08/1964,0000,36,1.569892,5,119.9,,,,6.645161,11,130.2,,,15.993548,9.894839,5.23871,81.629032,,
83920,30/09/1964,0000,36,1.222222,5,163.6,,,,6.966667,13,170.8,,,18.526667,12.176667,7.663333,74.383333,,
83920,31/10/1964,0000,0,2.172043,7,122.6,,,,5.763441,11,142.4,,,18.132258,11.505806,7.287097,78.887097,,
83920,30/11/1964,0000,36,1.877778,5,143.2,,,,5.8,4,28.3,,,19.646667,12.739333,7.8,77.425,,
83920,31/12/1964,0000,18,1.473118,5,126,,,,5.215054,10,138.4,,,21.429032,14.441935,9.345161,78.024194,,
83920,31/01/1965,0000,36,1.688172,7,87.3,,,,5.698925,11,176.7,,,23.029032,15.791613,10.929032,80.298387,,
83920,28/02/1965,0000,9,1.607143,7,157.1,,,,5.785714,,60,,,23.689286,16.975714,12.689286,77.339286,,
83920,31/03/1965,0000,0,1.602151,9,83.1,,,,6.172043,13,143.6,,,19.435484,12.675484,8.612903,85.822581,,
83920,30/04/1965,0000,9,1.522222,5,83.3,,,,7.322222,8,80.5,,,18.093333,12.715333,8.993333,87.341667,,
83920,31/05/1965,0000,9,1.44086,5,96.5,,,,5.731183,8,93.5,,,15.641935,9.976129,5.954839,83.056452,,
83920,30/06/1965,0000,36,1.288889,5,94.8,,,,4.766667,7,52.6,,,16.913333,11.393333,7.96,80.308333,,
83920,31/07/1965,0000,36,1.903226,9,45.5,,,,6.010753,7,120.1,,,14.535484,8.209032,3.3,75.33871,,
83920,31/08/1965,0000,36,1.860215,9,105.1,,,,6.172043,12,308.5,,,16.258065,10.603226,6.206452,76.798387,,
83920,30/09/1965,0000,36,2.055556,9,113.5,,,,7.288889,14,336,,,17.803333,11.906667,7.643333,84.075,,
83920,31/10/1965,0000,32,1.677419,9,113.3,,,,5.774194,9,138,,,19.177419,12.471613,7.690323,80.048387,,
