Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83923,31/01/1961,0000,0,1.326087,5,92.9,,,,6.456522,13,143.7,,,31.4,23.822581,17.825806,82.233871,,
83923,28/02/1961,0000,5,1.035714,5,61.7,,,,7.738095,22,183.7,,,30.460714,23.512857,18.332143,87.3125,,
83923,31/03/1961,0000,0,1.129032,4,66.3,,,,6.129032,17,285,,,29.212903,21.46,15.396774,87.491935,,
83923,30/04/1961,0000,0,0.822222,3,50.7,,,,6.777778,13,101.6,,,26.323333,19.365333,12.933333,86.583333,,
83923,31/05/1961,0000,0,0.763441,3,53.8,,,,4.354839,8,56.8,,,26.296774,17.438065,10.951613,85.959677,,
83923,30/06/1961,0000,0,1.333333,5,49.4,,,,5.022222,12,114.5,,,22.956667,15.908889,10.5,86.491667,,
83923,31/07/1961,0000,0,1.139785,4,54.8,,,,5.27957,14,110,,,23.822581,15.682581,10.735484,85.25,,
83923,31/08/1961,0000,0,1.16129,8,81.9,,,,5.849462,6,37.2,,,26.254839,17.887097,12.312903,80.790323,,
83923,30/09/1961,0000,0,1.311111,6,39,,,,9.133333,21,295.6,,,22.833333,17.962667,14.52,89.941667,,
83923,31/10/1961,0000,0,1.548387,8,82.4,,,,6.623656,14,151,,,28.187097,20.977419,15.780645,81.741935,,
83923,30/11/1961,0000,5,1.155556,4,66.3,,,,6.788889,18,236.5,,,28.693333,21.797333,16.7,83.716667,,
83923,31/12/1961,0000,0,1.419355,5,92.8,,,,6.182796,13,172.3,,,30.703226,23.347097,18.016129,79.451613,,
83923,31/01/1962,0000,5,1.580645,6,95.8,,,,6.247312,15,155.5,,1007.67957,30.387097,22.709677,17.2,79.637097,,
83923,28/02/1962,0000,27,1.178571,4,67.5,,,,6.238095,15,122,,,30,22.199286,16.578571,81.017857,,
83923,31/03/1962,0000,5,1,4,74.3,,,,6.537634,15,146.4,,,30.709677,23.346452,18.290323,82.169355,,
83923,30/04/1962,0000,0,0.888889,3,59.6,,,,6.288889,7,91.3,,,26.453333,19.218,14.28,83.633333,,
83923,31/05/1962,0000,0,0.924731,5,58.2,,,,4.182796,8,65.8,,,23.03871,14.406452,8.319355,83.274194,,
83923,30/06/1962,0000,0,1.011111,7,61.7,,,,3.322222,6,39.5,,,23.333333,13.518667,6.956667,81.9,,
83923,31/07/1962,0000,0,0.913978,4,41.5,,,,6.623656,14,126.6,,,19.435484,12.878065,8.177419,87.669355,,
83923,31/08/1962,0000,23,0.978495,5,67.3,,,,4.075269,8,62.6,,,23.193548,14.376129,8.593548,81.895161,,
83923,30/09/1962,0000,27,1.222222,6,59.9,,,,7.111111,15,187.9,,,24.2,17.208667,12.126667,83.658333,,
83923,31/10/1962,0000,0,1.913978,7,97.1,,,,6.139785,13,65.6,,,24.790323,17.776774,11.674194,75.975806,,
83923,30/11/1962,0000,0,1.2,5,89.6,,,,6.244444,10,89,,,29.583333,21.149333,14.97,78.05,,
83923,31/12/1962,0000,18,1.827957,6,111.3,,,,5.677419,11,70.8,,,31.064516,22.789032,16.493548,74.322581,,
