Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83096,31/01/1961,0000,9,3.391304,7,143.5,,,253.1,5.423913,6,23.5,,,29.754839,27.110323,24.251613,74.403226,,
83096,28/02/1961,0000,14,2.380952,5,156.9,,,242.6,5.238095,6,15.5,,,30.164286,27.227143,23.617857,70.964286,,
83096,31/03/1961,0000,14,1.602151,5,120.1,,,194,6.978495,18,292.5,,,29.674194,26.786452,23.580645,78.145161,,
83096,30/04/1961,0000,9,1.055556,3,115.4,,,221.4,5.833333,11,96.3,,,29.236667,26.41,23.123333,77.733333,,
83096,31/05/1961,0000,14,1.924731,3,118.5,,,,5.11828,15,130.3,,,28.590323,25.770968,22.293548,75.475806,,
83096,30/06/1961,0000,14,1.744444,5,128,,,185,6.488889,22,226.3,,,27.563333,24.895333,22.196667,78.591667,,
83096,31/07/1961,0000,14,1.677419,3,127.4,,,196.4,6.333333,22,160,,,26.483333,23.609333,20.563333,76.951613,,
83096,31/08/1961,0000,14,1.817204,3,137.7,,,192.7,5.967742,11,101.1,,,26.541935,23.761935,20.493548,73.516129,,
83096,30/09/1961,0000,9,2.044444,3,156.9,,,,5.366667,1,1.2,,1016.57,27.606667,24.774286,21.642857,71.775,,
83096,31/10/1961,0000,9,2.989247,6,179.9,,,,5.913978,5,27.7,,,28.132258,,,72.887097,,
83096,30/11/1961,0000,9,3.133333,6,166.7,,,291,5.388889,5,13.4,,,28.606667,,,71.325,,
83096,31/12/1961,0000,9,3.16129,5,162.8,,,269.7,5.150538,5,26.4,,,29.167742,,,73.064516,,
83096,31/01/1962,0000,5,3.322581,6,141.8,,,290.8,4.666667,1,1,,,30.296774,26.947742,24.106452,73.927419,,
83096,28/02/1962,0000,9,1.880952,5,121.9,,,245.5,4.845238,7,13.7,,,30.196429,27.174286,24.264286,73,,
83096,31/03/1962,0000,9,1.817204,5,125.2,,,239.2,6.268817,15,63.6,,,29.76129,26.953548,24.374194,75.564516,,
83096,30/04/1962,0000,9,1.166667,4,119.8,,,248.7,5.8,17,143.1,,,29.483333,26.73,23.81,75.416667,,
83096,31/05/1962,0000,14,1.419355,8,97.5,,,155.1,6.645161,23,503.4,,1013.34086,28.048387,25.171613,22.512903,81.830645,,
83096,30/06/1962,0000,14,1.922222,7,101.9,,,79.8,7.188889,21,262.7,,,26.813333,24.450667,22.193333,79.858333,,
83096,31/07/1962,0000,14,1.677419,5,94.6,,,180.6,5.225806,13,74.3,,,26.716129,24.02,21.33871,77.435484,,
83096,31/08/1962,0000,14,2.043011,7,142.8,,,238.2,5.333333,8,98.4,,,26.970968,24.247097,21.390323,73.887097,,
83096,30/09/1962,0000,9,2.477778,5,155.3,,,234.4,4.833333,5,71.5,,,27.482759,25.02069,22.733333,73.45,,
83096,31/10/1962,0000,9,2.956989,5,124.1,,,268.8,4.580645,3,24.7,,,28.396774,25.833548,23.245161,74.387097,,
83096,30/11/1962,0000,9,3.322222,5,98,,,225.2,4.144444,7,56.9,,,28.856667,26.02,23.263333,80.241667,,
83096,31/12/1962,0000,9,3.516129,7,150.6,,,211.8,4.655914,4,12.6,,,29.296774,26.715484,24.26129,88.612903,,
83096,31/01/1963,0000,9,2.83871,5,174.9,,,290.2,3.978495,0,0,,,29.958065,27.411613,25.254839,73.459677,,
83096,28/02/1963,0000,9,3.107143,6,153.5,,,,4.833333,3,15.7,,,30.335714,27.652143,25.346429,71.776786,,
83096,31/03/1963,0000,9,2.526882,4,162.9,,,216.4,5.709677,9,115.2,,1014.04086,29.645161,27.045161,24.212903,74.258065,,
83096,31/05/1963,0000,14,2,5,120.7,,,196.7,6.434783,11,393.1,,,28.274194,25.518065,22.283871,,,
83096,30/06/1963,0000,14,2.088889,5,97.5,,,184.1,6.277778,16,83.2,,,27.096667,24.405333,21.58,,,
83096,31/07/1963,0000,14,2.096774,8,124.8,,,220.6,5.397849,15,168,,,26.587097,23.843226,20.719355,73,,
83096,31/08/1963,0000,14,1.731183,5,121.3,,,204.7,5.419355,6,45.4,,,26.451613,23.741935,20.822581,74.637097,,
83096,30/09/1963,0000,14,2.511111,5,126.1,,,206.4,5.411111,10,47.8,,,27.38,24.886667,22.456667,73.975,,
83096,31/10/1963,0000,9,2.763441,5,151.8,,,266.7,4.774194,1,3.8,,,28.474194,25.887097,23.422581,73.040323,,
83096,30/11/1963,0000,9,2.833333,5,120.2,,,258.6,4.588889,4,25,,,29.406667,26.658667,24.226667,76.591667,,
83096,31/12/1963,0000,9,2.322581,5,111,,,165.5,5.88172,8,134,,,29.445161,26.370323,23.783871,78.741935,,
83096,31/01/1964,0000,9,1.569892,5,111.5,,,,4.827957,4,33.7,,,30.809677,27.414839,24.63871,77.717742,,
83096,29/02/1964,0000,9,1.586207,4,96.2,,,201.6,5.252874,10,72.3,,,30.344828,27.215172,24.162069,78.646552,,
83096,31/03/1964,0000,14,1.774194,5,94.9,,,191.4,6.064516,19,482.3,,,30.116129,27.048696,24.2,77.782258,,
83096,30/04/1964,0000,14,1.8,6,79.2,,,163.9,6.455556,23,968.7,,,29.223333,,,82.341667,,
83096,31/05/1964,0000,14,1.903226,7,82.4,,,200.9,6.11828,18,870.7,,,28.932258,,,82.16129,,
83096,30/06/1964,0000,14,2.788889,5,92.1,,,210.2,6.155556,22,448.2,,,27.813333,,,79.241667,,
83096,31/07/1964,0000,14,2.827957,7,113.4,,,209.3,5.569892,21,267,,,27.322581,,,77.548387,,
83096,31/08/1964,0000,14,3.154839,7,126.6,,,218.6,5.591398,21,355.9,,,26.96129,24.284,21.28,75.532258,,
83096,30/09/1964,0000,14,3.122222,7,126.8,,,185.3,5.911111,20,443.9,,,27.236667,24.34,20.613333,79.466667,,
83096,31/10/1964,0000,9,2.731183,5,142.9,,,256.6,4.247312,9,123.2,,,28.432258,25.517419,21.974194,73.919355,,
83096,30/11/1964,0000,9,3.833333,9,140.6,,,247.2,4.988889,4,128.7,,,28.8,25.628,21.94,75.033333,,
83096,31/12/1964,0000,14,3.064516,5,137.7,,,246.6,4.333333,7,176.1,,,29.06129,26.223226,22.716129,73.919355,,
83096,31/01/1965,0000,14,2.849462,7,125.6,,,235.5,4.989247,14,491.7,,,29.151613,26.119355,22.354839,75.056452,,
83096,28/02/1965,0000,9,2.809524,7,121.4,,,263.2,3.154762,4,14.5,,,30.346429,26.698571,22.775,75.098214,,
83096,31/03/1965,0000,9,2.709677,5,148.3,,,254.7,4.666667,10,271,,,30.390323,27.234839,23.632258,74.120968,,
83096,30/04/1965,0000,14,2.211111,5,111.3,,,214,5.533333,15,338.3,,,29.786667,26.849333,22.92,76.541667,,
83096,31/05/1965,0000,14,2.548387,5,135.7,,,268.1,4.763441,9,157.8,,,29.203226,26.314839,22.277419,72.395161,,
83096,30/06/1965,0000,14,2.677778,6,108.7,,,183,6.444444,23,496.9,,,28.05,25.126,22.096667,77.141667,,
83096,31/07/1965,0000,14,2.784946,6,121.3,,,237.5,5.612903,14,296.2,,,27.63871,24.676129,21.006452,74.58871,,
83096,31/08/1965,0000,14,2.817204,7,121.8,,,239.8,5.731183,18,313.7,,,27.319355,24.294194,20.519355,74.612903,,
83096,30/09/1965,0000,14,2.966667,7,132.8,,,,5.577778,10,164.4,,1016.11,27.773333,24.935333,21.493333,74.175,,
83096,31/10/1965,0000,9,2.892473,8,125.1,,,,4.935484,5,276.7,,,28.9,26.077419,23.054839,77.508065,,
83096,30/11/1965,0000,9,3.566667,8,143.5,,,273.7,4.533333,6,29.5,,,29.576667,26.488,23.396667,77.225,,
83096,31/12/1965,0000,14,2.709677,5,153.5,,,264.8,4.752688,9,50,,,29.83871,26.79871,23.619355,74.298387,,
83096,31/01/1966,0000,14,2.806452,5,159.9,,,273.3,4.795699,10,79.6,,,30.203226,27.192903,24.170968,73.741935,,
83096,28/02/1966,0000,14,2.333333,5,114.3,,,168.3,6.880952,19,232.7,,1014.125,29.5,26.667857,23.778571,77.321429,,
83096,31/03/1966,0000,14,2.741935,5,134.1,,,218.7,6.075269,18,116.4,,,29.525806,27.046452,24.390323,74.975806,,
83096,30/04/1966,0000,14,2.4,5,84.8,,,140.7,6.555556,22,550.6,,,28.963333,25.914,22.25,81.225,,
83096,31/05/1966,0000,14,2.451613,5,87.6,,,179.1,6.247312,22,480.1,,,28.545161,25.627097,22.216129,79.725806,,
