Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83781,31/01/1961,0000,32,3.247253,13.4,63,,,181.7,8.815217,18,254.3,,922.916304,26.570968,21.592903,18.448387,84.612903,,
83781,28/02/1961,0000,9,3.214286,11.3,68.2,,,151.4,8.654762,20,335,,924.567857,26.867857,21.819286,18.775,83.080357,,
83781,31/03/1961,0000,18,2.821739,10.3,69.9,,,165.7,8.16129,15,147.9,,925.974194,26.174194,20.600645,17.206452,83.008065,,
83781,30/04/1961,0000,9,2.47,7.7,71.7,,,188.5,7.711111,8,78.2,,925.854444,25.68,20.200667,16.583333,80.941667,,
83781,31/05/1961,0000,18,1.378495,7.8,138.4,,,179.4,7.612903,5,64.8,,928.43871,22.525806,17.250968,13.716129,81.790323,,
83781,30/06/1961,0000,5,1.741111,5,60.5,,,180.3,6.455556,9,30.5,,930.104444,22.573333,16.687333,12.82,80.766667,,
83781,31/07/1961,0000,0,1.794624,6.2,82.2,,,210.1,6.075269,4,0.4,,930.12043,23.364516,16.26129,11.558065,74.282258,,
83781,31/08/1961,0000,0,1.595699,6,111.8,,,228.1,4.72043,5,13.8,,928.888172,25.7,17.735484,12.332258,71.41129,,
83781,30/09/1961,0000,14,2.991111,14,112.1,,,143.4,7.155556,4,4,,925.667778,28.293333,20.436,16.143333,74.416667,,
83781,31/10/1961,0000,9,3,9,102.6,,,150.8,7.548387,13,178.8,,925.805376,27.6,20.708387,16.606452,76.935484,,
83781,30/11/1961,0000,5,3.033333,9,91.8,,,219.2,7.3,18,124.7,,923.532222,28.196667,21.18,16.68,78.083333,,
83781,31/12/1961,0000,5,3.043478,14,85.6,,,156.7,8.784946,22,186.6,,924.496774,27.177419,20.72129,17.083871,81.185484,,
83781,31/01/1962,0000,9,3.16129,8,76.9,,,182.9,8.505376,17,109.8,,923.468817,26.658065,20.677419,16.977419,81.927419,,
83781,28/02/1962,0000,14,3.214286,9,67.8,,,152.3,8.5,11,205.3,,923.641667,27.907143,21.252143,17.303571,81.928571,,
83781,31/03/1962,0000,14,2.439785,8,69.6,,,169.3,7.526882,12,245.2,,924.732258,28.103226,21.4,17.487097,81.83871,,
83781,30/04/1962,0000,9,2.833333,7,72.9,,,195.2,7.755556,8,61.5,,926.233333,25.773333,18.894667,15.05,80.891667,,
83781,31/05/1962,0000,14,2.55914,6,63.4,,,177.8,7.526882,9,17.3,,928.332258,22.803226,16.114194,12.158065,80.419355,,
83781,30/06/1962,0000,5,2.244444,7,60,,,174.1,5.922222,7,11.9,,929.631111,21.073333,14.152,9.973333,78.15,,
83781,31/07/1962,0000,0,2.806452,12,68.6,,,187.6,6.774194,6,34.8,,930.445161,20.577419,13.723871,9.219355,78.104839,,
83781,31/08/1962,0000,0,2.247312,9,89.1,,,215.5,5.645161,4,50.3,,928.475269,23.764516,15.82,10.658065,71.83871,,
83781,30/09/1962,0000,9,2.555556,7,78.7,,,166.7,7.722222,9,46.9,,927.557778,23.91,17.695333,13.903333,78.075,,
83781,31/10/1962,0000,27,3.247312,7,61.4,,,111.6,9.032258,19,182.3,,926.550538,21.545161,17.16129,14.370968,83.556452,,
83781,30/11/1962,0000,0,2.833333,7,92.5,,,184.3,6.966667,9,64.7,,924.61,25.21,19.278,14.976667,76.716667,,
83781,31/12/1962,0000,14,3.344086,7,52.1,,,96.7,9.376344,17,236.3,,923.644086,24.483871,19.985161,17.106452,87.024194,,
83781,31/01/1963,0000,0,2.795699,8,86.3,,,177,8.258065,19,219.1,,922.941935,27.874194,22.487742,19.329032,81.072581,,
83781,28/02/1963,0000,5,2.585714,6,55.9,,,158.1,8.190476,18,241,,924.741667,26.914286,21.305,17.764286,83.3125,,
83781,31/03/1963,0000,5,2.344086,7,83.5,,,195.7,8.086022,14,78.1,,926.105376,28.729032,22.49871,18.870968,79.467742,,
83781,30/04/1963,0000,9,2.511111,7,73.5,,,223.2,6.544444,2,24.3,,926.193333,26.086667,19.054667,14.576667,75.725,,
83781,31/05/1963,0000,18,1.83871,7,75.4,,,222.3,4.892473,2,3.7,,929.629032,23.732258,16.411613,11.425806,74.725806,,
83781,30/06/1963,0000,14,1.944444,6,67,,,191.6,4.755556,5,21.3,,929.972222,21.143333,14.871333,10.123333,74.458333,,
83781,31/07/1963,0000,36,1.935484,8,85,,,210.7,4.752688,1,3,,929.582796,23.4,16.015484,10.841935,68.524194,,
83781,31/08/1963,0000,5,2.44086,9,117.8,,,193.9,5.709677,2,9.3,,927.882796,24.748387,17.525161,12.367742,65.870968,,
83781,30/09/1963,0000,36,2.044444,8,123,,,165.5,5.477778,5,6.6,,926.407778,28.306897,20.504667,15.456667,65.586207,,
83781,31/10/1963,0000,14,2.989247,8,70.6,,,133.2,8.827957,11,99.2,,926.306452,25.867742,19.640645,15.964516,80.395161,,
83781,30/11/1963,0000,0,2.588889,7,92.6,,,171.4,8.077778,12,118.5,,923.871111,27.546667,21.194667,17.026667,77.075,,
83781,31/12/1963,0000,0,3.774194,10,101.6,,,225,7.795699,9,70.8,,925.093548,26.806452,20.597419,16.641935,75.08871,,
83781,31/01/1964,0000,27,3.225806,6,84.6,,,174.1,8.268817,8,94.8,,923.375269,26.564516,20.950323,17.451613,78.983871,,
83781,29/02/1964,0000,5,2.62069,8,57.4,,,136.5,8.448276,19,230.7,,922.912644,26.393103,21.246207,18.244828,84.896552,,
83781,31/03/1964,0000,5,2.72043,6,98.4,,,201.9,6.580645,10,51.5,,926.803226,26.948387,20.982581,16.925806,74.564516,,
83781,30/04/1964,0000,14,2.166667,8,58,,,162.8,8.122222,9,36,,927.275556,25.71,20.032,16.996667,81.558333,,
83781,31/05/1964,0000,5,2.612903,8,56,,,179.2,7.72043,6,76,,929.066667,21.551613,16.339355,13.022581,82.064516,,
83781,30/06/1964,0000,9,2.677778,9,65.2,,,147,6.3,8,38.5,,927.998889,19.743333,14.745333,11.076667,80.966667,,
83781,31/07/1964,0000,9,2.782609,10,46.7,,,153.8,6.763441,12,78.3,,929.462366,18.6,13.084516,9.596774,83.709677,,
83781,31/08/1964,0000,5,2.989247,8,73.5,,,190.9,6.548387,6,28.6,,929.647312,23.080645,16.976129,12.770968,77.758065,,
83781,30/09/1964,0000,5,2.5,7,83.4,,,188.3,5.977778,8,93.1,,927.58,25.16,17.986667,13.293333,75.725,,
83781,31/10/1964,0000,5,3.139785,8,55.5,,,136.8,8.580645,15,144,,925.163441,22.516129,17.705806,14.648387,83.540323,,
83781,30/11/1964,0000,9,3.244444,14,78.3,,,181.8,7.444444,8,91.9,,924.555556,23.45,18.158667,14.223333,77.491667,,
83781,31/12/1964,0000,9,3.354839,9,63.9,,,135,8.731183,18,346.2,,921.825806,24.516129,19.642581,16.33871,83.532258,,
83781,31/01/1965,0000,9,2.322581,8,55,,,119.5,9,21,410.6,,923.358065,25.109677,20.123871,16.983871,86.056452,,
83781,28/02/1965,0000,32,2.857143,8,66.1,,,143.2,7.928571,18,141.4,,921.763095,26.310714,21.391429,18.292857,82.330357,,
83781,31/03/1965,0000,0,2.451613,8,76.1,,,179.1,7.462366,15,136.6,,924.580645,24.858065,19.78129,16.480645,81.58871,,
83781,30/04/1965,0000,5,2.288889,7,67.5,,,190.8,7.055556,12,83.8,,925.652222,24.863333,19.574,16.076667,81.166667,,
83781,31/05/1965,0000,36,2.053763,8,62.9,,,174,6.236559,9,57,,926.964516,22.196774,16.905161,13.125806,80.677419,,
83781,30/06/1965,0000,5,1.844444,7,49.3,,,175.9,7.5,6,20.9,,930.253333,22.49,17.198,13.73,82.783333,,
83781,31/07/1965,0000,0,2.526882,9,75.9,,,161,6.849462,9,74.2,,929.334409,21.1,15.589677,11.751613,79.185484,,
83781,31/08/1965,0000,0,2.72043,10,110,,,225.8,4.709677,6,7.8,,927.192473,24.519355,17.552903,12.293548,68.75,,
83781,30/09/1965,0000,5,2.788889,8,94.1,,,162.4,7.1,5,62.1,,926.557778,26.333333,19.499333,15.256667,74.725,,
83781,31/10/1965,0000,36,3.086022,7,74.9,,,152.1,8.548387,14,207.6,,924.974194,24.396774,18.851613,15.377419,80.717742,,
83781,30/11/1965,0000,5,2.9,7,65.2,,,183.5,8.222222,9,150.5,,924.463333,25.783333,20.254,16.686667,81.416667,,
83781,31/12/1965,0000,0,2.903226,9,81.5,,,127.6,8.752688,20,279.2,,923.631183,26.412903,21.985161,19,81.612903,,
83781,31/01/1966,0000,5,2.516129,7,85.5,,,182.6,8.086022,20,198.3,,922.964516,27.635484,22.414194,18.829032,78.677419,,
83781,28/02/1966,0000,36,2.654762,9,83,,,190.5,7.619048,16,184.7,,923.555952,29.307143,23.389286,19.732143,76.964286,,
83781,31/03/1966,0000,0,1.989247,7,83.8,,,188.5,7.107527,14,257.9,,925.068817,26.577419,21.210968,17.629032,78.774194,,
83781,30/04/1966,0000,5,2.134831,7,61,,,167.9,7.47191,11,22.5,,926.093258,24.68,19.452667,16.276667,81.525862,,
83781,31/05/1966,0000,14,1.677419,5,53.4,,,165,7.236559,10,24.8,,928.172043,22.564516,17.32129,14.06129,81.766129,,
83781,30/06/1966,0000,5,2.355556,9,102.7,,,192.1,5.555556,5,5,,927.784444,22.973333,17.059333,13.206667,72.775,,
83781,31/07/1966,0000,14,2.505376,6,91.4,,,180.1,6.322581,9,20,,930.089247,23.041935,16.800645,12.667742,73.629032,,
83781,31/08/1966,0000,0,1.817204,7,69.1,,,159.6,6.817204,10,52.1,,928.865591,22.177419,15.793548,12.070968,80.427419,,
83781,30/09/1966,0000,5,1.944444,6,73.8,,,171.2,5.888889,12,121.5,,928.013333,23.163333,16.608,12.486667,79.616667,,
83781,31/10/1966,0000,32,2.282609,7,70.5,,,142.4,7.576087,15,166.6,,924.819565,24.074194,18.483333,15.035484,82.708333,,
83781,30/11/1966,0000,23,2.666667,7,64.6,,,180.9,7.911111,13,69.5,,924.4,24.963333,19.462667,15.913333,82.133333,,
83781,31/12/1966,0000,36,2.225806,7,82.9,,,137.9,7.946237,21,338.7,,921.609677,26.76129,21.396774,18.145161,82.354839,,
83781,31/01/1967,0000,9,2.83871,8,67.7,,,,8.634409,19,181.5,,923.046237,26.293548,21.202581,18.13871,85.137097,,
83781,28/02/1967,0000,5,2.345238,6,50.5,,,148.4,8.190476,18,274.7,,923.62381,27.432143,22.079286,18.864286,82.580357,,
83781,31/03/1967,0000,27,2.311828,6,47,,,137.2,8.150538,21,189,,924.836559,26.267742,20.867742,17.787097,84.66129,,
83781,30/04/1967,0000,5,2.311111,7,62.7,,,209.6,6.377778,10,30.4,,926.911111,25.31,19.392667,15.863333,80.4,,
83781,31/05/1967,0000,14,2.268817,6,70.9,,,232.4,5.763441,7,25.9,,928.286022,25.116129,18.130323,13.809677,77.370968,,
83781,30/06/1967,0000,14,2.944444,9,57.6,,,152.4,6.188889,9,66.4,,928.501111,22.13,16.528667,12.55,77.883333,,
83781,31/07/1967,0000,36,3.290323,9,67.4,,,182.7,5.989247,10,30.6,,929.602151,22.148387,16.025806,11.909677,76.298387,,
83781,31/08/1967,0000,5,2.623656,8,95.8,,,228.2,5.215054,3,5,,928.945161,26.180645,18.623226,13.790323,69.217742,,
83781,30/09/1967,0000,5,3.333333,9,77.1,,,184.1,5.944444,10,90.6,,927.445556,24.873333,18.342667,13.873333,75.716667,,
83781,31/10/1967,0000,14,2.397849,7,76.1,,,180.5,6.430108,17,153,,926.272043,26.709677,20.638065,16.858065,76.959677,,
83781,30/11/1967,0000,9,3.311111,9,41.4,,,148.9,7.944444,18,179.8,,922.992222,24.95,19.170667,15.89,83.491667,,
83781,31/12/1967,0000,9,4.11828,9,45.3,,,137.6,8.172043,19,171.6,,924.208602,24.183871,19.223226,15.896774,81.798387,,
83781,31/01/1968,0000,32,3.193548,9,57,,,183.3,7.623656,19,227.4,,924.772043,26.490323,21.05871,17.6,80.766129,,
83781,29/02/1968,0000,14,4.609195,9,79.6,,,211.3,6.793103,13,140.1,,924.748276,26.217241,20.338621,16.582759,77.732143,,
83781,31/03/1968,0000,14,3.290323,9,53.7,,,159.9,8.032258,15,164.8,,926.174194,26.896774,20.912903,17.316129,82.096774,,
83781,30/04/1968,0000,18,4.4,12,57.9,,,184.7,7.555556,12,60,,926.163333,22.893333,17.307333,13.85,77.3,,
83781,31/05/1968,0000,27,3.215054,8,60.1,,,204.1,4.956989,15,90,,928.593548,21.509677,14.645161,10.022581,76.282258,,
83781,30/06/1968,0000,14,3.133333,10,46.2,,,180.2,6.7,12,41.9,,930.801111,21.13,14.946,11.21,79.666667,,
83781,31/07/1968,0000,5,3.612903,9,57.4,,,194.3,6.989247,13,15.4,,931.64086,20.916129,14.537419,10.564516,77.709677,,
83781,31/08/1968,0000,14,3.795699,12,54.1,,,201,6.978495,12,58,,929.855914,21.432258,14.870323,10.825806,78.314516,,
83781,30/09/1968,0000,5,4.698889,14,76.4,,,191.5,7.133333,9,20.5,,928.207778,23.376667,16.724667,12.716667,75.158333,,
83781,31/10/1968,0000,5,4.698925,14,74,,,194.8,7.526882,14,91,,925.694624,24.383871,18.549677,14.541935,77.935484,,
83781,30/11/1968,0000,14,4.444444,12,86.2,,,193.4,7.111111,8,68,,923.963333,27.203333,20.698,16.42,72.641667,,
83781,31/12/1968,0000,9,4.021505,14,90.9,,,214.5,7.494624,11,147.9,,923.666667,27.448387,21.985806,18.067742,75.556452,,
83781,31/01/1969,0000,0,3.826087,14,76.7,,,233.8,7.967742,18,146.1,,921.551613,29.177419,22.910323,19.009677,77.669355,,
83781,28/02/1969,0000,5,3,9,44.2,,,161.7,7.77381,17,173.7,,922.72381,28.339286,22.723571,19.285714,80.330357,,
83781,31/03/1969,0000,14,3.612903,9,59.5,,,207.2,7.462366,14,108.8,,924.926882,27.819355,21.788387,18.012903,78.427419,,
83781,30/04/1969,0000,9,3.89,12,47.7,,,189.7,7.255556,14,105.4,,926.084444,24.873333,18.783333,15.08,81.033333,,
83781,31/05/1969,0000,14,3.021739,10,67.3,,,197.3,6.064516,16,36.8,,927.905376,23.606452,17.489032,13.367742,77.33871,,
83781,30/06/1969,0000,5,3.701111,12,28.6,,,196.7,5.233333,7,50.1,,929.198889,22.493333,16.694667,12.72,75.3,,
83781,31/07/1969,0000,14,3.03913,10,57.1,,,204.4,5.752688,10,11.3,,930.396774,22.564516,15.834194,11.625806,75.5,,
83781,31/08/1969,0000,5,3.570968,12,74.3,,,183.6,6.548387,10,34.2,,927.436559,23.722581,16.968387,12.945161,76.387097,,
83781,30/09/1969,0000,14,3.933333,10,82.2,,,112.5,8.066667,13,50.6,,925.408889,25.166667,18.724667,14.736667,80.083333,,
83781,31/10/1969,0000,27,4.344086,14,53,,,118.5,8.473118,17,237.9,,925.341935,22.612903,17.156774,13.86129,84.677419,,
83781,30/11/1969,0000,9,4.044444,14,47,,,117.9,8.788889,22,300.7,,923.25,25.533333,20.226667,17.053333,83.35,,
83781,31/12/1969,0000,14,4.193548,12,69.5,,,188.7,7.526882,12,98.6,,924.810753,25.045161,19.567097,15.848387,78.314516,,
83781,31/01/1970,0000,5,4.002151,12,38.1,,,180.1,8.397849,20,351.7,,923.793548,26.980645,21.250968,17.712903,83.282258,,
83781,28/02/1970,0000,9,3.404762,10,48.9,,,151.5,8.261905,19,416.2,,925.038095,26.857143,21.857143,18.939286,84.830357,,
83781,31/03/1970,0000,14,3.935484,14,38.6,,,197.6,7.516129,9,120.6,,926.070968,27.993548,22.098065,18.535484,80.508065,,
83781,30/04/1970,0000,14,3.111111,10,61.2,,,190.8,6.6,10,49.2,,926.893333,25.91,19.792,16,79.308333,,
83781,31/05/1970,0000,14,2.709677,10,57.9,,,201.8,6.763441,5,80.8,,927.164516,25.109677,19.225161,15.370968,78.443548,,
83781,30/06/1970,0000,5,3.277778,12,78.7,,,169.6,7.133333,7,87.2,,928.276667,23.256667,17.892,14.25,78.483333,,
83781,31/07/1970,0000,14,3.72043,9,68.3,,,185,6.387097,14,25.9,,931.362366,21.254839,15.48129,11.725806,80.572581,,
83781,31/08/1970,0000,9,3.387097,8,99.6,,,215.4,5.978495,11,84.1,,929.156989,22.103226,16.116129,12.187097,76.032258,,
83781,30/09/1970,0000,14,3.4,8,74.1,,,159.1,8.188889,11,104.1,,926.815556,23.216667,16.986,13.57,82.1,,
