Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82659,29/02/1980,0000,,,,,,,,,22,206.9,,,,,,,,
82659,31/07/1982,0000,,0.03,0.3,,,,,,,,,,,,,,,
82659,31/08/1982,0000,,0.886022,5,,,,,,,,,,,,,,,
82659,30/09/1982,0000,,0.558889,4,,,,,,,,,,,,,,,
82659,31/10/1982,0000,,0.466667,5,,,,,,,,,,,,,,,
82659,30/11/1982,0000,,0.735556,5,,,,,,,,,,,,,,,
82659,31/12/1982,0000,,2.267742,6.7,,,,,,,,,,,,,,,
82659,31/08/1984,0000,,,,,,,,,,0,,,,,,,,
82659,30/09/1984,0000,,2.292222,6,144.9,,,175,0.641111,8,111,,985.071111,33.496667,25.326667,19.496667,,,
82659,31/10/1984,0000,,1.263441,4,87.1,,,139.5,0.678495,15,181.7,,985.115054,,,20.374194,,,
82659,30/11/1984,0000,,1.363333,5,34,,,144.7,0.604444,15,115.3,,985.023333,30.938462,24.791538,20.446667,,,
82659,31/12/1984,0000,,1.212903,5,56.7,,,133.8,0.645161,15,110.1,,983.786022,31.009677,24.979355,20.851613,,,
82659,31/01/1985,0000,36,1.098925,3,54.1,,,54.2,7.586022,26,528.7,,988.622581,28.955556,24.054815,21.192593,90.87037,,
82659,28/02/1985,0000,36,1.034524,3,49.3,,,107,8.404762,25,469.1,,989.182143,29.917857,24.129286,20.85,89.116071,,
82659,31/03/1985,0000,36,0.874194,4,59.9,,,111.5,7.225806,23,302.8,,987.523656,30.887097,25.097419,21.809677,88.798387,,
82659,30/04/1985,0000,0,0.518889,3,52.9,,,100.7,7.622222,26,438.9,,988.075556,29.78,24.358667,21.296667,90.016667,,
82659,31/05/1985,0000,0,0.663441,3.5,101.7,,,205.9,4.580645,12,148.7,,988.250538,31.316129,24.450323,19.774194,84.056452,,
82659,30/06/1985,0000,0,0.374444,3,165.8,,,226.1,3.822222,5,35.1,,992.782222,31.376667,23.534,17.886667,76.158333,,
82659,31/07/1985,0000,0,0.654839,3,271.3,,,282.1,2.827957,1,1,,993.044086,32.570968,23.523226,16.341935,67.983871,,
82659,31/08/1985,0000,0,0.886022,5,276.7,,,289.7,2.107527,2,17.3,,989.144086,34.129032,24.489032,16.758065,64.564516,,
82659,30/09/1985,0000,0,0.582222,4,237,,,201.1,3.766667,8,95.1,,986.558889,33.943333,25.212,18.573333,68.05,,
82659,31/10/1985,0000,0,0.45914,5,153.3,,,115.9,6.408602,16,199.5,,985.864516,30.977419,24.903226,21.109677,85.008065,,
82659,30/11/1985,0000,0,0.735556,5,135.7,,,129.1,6.477778,17,233.4,,985.886667,30.883333,24.738,20.71,85.465517,,
82659,31/12/1985,0000,5,2.267742,6.7,113.1,,,89.1,7.655914,21,423.6,,986.344086,29.767742,24.355484,21.209677,88.709677,,
82659,31/01/1986,0000,0,1.987097,4.4,109,,,123.2,7.451613,25,246,,985.055914,30.267742,24.52,20.996774,88.145161,,
82659,28/02/1986,0000,0,1.828571,4.4,75.6,,,102.6,7.345238,22,206.9,,984.945238,30.321429,24.361429,20.867857,88.910714,,
82659,31/03/1986,0000,0,1.797849,4.4,87.8,,,119.4,7.516129,22,275.1,,985.217204,30.212903,24.48129,21.212903,89.153226,,
82659,30/04/1986,0000,0,1.944444,9.4,66.9,,,111.6,7.322222,23,212.2,,984.634444,30.586667,24.806,21.463333,89.8,,
82659,31/05/1986,0000,0,1.635484,4.4,140.9,,,232.5,4.032258,3,29.8,,984.917204,32.33871,24.929032,19.545161,81.33871,,
82659,30/06/1986,0000,0,2.115556,9.4,171.3,,,255,2.9,3,76.6,,986.764444,31.933333,23.148,16.873333,76.075,,
82659,31/07/1986,0000,0,1.825806,9.4,200.5,,,254.5,3.053763,1,1.7,,987.968817,33.283871,24.14129,17.012903,70.58871,,
82659,31/08/1986,0000,0,1.763441,4.4,230.7,,,225.4,3.365591,4,10.8,,985.594624,34.093548,24.816774,16.741935,65.274194,,
