Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82863,31/03/1977,0000,0,0.156627,3,46.1,,,173.7,6.951807,14,128.3,,,30.621429,25.627143,22.528571,87.589286,,
82863,30/04/1977,0000,0,0.2,4,46.7,,,157.1,6.077778,18,363.6,,,30.1,25.650667,22.59,91.05,,
82863,31/05/1977,0000,0,0.225806,4,66.5,,,219.3,4.204301,7,120.2,,,30.896774,25.620645,21.954839,91.217742,,
82863,30/06/1977,0000,0,0.766667,6,86,,,251.6,2.733333,4,21,,,31.513333,24.938667,20.223333,89.05,,
82863,31/07/1977,0000,0,0.795699,6,128.8,,,293.1,2.344086,1,0.3,,,33.148387,24.792258,18.432258,87.129032,,
82863,31/08/1977,0000,0,0.580645,4,129.3,,,288.1,2.397849,3,3.9,,,35.012903,26.397419,19.987097,84.185484,,
82863,30/09/1977,0000,0,0.631111,5.8,122.8,,,204.3,2.833333,6,36.1,,,33.38,26.431333,20.873333,87.525,,
82863,31/10/1977,0000,0,0.305556,4,,,,,4.277778,10,243.6,,,30.675,26.270833,22.854167,89.989583,,
82863,30/11/1977,0000,0,0.577778,7,54.9,,,175,4.744444,16,106.1,,,30.166667,25.61,22.47,90.491667,,
82863,31/12/1977,0000,0,0.430108,6,59.5,,,162,5.44086,18,296,,,29.929032,25.557419,22.483871,92.709677,,
82863,31/01/1978,0000,0,0.451613,8,61.9,,,189.2,4.623656,13,164.6,,,29.96129,25.674839,22.309677,90.830645,,
82863,28/02/1978,0000,0,0.75,8,48.6,,,102,5.869048,14,336.2,,,,,22.964286,91.321429,,
82863,31/03/1978,0000,0,0.741176,8,58.8,,,133.5,5.474118,11,199.5,,,31.226316,25.661111,22.178571,87.546296,,
82863,30/04/1978,0000,0,0.322222,4,57.5,,,205.8,4.277778,12,201.2,,,31.486667,25.879333,22.08,84.866667,,
82863,31/05/1978,0000,0,,4,,,,,,9,94.3,,,30.931818,25.68,22.166667,,,
82863,30/06/1978,0000,0,0.643678,4,100.6,,,273.8,3.373563,2,20,,,31.823333,24.661379,19.563333,78.594828,,
82863,31/07/1978,0000,0,0.688172,4,112.7,,,262.4,3.569892,1,4.1,,,32.906452,25.345161,19.845161,76.419355,,
82863,31/08/1978,0000,0,0.827957,4,169.9,,,300.8,2.225806,0,0,,,34.470968,25.636129,18.835484,72.233871,,
82863,30/09/1978,0000,0,0.980682,5.1,115.3,,,210.2,5.125,12,88.9,,,33.4,26.502857,21.365517,80.821429,,
82863,31/10/1978,0000,36,1.480645,5.7,89.7,,,179.4,6.387097,10,239.1,,988.533333,31.906452,26.397419,22.190323,81.927419,,
82863,30/11/1978,0000,0,1.148889,5.7,80.9,,,167.5,6.377778,13,114.2,,987.817778,30.82,25.932667,22.21,82.708333,,
82863,31/12/1978,0000,0,1.010753,4.1,54.6,,,168.1,7.591398,24,207,,988.815054,30.087097,25.22,21.922581,85.177419,,
82863,31/01/1979,0000,,1.368817,5.7,,,,,1.846237,7,76.2,,987.187097,,,,,,
82863,28/02/1979,0000,,0.97381,7.7,,,,,1.854762,2,20.2,,988.036905,,,,,,
82863,31/03/1979,0000,,1.059551,5.7,45.8,,,173.6,0.68427,21,166.5,,988.660674,30.606667,25.998621,22.353333,,,
82863,30/04/1979,0000,,1.187778,5.1,,,,,1.392222,1,0.1,,988.125556,,,,,,
82863,31/05/1979,0000,9,1.010753,4.1,,,,,1.716129,2,9.7,,987.998925,31.752941,26.088235,22.023529,,,
82863,30/06/1979,0000,,1.655556,6.2,128.6,,,289.1,0.306667,0,0,,992.338889,32.106667,24.394483,18.646667,,,
82863,31/07/1979,0000,14,1.343011,4.6,148.1,,,295.5,0.306452,0,0,,992.408602,33.793548,24.923871,18.132258,66.185185,,
82863,31/08/1979,0000,,1.419565,4.1,,,,,1.166304,2,8.5,,989.507609,,,,,,
82863,30/09/1979,0000,,1.157471,4.6,,,,,1.12069,3,29.9,,989.536782,,,,,,
82863,31/10/1979,0000,14,1.263441,3.6,,,,,1.960215,2,27.7,,988.437634,31.82,26.506667,22.293333,,,
82863,30/11/1979,0000,,1.277011,6.2,,,,,3.118391,8,51.7,,987.609195,31.546667,,22.713333,,,
82863,31/12/1979,0000,,0.807609,3.6,,,,,2.688043,9,42,,988.633696,31.29375,26.144,22.6625,,,
82863,31/01/1980,0000,14,0.931183,3.1,43.6,,,119,7.817204,27,401.8,,991.104301,29.341935,25.037419,22.316129,88.927419,,
82863,29/02/1980,0000,0,0.882927,3.6,38.1,,,71.1,8.609756,28,487.1,,991.213415,27.95,24.468889,22.328571,91.12037,,
82863,31/03/1980,0000,0,0.65,2.6,67.9,,,196.8,5.9,15,87.7,,991.631111,31.412903,26.104,22.458065,82.965517,,
82863,30/04/1980,0000,,,3.1,,,,,,9,74.4,,991.554688,30.681818,25.517143,22.145455,,,
82863,31/05/1980,0000,0,0.653763,3.1,112.9,,,283,3.473118,1,0.3,,991.788172,34.280645,26.705806,21.077419,73.427419,,
82863,30/06/1980,0000,0,0.847778,3.6,136,,,272.8,3.077778,1,0.1,,993.296667,34.256667,26.048,19.823333,67.941667,,
82863,31/07/1980,0000,14,0.73,4.1,177.7,,,299.1,2.088889,0,0,,993.801111,34.926667,25.584,18.336667,62.325,,
82863,31/08/1980,0000,0,0.734409,3.1,184.8,,,257.7,2.408602,1,0.5,,992.676344,35.658065,26.37871,19.022581,59.919355,,
82863,30/09/1980,0000,0,0.7,3.1,121.7,,,183.2,4.855556,9,79.1,,991.952222,34.116667,27.147333,21.646667,72.808333,,
82863,31/10/1980,0000,0,0.96087,5.1,95.1,,,182.7,5.673913,10,120.3,,991.022826,33.135484,26.943226,21.954839,77.25,,
82863,30/11/1980,0000,14,1.044444,5.1,52.2,,,140,7.577778,21,356.7,,989.252222,30.586667,25.382,21.673333,85.625,,
82863,31/12/1980,0000,0,0.896667,5.1,41.8,,,121.2,7.6,26,308.6,,989.891111,29.93,24.906,21.47,88.125,,
82863,31/01/1981,0000,,1.043011,4.6,52.5,,,154.4,0.735484,23,318.1,,989.662366,30.387097,24.869032,21.03871,,,
82863,28/02/1981,0000,,0.957143,4.6,75,,,186.3,0.591667,10,86,,988.752381,32.521429,26.167143,21.482143,,,
82863,31/03/1981,0000,,1.327957,4.6,43.4,,,90.8,0.792473,24,417.2,,989.251613,29.545161,25.136774,21.883871,,,
82863,30/04/1981,0000,,1.11,4.1,73,,,256.3,0.421111,9,51.1,,989.188889,32.333333,26.285333,21.51,,,
82863,31/05/1981,0000,,,,,,,,,,0,,,,,,,,
82863,30/06/1981,0000,,1.472289,4.1,107.3,,,248.9,0.355422,2,16.5,,991.720482,33.278571,24.800714,18.360714,,,
82863,31/07/1981,0000,,1.238889,4.6,162.3,,,292.1,0.29,0,0,,992.598889,33.493333,24.738667,17.563333,,,
82863,31/08/1981,0000,,0.934783,3.6,177.3,,,261.1,0.298913,1,2.1,,990.806522,35.019355,26.267097,18.819355,,,
82863,30/09/1981,0000,,1.033333,4.1,201.3,,,229.7,0.313333,0,0,,990.144444,36.276667,27.737333,19.973333,,,
82863,31/10/1981,0000,,0.777419,4.1,90.8,,,163.8,0.678495,14,169.3,,989.325806,33.003226,26.54129,21.867742,,,
82863,30/11/1981,0000,,0.701111,5.1,47.8,,,126.8,0.756667,17,191.6,,988.564444,30.413333,25.271333,21.446667,,,
82863,31/12/1981,0000,,0.787097,4.1,56.4,,,157.7,0.673118,20,182.9,,989.004301,31.216129,25.614194,21.487097,,,
82863,31/01/1982,0000,0,0.807692,5.7,48.2,,,88.5,8,27,420.2,,991.775824,29.383871,24.711333,21.43871,89.425,,
82863,28/02/1982,0000,0,0.542857,4.6,48.2,,,110.9,7.559524,19,78.5,,991.764286,30.617857,25.394286,21.635714,87.25,,
82863,31/03/1982,0000,0,0.532258,4.1,54.1,,,195.8,6.569892,20,304.6,,991.002151,31.390323,26.132903,22.035484,85.637097,,
82863,30/04/1982,0000,0,0.423596,2.1,56,,,181.6,5.844444,12,195.1,,991.511111,31.453333,26.036,21.813333,85.283333,,
82863,31/05/1982,0000,0,0.450538,4.1,91.8,,,258.5,3.870968,0,0,,990.86129,33.093548,26.057419,20.580645,78.596774,,
82863,30/06/1982,0000,0,0.75,3.6,117.4,,,274.8,2.977778,0,0,,993.945556,33.923333,25.585333,19.076667,73.533333,,
82863,31/07/1982,0000,0,0.516129,1.5,156.9,,,285.5,2.365591,0,0,,994.050538,34.651613,25.037419,17.36129,66.169355,,
82863,31/08/1982,0000,0,0.67957,4,171,,,277.9,3.107527,1,5,,993.091398,35.403226,26.239355,18.658065,64.379032,,
82863,30/09/1982,0000,0,0.888889,6,118.2,,,151,6.122222,12,127.8,,992.704444,33.426667,26.491333,21.11,75.896552,,
82863,31/10/1982,0000,0,0.774194,4,90.5,,,220.5,4.774194,9,131.7,,991.401075,32.809677,26.205806,20.922581,78.895161,,
82863,30/11/1982,0000,0,0.911111,8,62.6,,,187.9,5.766667,16,204.7,,991.083333,32.103333,25.728,21.063333,84.575,,
82863,31/12/1982,0000,0,0.741935,8,59.3,,,155.5,7.204301,20,362,,991.123656,31.025806,25.199355,20.741935,88.080645,,
82863,31/01/1983,0000,0,0.83871,10,46.5,,,120,7.709677,22,429.9,,989.358065,30.651613,25.499355,21.812903,90.314516,,
82863,28/02/1983,0000,0,0.77381,9,65.6,,,154.8,6.642857,19,218.8,,989.080952,31.464286,26.184286,21.896429,85.866071,,
82863,31/03/1983,0000,,0.795699,6,49.4,,,115.5,0.853763,25,269.5,,989.594624,30.858065,25.476129,21.774194,,,
82863,30/04/1983,0000,0,0.886667,8,86.8,,,262.1,3.811111,6,39.1,,988.654444,33.75,27.036667,21.706667,81.566667,,
82863,31/05/1983,0000,14,0.967742,10,123.6,,,290.7,2.505376,1,0.3,,988.511828,35.06129,26.832258,20.512903,76.104839,,
82863,30/06/1983,0000,0,0.822222,3,141.4,,,279.1,2.188889,1,0.3,,990.735556,35.256667,25.968667,18.73,69.433333,,
82863,31/07/1983,0000,14,1.316129,4,185,,,286.2,2.032258,0,0,,990.863441,35.906452,26.111613,18.287097,63.169355,,
82863,31/08/1983,0000,0,1.016129,6,196.9,,,262.6,1.774194,1,9.7,,991.425806,36.448387,26.962581,19.270968,60.943548,,
82863,30/09/1983,0000,0,1.077778,6,129.1,,,189.6,3.344444,5,61.1,,989.333333,34.583333,27.424,21.33,72.716667,,
82863,31/10/1983,0000,0,0.994624,6,80.1,,,161.9,7.322581,18,169.4,,989.943011,32.006452,25.658065,21.025806,82.83871,,
82863,30/11/1983,0000,0,1.022222,6,60.1,,,157.6,6.933333,18,212.9,,990.658889,31.586667,25.568667,21.056667,85.016667,,
82863,31/12/1983,0000,0,1.021505,7,59,,,144.5,7.365591,21,203.9,,990.301075,30.664516,24.932903,20.754839,86.685484,,
82863,31/01/1984,0000,,0.956989,8,61.8,,,168.5,0.784946,13,93.7,,989.454839,31.374194,25.136129,20.570968,,,
82863,29/02/1984,0000,,0.77907,6,49.6,,,170.7,0.742529,18,288.6,,988.606897,30.531034,24.69931,20.465517,,,
82863,31/03/1984,0000,,1,5,48.4,,,174,0.75914,23,240.5,,989.188172,31,25.229677,20.922581,,,
82863,30/04/1984,0000,,0.833333,4,52.5,,,146.1,0.747778,21,172.2,,989.985556,30.56,25.32069,21.313333,,,
82863,31/05/1984,0000,,0.612903,3,78,,,243.5,0.444086,8,14.5,,989.762366,32.546667,25.787857,20.493103,,,
82863,30/06/1984,0000,,1.444444,4,135.8,,,274.1,0.218889,0,0,,991.469663,33.596667,24.568,17.81,,,
82863,31/07/1984,0000,,0.731183,6,172.3,,,284,0.250538,0,0,,991.21828,34.332258,24.665161,17.216129,,,
82863,31/08/1984,0000,,0.946237,5,186,,,254.6,0.329032,5,20.5,,990.947312,35.212903,26.120645,18.522581,,,
82863,30/09/1984,0000,,1.288889,4,157.4,,,188.3,0.531111,5,28.1,,989.981111,34.096667,27.062667,21.033333,,,
82863,31/10/1984,0000,,1.322581,5,106.8,,,149.6,0.655914,16,90.5,,989.430108,32.067742,26.052903,20.93871,,,
82863,30/11/1984,0000,,1.1,6,91.3,,,176.4,0.624444,12,83.3,,989.211111,32.493333,26.182,21.046667,,,
82863,31/12/1984,0000,,1.021505,3,72,,,163.5,0.709677,18,146.8,,987.927957,32.016129,25.723871,20.970968,,,
82863,31/01/1985,0000,0,1.172043,6,36.1,,,74.7,8.825806,29,640.1,,989.4,28.416129,24.188387,20.732258,91.790323,,
