Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83064,31/01/1961,0000,0,1.315217,9,44.8,,,154.8,8.869565,23,325.5,,984.617391,30.403226,24.78129,20.383871,86.91129,,
83064,28/02/1961,0000,5,0.488095,3,39.1,,,128.4,8.035714,23,229.7,,985.445238,29.971429,24.52,20.046429,86.714286,,
83064,31/03/1961,0000,23,1.268817,5,54.5,,,161.6,7.903226,20,123.6,,984.687097,31.535484,25.70129,20.990323,83.967742,,
83064,30/04/1961,0000,0,0.844444,3,61.5,,,,6.633333,13,75.3,,984.651111,32.1,26.117241,20.946667,81.675,,
83064,31/05/1961,0000,0,0.849462,4,94.1,,,272.2,6.956989,4,25.7,,985.905376,33.029032,26.081935,20.109677,75.790323,,
83064,30/06/1961,0000,0,0.9,5,166.3,,,292.7,3.422222,0,0,,987.137778,33.52,25.105333,17.276667,63.108333,,
83064,31/07/1961,0000,0,0.752688,5,179.1,,,313.1,3.623656,0,0,,987.505376,33.756667,24.311333,15.170968,54.629032,,
83064,31/08/1961,0000,0,0.860215,5,207,,,336.2,1.666667,0,0,,986.612903,35.509677,25.890323,15.974194,48.274194,,
83064,30/09/1961,0000,0,1.011111,5,151.8,,,262.9,3.366667,2,5.4,,984.404444,37.156667,28.772,20.393333,50.6,,
83064,31/10/1961,0000,36,1.274194,9,,,,214.9,6.591398,10,57.4,,983.764516,,,21.62069,,,
83064,30/11/1961,0000,0,1.022222,9,135.5,,,211.7,7.022222,9,68.1,,983.22,34.353333,27.48,22.093333,71.541667,,
83064,31/12/1961,0000,0,0.774194,5,60.9,,,127.1,8.774194,23,351.7,,984.753763,30.922581,24.846452,21.041935,85.491935,,
83064,31/01/1962,0000,0,0.645161,7,56.9,,,165.7,9.032258,21,241.8,,984.637634,31.632258,25.589677,21.693548,85.540323,,
83064,28/02/1962,0000,9,0.369048,9,49.7,,,157.4,9.095238,19,324.6,,984.635714,31.871429,25.553571,21.082143,86.035714,,
83064,31/03/1962,0000,0,0.677419,9,63.5,,,164,8.150538,19,222.1,,984.603226,32.170968,25.703871,21.609677,85.508065,,
83064,30/04/1962,0000,0,0.633333,7,63.9,,,195.4,8.011111,17,145.5,,984.924444,32.203333,25.809333,21.426667,84.875,,
83064,31/05/1962,0000,0,0.795699,9,86,,,283.8,6.516129,4,16.5,,986.113978,33.164516,25.396774,19.535484,75.177419,,
83064,30/06/1962,0000,0,1.044444,6,160.5,,,289.7,4.566667,0,0,,987.338889,33.376667,24.656667,17.53,68.466667,,
83064,31/07/1962,0000,0,1.032258,9,180.4,,,327.5,3.032258,0,0,,988.134409,34.380645,24.475484,16.135484,63,,
83064,31/08/1962,0000,0,1.053763,5,226.4,,,314.3,4.419355,1,0.1,,986.350538,36.454839,26.476129,17.63871,56.5,,
83064,30/09/1962,0000,0,1.144444,7,138.8,,,208,5.944444,3,16.7,,985.107778,37.023333,28.340667,21.693333,59.1,,
83064,31/10/1962,0000,0,0.64086,3,71.8,,,180.1,8.16129,16,136.3,,985.13871,34.577419,26.908387,21.529032,72.395161,,
83064,30/11/1962,0000,0,1.044444,5,54.8,,,,8.755556,15,103.5,,984.127778,33.903333,26.66,21.866667,77.9,,
83064,31/12/1962,0000,0,0.849462,5,55.8,,,120.2,8.688172,21,273.8,,984.635484,31.545161,25.588387,21.709677,84.306452,,
83064,31/01/1963,0000,0,0.569892,6,67.2,,,193.8,7.419355,20,187.5,,984.331183,,,21.051613,82.41129,,
83064,28/02/1963,0000,0,0.452381,3,41.8,,,125.6,8.72619,23,356.1,,985.411905,29.9625,24.62,20.910714,86.607143,,
83064,31/03/1963,0000,0,0.612903,5,64.4,,,189.4,8.11828,19,135.8,,985.17957,31.63871,25.476129,21.335484,83.822581,,
83064,30/04/1963,0000,0,0.966667,9,71.3,,,189.1,7.633333,15,201,,985.283333,31.563333,25.532667,21.39,83.425,,
83064,31/05/1963,0000,0,0.505376,5,131.2,,,271.5,5.580645,3,87.3,,986.916129,31.6,24.397419,18.887097,74.387097,,
83064,30/06/1963,0000,0,0.388889,3,160.6,,,279,2.466667,0,0,,988.038889,32.816667,23.327333,15.75,66.725,,
83064,31/07/1963,0000,0,0.784946,5,193.1,,,306.1,1.892473,0,0,,987.480645,33.309677,23.51871,15.519355,58.41129,,
83064,31/08/1963,0000,0,0.870968,5,237.9,,,307.8,1.602151,0,0,,986.07957,35.46129,25.419355,16.354839,49.604839,,
83064,30/09/1963,0000,0,1.377778,9,257.5,,,252.8,1.755556,1,5,,984.884444,36.73,27.493333,19.04,50.691667,,
83064,31/10/1963,0000,0,0.774194,5,200.9,,,253.9,4.666667,7,56.8,,984.212903,36.409677,28.415484,21.719355,59.580645,,
83064,30/11/1963,0000,0,0.588889,8,108,,,186.9,8.188889,11,127.3,,983.913333,33.113333,26.909333,22.17,73.416667,,
83064,31/12/1963,0000,0,0.376344,3,78.2,,,117.7,8.731183,21,334,,984.510753,30.774194,25.430968,21.380645,81.612903,,
83064,31/01/1964,0000,0,0.494624,5,41.4,,,92.3,9.537634,27,418,,984.72043,29.709677,24.889677,21.677419,88,,
